file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
neuromorpho__cortex156-3.swc,115,pyramidal,0.994477,0,114,0,0,0,0.988577,0.00106985,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988477,0.988477,0,0,0,0,27,0.988904,0.988477,0.988477,0,0,8.8,0,0,0,0,0,0,48.17,-6.11982,11.7267,94.86,163.28,0,0,0,0,0
neuromorpho__hippo284-2.swc,135,pyramidal,0.974405,0,134,0,0,0,0.998306,0.000146308,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,40,0.998336,0.998294,0.998294,0,0,5.2,0,0,0,0,0,0,13.02,-4.20672,4.94967,112.12,188.43,0,0,0,0,0
neuromorpho__hippo-1150-5new.swc,115,pyramidal,0.98484,0,114,0,0,0,0.998309,0.000158418,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,32,0.998347,0.998294,0.998294,0,0,6,0,0,0,0,0,0,45.42,-1.61026,14.771,129.24,168.41,0,0,0,0,0
neuromorpho__236-2-94LS.swc,108,pyramidal,0.896731,0,0,107,0,0.123866,0.616369,0.285375,0.3,0.3,0.3,0.3,0.809171,0.444444,0.444444,0.444444,0.444444,0.87037,0,0,0,0,0,0,0.612784,0.3,0.448598,14,0.759116,0.3,0.365353,0.285714,0.357143,15.2,0,0,0,0,0,0,0,0,0,0,0,117.69,-0.766636,30.4793,209.85,1037.29
neuromorpho__cortex412-1.swc,116,pyramidal,0.981298,0,115,0,0,0,0.998308,0.00015774,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,32,0.998347,0.998294,0.998294,0,0,7,0,0,0,0,0,0,32.71,6.22557,9.39258,98.85,109.85,0,0,0,0,0
neuromorpho__hippo-560-5.swc,117,pyramidal,0.992929,0,116,0,0,0,0.988773,0.00111892,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988677,0.988477,0,0,0,0,29,0.988972,0.988477,0.988477,0,0,9,0,0,0,0,0,0,33.63,2.49845,7.47528,139.03,186.05,0,0,0,0,0
neuromorpho__70R3_07_-255.swc,97,interneuron,0.599911,0,96,0,0,0.0576567,0.969615,0.00324283,0.968171,0.968171,0.968171,0.968171,0.970091,0,0,0,0,0,0,0,0,0.969298,0.968171,0,0,0,0,8,0.972895,0.968171,0.968171,0,0,20.6,0,0,0,0,0,0,24,1.7325,3.88504,61.7,148.46,0,0,0,0,0
neuromorpho__hippo-225-5.swc,116,pyramidal,0.992692,0,115,0,0,0,0.988604,0.00107355,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988505,0.988477,0,0,0,0,36,0.988829,0.988477,0.988477,0,0,7.5,0,0,0,0,0,0,47.87,1.21852,9.56238,109.11,180.81,0,0,0,0,0
neuromorpho__hippo-539-2.swc,114,pyramidal,0.98446,0,113,0,0,0,0.998309,0.000159105,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,25,0.998362,0.998294,0.998294,0,0,9.2,0,0,0,0,0,0,47.24,13.0857,12.7576,111.04,116.04,0,0,0,0,0
neuromorpho__cortex367-3.swc,113,pyramidal,0.980184,0,112,0,0,0,0.98875,0.00118355,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.98865,0.988477,0,0,0,0,25,0.989071,0.988477,0.988477,0,0,7.6,0,0,0,0,0,0,26.36,-11.5487,8.08212,99.86,149.47,0,0,0,0,0
neuromorpho__cortex285-4.swc,110,pyramidal,0.994227,0,109,0,0,0,0.988715,0.00111317,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988612,0.988477,0,0,0,0,26,0.989018,0.988477,0.988477,0,0,8,0,0,0,0,0,0,35.74,-15.1832,12.1881,115.52,211.64,0,0,0,0,0
neuromorpho__SST2A-GFP-SST-VGLUT2-cell-12.swc,101,interneuron,0.546125,0,100,0,0,0,0.940493,0.00609293,0.937795,0.937795,0.939168,0.939168,0.939168,0,0,0,0,0,0,0,0,0.939897,0.939168,0,0,0,0,8,0.946923,0.937795,0.938756,0,0,24.3,0,0,0,0,0,0,8.49,-2.6169,2.30767,26.55,133.91,0,0,0,0,0
neuromorpho__cortex-456-5.swc,111,pyramidal,0.981319,0,110,0,0,0.00955295,0.993533,0.000637877,0.993385,0.993385,0.993385,0.993385,0.993385,0,0,0,0,0,0,0,0,0.993474,0.993385,0,0,0,0,27,0.993698,0.993385,0.993385,0,0,7,0,0,0,0,0,0,23.29,-10.8195,6.62545,112.95,164.36,0,0,0,0,0
neuromorpho__beta-6.swc,127,pyramidal,0.99681,0,126,0,0,0,0.988585,0.00101813,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988494,0.988477,0,0,0,0,17,0.98917,0.988477,0.988477,0,0,13.4,0,0,0,0,0,0,0,0,0,118.93,249.07,0,0,0,0,0
neuromorpho__cortex117-5.swc,110,pyramidal,0.94675,0,109,0,0,0,0.998309,0.000161946,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,33,0.998345,0.998294,0.998294,0,0,7,0,0,0,0,0,0,52.71,5.92064,16.6908,93.58,150.52,0,0,0,0,0
neuromorpho__hippo-557-7.swc,114,pyramidal,0.994483,0,113,0,0,0,0.988617,0.0010804,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988516,0.988477,0,0,0,0,32,0.988891,0.988477,0.988477,0,0,5.9,0,0,0,0,0,0,27.87,-2.77221,7.46014,187.57,85.36,0,0,0,0,0
neuromorpho__aIN-000307-1-1-nrn-ns-120504-transl-invX-scaled-straightened.swc,63,interneuron,0.917873,62,0,0,0,0.0032469,0.583071,0.337696,0.3,0.3,0.3,0.3,0.3,0.587302,0.587302,0.587302,0.587302,0.587302,0.576347,0.3,0.596774,0,0,0,0,0,0,4,0.849112,0.3,0.590975,0.25,0.25,34.8,0,0,0,0,49.53,1420.79,0,0,0,0,0,0,0,0,0,0
neuromorpho__L3R4_02_-060.swc,89,interneuron,0.864325,0,88,0,0,0,0.998444,0.000165839,0.998427,0.998427,0.998427,0.998427,0.998427,0,0,0,0,0,0,0,0,0.998427,0.998427,0,0,0,0,14,0.998539,0.998427,0.998427,0,0,10.4,0,0,0,0,0,0,13.5,-2.77466,3.28996,86.49,117.83,0,0,0,0,0
neuromorpho__wt20x-19.swc,124,pyramidal,0.986176,0,51,72,0,0,0.918771,0.202569,0.3,0.3,0.980784,0.9823,0.9823,0.0967742,0.0967742,0.0967742,0.0967742,0.0967742,0,0,0,0.988477,0.988477,0,0.868267,0.3,0.166667,28,0.977416,0.3,0.9823,0,0.0357143,6.6,0,0,0,0,0,0,25,-6.92157,7.36138,109.17,115.19,32,-4.72222,9.30236,79.22,573.08
neuromorpho__hippo367-7.swc,127,pyramidal,0.992507,0,126,0,0,0.00973953,0.993437,0.000584644,0.993385,0.993385,0.993385,0.993385,0.993385,0,0,0,0,0,0,0,0,0.993385,0.993385,0,0,0,0,33,0.993586,0.993385,0.993385,0,0,7,0,0,0,0,0,0,24.24,-19.4008,8.09204,159.92,107.23,0,0,0,0,0
neuromorpho__L1R4_05_-420.swc,95,interneuron,0.933699,0,94,0,0,0,0.998443,0.000160574,0.998427,0.998427,0.998427,0.998427,0.998427,0,0,0,0,0,0,0,0,0.998427,0.998427,0,0,0,0,10,0.998584,0.998427,0.998427,0,0,18.8,0,0,0,0,0,0,27.83,3.97947,8.41952,65.12,143.51,0,0,0,0,0
neuromorpho__traced-WT-Female-cortex-152-2.swc,107,pyramidal,0.982572,0,106,0,0,0,0.99831,0.00016418,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,21,0.998375,0.998294,0.998294,0,0,10,0,0,0,0,0,0,44.52,-10.5674,8.88293,113,163.35,0,0,0,0,0
neuromorpho__hippo-172-3.swc,111,pyramidal,0.995189,0,110,0,0,0,0.989055,0.00130976,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988955,0.988477,0,0,0,0,31,0.98939,0.988477,0.988477,0,0,6,0,0,0,0,0,0,35.12,-5.56918,12.5675,94.56,104.26,0,0,0,0,0
neuromorpho__hdINE-208-1-2-nrn-ns-120110-transl-invX-scaled-straightened.swc,53,interneuron,0.934611,28,24,0,0,0,0.763058,0.320289,0.3,0.3,0.3,0.3,0.983387,0.320755,0.320755,0.320755,0.320755,0.377358,0.551888,0.3,0.607143,0.999551,0.999551,0,0,0,0,13,0.915774,0.3,0.648106,0.153846,0.153846,8.6,0,44.92,-14.9204,12.7842,2013.74,88.36,8.66,-16.0508,2.66855,19.25,37.34,0,0,0,0,0
neuromorpho__hippo-1150-3new.swc,109,pyramidal,0.983039,0,108,0,0,0,0.998309,0.000162681,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,25,0.998362,0.998294,0.998294,0,0,8.6,0,0,0,0,0,0,43.91,-0.019537,9.79861,193.91,107.92,0,0,0,0,0
neuromorpho__beta-4.swc,142,pyramidal,0.995719,0,141,0,0,0,0.988826,0.00114145,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988747,0.988477,0,0,0,0,23,0.989295,0.988477,0.988477,0,0,10.8,0,0,0,0,0,0,0,0,0,130.73,183.17,0,0,0,0,0
neuromorpho__cortex102-2.swc,106,pyramidal,0.964616,0,105,0,0,0,0.988763,0.00113602,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988656,0.988477,0,0,0,0,27,0.98899,0.988477,0.988477,0,0,8.2,0,0,0,0,0,0,29.4,-12.5449,8.73516,79.22,227.33,0,0,0,0,0
neuromorpho__Cell-8-2_3.swc,108,pyramidal,0.988841,0,107,0,0,0,0.99831,0.000163425,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,43,0.998333,0.998294,0.998294,0,0,5.8,0,0,0,0,0,0,0,0,0,91.31,354.04,0,0,0,0,0
neuromorpho__sigma-6.swc,123,pyramidal,0.996592,0,122,0,0,0,0.988755,0.00115818,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988662,0.988477,0,0,0,0,21,0.98926,0.988477,0.988477,0,0,8,0,0,0,0,0,0,0,0,0,157.25,173.13,0,0,0,0,0
neuromorpho__hippo-570-2.swc,127,pyramidal,0.992021,0,126,0,0,0.00976625,0.993424,0.000879231,0.991527,0.991527,0.992642,0.993385,0.993385,0,0,0,0,0,0,0,0,0.993372,0.992456,0,0,0,0,40,0.993612,0.991527,0.993385,0,0,7.1,0,0,0,0,0,0,37.86,5.36849,11.9391,109.33,155.98,0,0,0,0,0
neuromorpho__beta-8.swc,141,pyramidal,0.986963,0,140,0,0,0,0.998306,0.000143184,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,24,0.998365,0.998294,0.998294,0,0,10,0,0,0,0,0,0,0,0,0,162.93,215.38,0,0,0,0,0
neuromorpho__hippo-516-3.swc,106,pyramidal,0.985449,0,105,0,0,0,0.99831,0.000164945,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,25,0.998362,0.998294,0.998294,0,0,8,0,0,0,0,0,0,23.91,-7.43429,6.73776,87.97,163.71,0,0,0,0,0
neuromorpho__hippo-130-3.swc,105,pyramidal,0.994382,0,104,0,0,0,0.988763,0.00128031,0.985794,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988655,0.988477,0,0,0,0,35,0.988863,0.985794,0.988477,0,0,6,0,0,0,0,0,0,44.53,9.70221,15.6031,114.04,193.12,0,0,0,0,0
neuromorpho__hippo-163-4.swc,106,pyramidal,0.981762,0,105,0,0,0,0.99831,0.000164945,0.998294,0.998294,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.998294,0.998294,0,0,0,0,35,0.998342,0.998294,0.998294,0,0,6,0,0,0,0,0,0,53.6,-11.9648,11.4009,105.28,120.47,0,0,0,0,0
neuromorpho__dIN-446-nrn-ns-100408-transl-invX-scaled-straightened.swc,64,interneuron,0.984533,63,0,0,0,0,0.672095,0.338733,0.3,0.3,0.3,0.3,0.976703,0.453125,0.453125,0.453125,0.453125,0.453125,0.66689,0.3,0.460317,0,0,0,0,0,0,4,0.804112,0.3,0.571878,0.25,0.5,27.7,0,19.01,4.0254,4.80911,26.81,1090.95,0,0,0,0,0,0,0,0,0,0
neuromorpho__tom-11.swc,120,pyramidal,0.995117,0,119,0,0,0,0.988573,0.00104752,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988477,0.988477,0,0,0,0,8,0.989917,0.988477,0.988477,0,0,25.3,0,0,0,0,0,0,0,0,0,201.75,236.46,0,0,0,0,0
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt11a.swc,105,interneuron,0.598758,0,104,0,0,0,0.939653,0.00595551,0.938852,0.938852,0.938852,0.938852,0.938852,0,0,0,0,0,0,0,0,0.939072,0.938852,0,0,0,0,13,0.943732,0.938852,0.938852,0,0,12.6,0,0,0,0,0,0,12.97,-1.54288,3.61583,35.14,126.98,0,0,0,0,0
neuromorpho__hippo-1159-1new.swc,104,pyramidal,0.982132,0,103,0,0,0,0.99062,0.00573898,0.986357,0.986357,0.986357,0.986357,0.986357,0,0,0,0,0,0,0,0,0.990529,0.986357,0,0,0,0,33,0.990749,0.986357,0.986357,0,0,6,0,0,0,0,0,0,48.76,-2.03893,13.2839,151.27,203.47,0,0,0,0,0
neuromorpho__cortex-570-4.swc,104,pyramidal,0.997166,0,103,0,0,0,0.988788,0.00118824,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988679,0.988477,0,0,0,0,34,0.988966,0.988477,0.988477,0,0,6.7,0,0,0,0,0,0,44.22,-4.15136,11.6497,124.96,222.68,0,0,0,0,0
neuromorpho__cortex401-5.swc,104,pyramidal,0.979873,0,103,0,0,0,0.997847,0.00230422,0.986357,0.998131,0.998294,0.998294,0.998294,0,0,0,0,0,0,0,0,0.997826,0.998294,0,0,0,0,32,0.997595,0.986357,0.998294,0,0,6,0,0,0,0,0,0,31.5,11.2462,6.65419,121.62,187.48,0,0,0,0,0
neuromorpho__C916-WT-M8-123-3.swc,95,pyramidal,0.988488,0,0,94,0,0,0.982409,0.00184339,0.98084,0.981862,0.9823,0.9823,0.9823,0,0,0,0,0,0,0,0,0,0,0,0.982222,0.9823,0,16,0.983315,0.98084,0.9823,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,37.5,-16.516,8.59875,89.83,203.89
neuromorpho__ko20x-16.swc,117,pyramidal,0.995236,0,51,65,0,0,0.937193,0.1321,0.3,0.687955,0.827445,0.966625,0.9823,0.025641,0.0512821,0.0512821,0.0598291,0.145299,0,0,0,0.948972,0.959843,0.0588235,0.926985,0.827445,0.0461538,33,0.940962,0.3,0.838922,0.0606061,0.0909091,6,0,0,0,0,0,0,29,-2.88235,9.0286,142.27,123.28,24,4.13846,5.31725,101.62,423.97
neuromorpho__cortex303-1.swc,104,pyramidal,0.988396,0,103,0,0,0,0.988588,0.00112449,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988477,0.988477,0,0,0,0,21,0.989026,0.988477,0.988477,0,0,8,0,0,0,0,0,0,31.49,-0.295534,8.77397,71.98,164.16,0,0,0,0,0
neuromorpho__traced-WT-male-cortex-124-4c.swc,102,pyramidal,0.948699,0,101,0,0,0.00950223,0.993559,0.000668088,0.993385,0.993385,0.993385,0.993385,0.993385,0,0,0,0,0,0,0,0,0.993496,0.993385,0,0,0,0,21,0.993729,0.993385,0.993385,0,0,8,0,0,0,0,0,0,51.51,-5.51069,11.8445,84.47,122.72,0,0,0,0,0
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt18a.swc,94,interneuron,0.474695,0,93,0,0,0,0.939127,0.00699762,0.935603,0.935603,0.935603,0.935603,0.935603,0,0,0,0,0,0,0,0,0.938473,0.935603,0,0,0,0,17,0.94184,0.935603,0.935603,0,0,10.8,0,0,0,0,0,0,19.98,-0.476667,4.68994,30.59,140.53,0,0,0,0,0
neuromorpho__hippo-130-1.swc,102,pyramidal,0.989347,0,101,0,0,0.00972058,0.99345,0.000651734,0.993385,0.993385,0.993385,0.993385,0.993385,0,0,0,0,0,0,0,0,0.993385,0.993385,0,0,0,0,25,0.99365,0.993385,0.993385,0,0,6.6,0,0,0,0,0,0,29.69,-1.1795,7.93147,113.38,137.68,0,0,0,0,0
neuromorpho__hippo-104-2.swc,104,pyramidal,0.995345,0,103,0,0,0,0.989263,0.00126712,0.988477,0.988477,0.988477,0.988477,0.989163,0,0,0,0,0,0,0,0,0.989158,0.988477,0,0,0,0,33,0.989568,0.988477,0.988477,0,0,6,0,0,0,0,0,0,46.33,1.60427,8.95997,135.11,188.37,0,0,0,0,0
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt7a.swc,96,interneuron,0.745659,0,95,0,0,0,0.998443,0.000159744,0.998427,0.998427,0.998427,0.998427,0.998427,0,0,0,0,0,0,0,0,0.998427,0.998427,0,0,0,0,13,0.998548,0.998427,0.998427,0,0,18.4,0,0,0,0,0,0,11.97,4.56916,3.23507,17.15,238.79,0,0,0,0,0
neuromorpho__hippo-158-2.swc,103,pyramidal,0.995983,0,102,0,0,0,0.988758,0.00115206,0.988477,0.988477,0.988477,0.988477,0.988477,0,0,0,0,0,0,0,0,0.988648,0.988477,0,0,0,0,28,0.989001,0.988477,0.988477,0,0,8,0,0,0,0,0,0,40.29,-6.79569,9.71002,123.64,132.12,0,0,0,0,0
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt14a.swc,103,interneuron,0.85696,0,102,0,0,0,0.998442,0.000154276,0.998427,0.998427,0.998427,0.998427,0.998427,0,0,0,0,0,0,0,0,0.998427,0.998427,0,0,0,0,19,0.998509,0.998427,0.998427,0,0,10.2,0,0,0,0,0,0,16.95,2.07049,3.87569,28.73,174.48,0,0,0,0,0
