method,n_test_cells,accuracy,neurite_macro_f1,axon_f1,basal_f1,apical_f1,per_cell_f1_mean,per_cell_f1_p10,per_cell_f1_p25,pyramidal_acc,pyramidal_neurite_f1,pyramidal_apical_f1,interneuron_neurite_f1
lmeasure_lowconf@0.95,2402,0.9834259925034174,0.9519450784608453,0.9942538546753222,0.9526501205422817,0.9089312601649321,0.9260538301415487,0.6507299999999999,1.0,0.9856728060238208,0.9535554630249408,0.9162893931820049,0.9725076843723918
lmeasure_axon_cleanup@0.95,2402,0.9824022045758343,0.9503778046531378,0.9935432403444324,0.9509530320747314,0.9066371415402498,0.9316682348043297,0.6556,1.0,0.9842196431579227,0.9512918703374572,0.9139485836878659,0.9726655265890654
lmeasure_axon_cleanup@1.01,2402,0.9809512710028825,0.9500911452368617,0.9926066342584148,0.9455276739978833,0.912139127454287,0.9186927144046626,0.6395799999999999,1.0,0.984789904618047,0.9531541744530205,0.9194535187077691,0.964817451245588
lmeasure_lowconf@0.9,2402,0.9821353268007114,0.948272782171465,0.9934288766405514,0.951036480281526,0.9003529895923177,0.930339592006661,0.65627,1.0,0.9843508843068062,0.9501024188987751,0.9076806554963981,0.970913419618724
lmeasure_lowconf@0.8,2402,0.9816816547551699,0.9476665459190534,0.9931249554046824,0.9496820714245335,0.9001926109279444,0.930523646960866,0.6586099999999999,1.0,0.9838851649105267,0.9493249692681655,0.9075069152281567,0.9703528224141749
lmeasure_lowconf@0.5,2402,0.9803408612163959,0.9467041769601856,0.9918817080654979,0.9469013979483502,0.9013294248667086,0.9304632389675271,0.6606099999999999,1.0,0.9826104421037386,0.9483383193210014,0.9086677156425554,0.9684398381018082
lmeasure_axon_cleanup@0.9,2402,0.9810513753837629,0.94667986784594,0.9926553247557531,0.9491754129381312,0.8982088658439357,0.9346084929225646,0.65993,1.0,0.9829421729518826,0.9479843396543858,0.9055097227856935,0.9706446065811207
lmeasure_lowconf@0.7,2402,0.9809135994802036,0.9463690426827535,0.9925808952673101,0.9482219495216005,0.8983042832593499,0.9311348043297252,0.6606099999999999,1.0,0.9832388216249627,0.9481789780431886,0.9055786808826571,0.9690122708495248
lmeasure_axon_cleanup@0.8,2402,0.9806100083603548,0.9461532862483931,0.9923456547473888,0.9478245686490089,0.8982896353487817,0.9339238551207327,0.65945,1.0,0.9824936424124617,0.947293417231463,0.9055921004066176,0.9700852268055903
lmeasure_axon_cleanup@0.7,2402,0.9802698551870358,0.9457588442067503,0.9920959551742252,0.946847009233246,0.8983335682127797,0.9329798501248959,0.65902,1.0,0.9821224617289045,0.9467460282812143,0.9056381828634805,0.9697396768191786
