file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
neuromorpho__AA0902.swc,361,pyramidal,0.970443,150,210,0,0,0,0,0,0,0,0,0,0,0,0.895045,0.230632,0.3,0.3,0.3,0.953315,0.992567,0.130194,0.130194,0.130194,0.130194,0.130194,0.76093,0.3,0.306667,0.990341,0.992567,0.0047619,0,0,0,115,0.929867,0.3,0.766654,0.0782609,0.130435,6,0,524.99,-49.6131,104.628,1152,757.03,315.85,-30.3996,52.482,436.07,484.91,0,0,0,0,0
neuromorpho__110B_1_r_Ngr2KO_1.swc,351,pyramidal,0.985754,0,57,293,0,0,0,0,0,0,0,0,0,0,0.985826,0.0141778,0.867294,0.986935,0.987001,0.98706,0.98706,0,0,0,0,0.00854701,0,0,0,0.987617,0.994301,0,0.985429,0.987001,0,36,0.984016,0.867294,0.986935,0,0,20.5,0,0,0,0,0,0,30.09,-7.79947,5.38298,48.39,78.88,82.05,-5.63232,17.4217,81.76,246.88
neuromorpho__PRL_32.swc,362,pyramidal,0.981215,0,361,0,0,0,0,0,0,0,0,0,0,0,0.994317,0.000299099,0.994301,0.994301,0.994301,0.994301,0.994301,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0,0,0,23,0.994549,0.994301,0.994301,0,0,28.6,0,0,0,0,0,0,60.72,-15.5561,12.3399,125.37,198.2,0,0,0,0,0
neuromorpho__7month-Arctic-C5aR1-KO-11_4.swc,379,pyramidal,0.985234,0,0,378,0,0,0,0,0,0,0,0,0,0,0.987094,0.000663791,0.98706,0.98706,0.98706,0.98706,0.98706,0,0,0,0,0,0,0,0,0,0,0,0.98706,0.98706,0,34,0.987441,0.98706,0.98706,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,56.65,9.2022,12.5179,170.14,358.29
neuromorpho__S1_39.swc,363,pyramidal,0.995332,0,362,0,0,0,0,0,0,0,0,0,0,0,0.994317,0.000298688,0.994301,0.994301,0.994301,0.994301,0.994301,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0,0,0,41,0.99444,0.994301,0.994301,0,0,18,0,0,0,0,0,0,46.49,-4.94693,8.98585,182.9,204.91,0,0,0,0,0
neuromorpho__Layer-6-Ethanol-5.swc,351,pyramidal,0.963077,0,209,141,0,0,0,0,0,0,0,0,0,0,0.983082,0.0189093,0.934294,0.940845,0.940845,0.986887,0.994301,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0.966332,0.940845,0,25,0.984979,0.934294,0.948303,0,0,32.4,0,0,0,0,0,0,79.96,-3.61756,15.9884,130.79,83.55,58.98,-37.0604,13.0204,71.9,156.19
neuromorpho__Cell-3-2_10.swc,347,pyramidal,0.766866,295,51,0,0,0,0,0,0,0,0,0,0,0,0.587535,0.335473,0.3,0.3,0.3,0.3,0.3,0.576369,0.576369,0.576369,0.576369,0.576369,0.515814,0.3,0.677966,0.994301,0.994301,0,0,0,0,45,0.781085,0.3,0.3,0.333333,0.333333,12.2,0,10.35,-1.09407,2.96068,723.99,371.08,0,0,0,76.08,111.48,0,0,0,0,0
neuromorpho__236-2a-26-AW.swc,349,pyramidal,0.993295,0,194,154,0,0,0,0,0,0,0,0,0,0,0.941532,0.178238,0.3,0.3,0.98706,0.98706,0.994301,0.0716332,0.0716332,0.0716332,0.0716332,0.0716332,0,0,0,0.929882,0.994301,0.0927835,0.955828,0.98706,0.0454545,53,0.977432,0.3,0.987006,0,0.0188679,18,0,0,0,0,0,0,133.45,-25.172,32.1458,520.08,314.75,106.18,-9.94052,28.2668,376.2,361.44
neuromorpho__243-3-35VN.swc,364,pyramidal,0.996153,14,225,124,0,0,0,0,0,0,0,0,0,0,0.948323,0.168405,0.3,0.3,0.98706,0.98706,0.994301,0.0631868,0.0631868,0.0631868,0.0631868,0.0631868,0.991989,0.991989,0,0.994263,0.994301,0,0.859618,0.3,0.185484,66,0.982971,0.3,0.98706,0.0151515,0.030303,11,0,7.7,5.34286,1.78526,17.92,92.79,127.4,-27.9264,28.383,347.12,182.35,93.41,-19.2192,19.6225,182.13,539.74
neuromorpho__Cell-5-2_6.swc,380,pyramidal,0.997743,0,379,0,0,0,0,0,0,0,0,0,0,0,0.994316,0.000291948,0.994301,0.994301,0.994301,0.994301,0.994301,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0,0,0,108,0.994354,0.994301,0.994301,0,0,7,0,0,0,0,0,0,0.83,-0.00218997,0.042578,315.88,408.62,0,0,0,0,0
