file,max_prob4,n_prob4_ge_045,n_prob4_ge_035,n_prob4_ge_025,n_prob4_ge_015,n_prob4_ge_005,n_nodes,n_apical_gt,n_basal_gt,n_axon_gt,n_apical_pred,n_basal_pred,n_axon_pred,accuracy,F1_neurite,axon_F1,basal_F1,apical_F1,soma_F1
hpf_ca1__201990_005_edited.swc,0.884368896484375,1,1,1,1,5,56750,0,3284,53465,2000,1284,53465,0.9648,0.7811,1.0,0.5622,,1.0
hpf_ca1__201990_006_edited.swc,0.9061647057533264,1,1,1,1,5,66497,2102,1699,62695,2102,1699,62695,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_016_edited.swc,0.7352010011672974,1,1,1,1,8,51220,1961,1273,47985,1961,1273,47985,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_022_edited.swc,0.9123972654342651,1,1,1,1,8,62240,0,3676,58563,2263,1413,58563,0.9636,0.7777,1.0,0.5553,,1.0
hpf_ca1__201990_025_edited.swc,0.6379699110984802,1,1,1,1,3,86114,1772,2107,82234,3570,309,82234,0.9791,0.6397,1.0,0.2558,0.6634,1.0
hpf_ca1__201990_026_edited.swc,0.8922766447067261,1,1,1,1,6,36019,2254,2479,31285,2254,2479,31285,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_027_edited.swc,0.9112221002578735,1,1,1,1,7,70301,2454,1987,65859,2454,1987,65859,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_031_edited.swc,0.6007040143013,1,1,1,1,6,55514,0,3116,52397,0,3116,52397,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__201990_033_edited.swc,0.85446697473526,1,1,1,1,7,53260,1422,1321,50516,0,2743,50516,0.9733,0.55,1.0,0.6501,0.0,1.0
hpf_ca1__201990_034_edited.swc,0.7974817752838135,1,1,1,1,3,44572,2735,816,41020,2735,816,41020,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_041_edited.swc,0.0575554296374321,0,0,0,0,3,50121,0,2564,47556,0,2564,47556,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__201990_066_edited.swc,0.2101750373840332,0,0,0,1,5,5246,928,1863,2454,0,2791,2454,0.8231,0.6002,1.0,0.8006,0.0,1.0
hpf_ca1__202054_009_edited.swc,0.7247540354728699,1,1,1,2,7,37107,925,942,35239,0,1867,35239,0.9751,0.5569,1.0,0.6707,0.0,1.0
hpf_ca1__202054_012_edited.swc,0.8983573317527771,1,1,1,1,7,14929,1488,770,12670,1488,770,12670,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202217_012_edited.swc,0.07772840559482574,0,0,0,0,5,22283,0,1494,20788,0,1494,20788,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202217_014_edited.swc,0.8897402882575989,1,1,1,1,5,31115,1609,916,28589,1609,916,28589,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202217_016_edited.swc,0.06542447954416275,0,0,0,0,4,26143,0,2106,24036,0,2106,24036,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202217_018_edited.swc,0.7857383489608765,1,1,1,1,3,45687,1446,1288,42952,1446,1288,42952,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202217_019_edited.swc,0.8943812847137451,1,1,1,1,5,41296,0,2822,38473,1660,1162,38473,0.9598,0.7917,1.0,0.5833,,1.0
hpf_ca1__202217_020_edited.swc,0.9073920249938965,1,1,1,1,4,33093,1535,658,30899,1535,658,30899,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202217_023_edited.swc,0.9112341403961182,1,1,1,1,4,16882,2162,1151,13568,2162,1151,13568,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202217_025_edited.swc,0.8780280947685242,1,1,1,1,4,28854,1731,747,26375,1731,747,26375,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202219_003_edited.swc,0.9047788381576538,1,1,1,1,7,16614,1595,904,14114,1595,904,14114,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202219_005_edited.swc,0.8962236642837524,1,1,1,1,7,78591,3207,2118,73265,3418,1907,73265,0.9973,0.9719,1.0,0.9476,0.9682,1.0
hpf_ca1__202219_007_edited.swc,0.054748352617025375,0,0,0,0,4,25135,0,941,24193,0,941,24193,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202219_009_edited.swc,0.7899349927902222,1,1,1,1,4,31741,0,2455,29285,0,2455,29285,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202219_015_edited.swc,0.4032725989818573,0,1,2,2,5,2822,0,1963,858,0,1963,858,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202219_019_edited.swc,0.1500098556280136,0,0,0,1,4,4599,0,1336,3262,0,1336,3262,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202219_028_edited.swc,0.7754866480827332,2,2,2,2,9,81215,0,6512,74702,1798,4714,74702,0.9779,0.9199,1.0,0.8398,,1.0
