name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
hpf_ca1__202226_010_edited.swc,22542,pyramidal,True,0.5601,0.6701,0.9374,1411,1502,19622
hpf_ca1__202226_011_edited.swc,16855,pyramidal,True,0.5918,0.6939,0.9191,1363,2354,13125
hpf_ca1__202226_018_edited.swc,11173,pyramidal,True,0.5443,0.6582,0.8899,1229,1059,8873
hpf_ca1__202228_059_edited.swc,34646,pyramidal,True,0.5096,0.6322,0.9057,3268,1834,29539
hpf_ca1__202229_005_edited.swc,29511,pyramidal,True,0.5348,0.6511,0.9249,2215,1691,25599
hpf_ca1__202230_010_edited.swc,23971,pyramidal,True,0.5444,0.6583,0.9258,1779,1536,20652
hpf_ca1__202232_003_edited.swc,52919,pyramidal,True,1.0,1.0,1.0,2385,1035,49488
hpf_ca1__202232_004_edited.swc,18766,pyramidal,True,0.4578,0.5933,0.8811,2232,665,15868
hpf_ca1__202232_012_edited.swc,12871,pyramidal,True,0.5169,0.6377,0.8978,1314,805,10740
hpf_ca1__202232_019_edited.swc,40703,pyramidal,True,0.5152,0.6364,0.9185,3319,1993,35388
hpf_ca1__202232_020_edited.swc,22249,pyramidal,True,0.5136,0.6352,0.9204,1770,1042,19435
hpf_ca1__202232_021_edited.swc,25038,pyramidal,True,0.4958,0.6218,0.9555,1115,530,23387
hpf_ca1__202232_022_edited.swc,118347,pyramidal,True,0.5422,0.6567,0.98,2364,1984,113995
hpf_ca1__202232_064_edited.swc,9458,pyramidal,True,0.133,0.3497,0.177,2741,1673,5041
hpf_ca1__202232_069_edited.swc,14507,pyramidal,True,0.5464,0.6598,0.887,1639,1452,11412
hpf_ca1__202232_071_edited.swc,16712,pyramidal,True,0.5047,0.6285,0.8918,1806,955,13925
hpf_ca1__202232_073_edited.swc,92178,pyramidal,True,0.5356,0.6517,0.9706,2706,2088,87366
hpf_ca1__202233_006_edited.swc,91730,pyramidal,True,1.0,1.0,1.0,3060,1873,86796
hpf_ca1__202233_007_edited.swc,57064,pyramidal,True,0.5171,0.6378,0.9483,2886,1872,52305
hpf_ca1__202233_010_edited.swc,89353,pyramidal,True,0.8415,0.8811,0.9883,2735,1677,84940
hpf_ca1__202233_014_edited.swc,21401,pyramidal,True,0.5279,0.6459,0.9322,1452,1018,18930
hpf_ca1__202233_017_edited.swc,55771,pyramidal,True,0.5055,0.6292,0.9429,3187,1703,50875
