arm,round,n_labeled,n_curator_corrections,neurite_macro_f1,apical_f1,basal_f1,axon_f1,per_cell_f1_mean,per_cell_f1_p10,node_accuracy
flag,0,738,0,0.7527,0.7544,0.9119,0.5917,0.8176,0.4475,0.5208
flag,1,938,200,0.7682,0.8046,0.9127,0.5874,0.8316,0.4559,0.5223
flag,2,1138,400,0.7766,0.8096,0.9261,0.594,0.8403,0.4982,0.5273
flag,3,1338,600,0.7772,0.811,0.9273,0.5934,0.8384,0.4772,0.5275
flag,4,1538,800,0.7747,0.8142,0.9197,0.5901,0.8423,0.4996,0.525
flag,5,1738,1000,0.7787,0.813,0.9293,0.5936,0.8439,0.5038,0.528
flag,6,1938,1200,0.7791,0.8149,0.9288,0.5934,0.8447,0.4992,0.5279
flag,7,2138,1400,0.7807,0.8192,0.9291,0.5938,0.8446,0.4997,0.5285
flag,8,2338,1600,0.7817,0.8191,0.9312,0.5948,0.8476,0.4997,0.5292
random,0,738,0,0.7527,0.7544,0.9119,0.5917,0.8176,0.4475,0.5208
random,1,938,200,0.755,0.7611,0.9133,0.5907,0.819,0.4508,0.5207
random,2,1138,400,0.7637,0.7826,0.917,0.5915,0.8206,0.46,0.5228
random,3,1338,600,0.7591,0.7835,0.9074,0.5864,0.823,0.4671,0.519
random,4,1538,800,0.7581,0.7785,0.9088,0.5868,0.8261,0.4601,0.5194
random,5,1738,1000,0.7583,0.7922,0.9007,0.5819,0.8299,0.4637,0.5167
random,6,1938,1200,0.7591,0.7947,0.9012,0.5816,0.8313,0.4667,0.5169
random,7,2138,1400,0.7656,0.7967,0.9124,0.5878,0.8343,0.4667,0.5216
random,8,2338,1600,0.7715,0.8012,0.9206,0.5926,0.8353,0.4667,0.5255
