method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__201983_047_edited.swc,pyramidal,18073,1.0000,1.0000
neurom_rf,hpf_ca1__201990_003_edited.swc,pyramidal,42263,0.9991,0.9951
neurom_rf,hpf_ca1__201990_006_edited.swc,pyramidal,66497,0.9795,0.8113
neurom_rf,hpf_ca1__201990_022_edited.swc,pyramidal,62240,0.9877,0.9447
neurom_rf,hpf_ca1__201990_035_edited.swc,pyramidal,30354,0.9975,0.9921
neurom_rf,hpf_ca1__201990_038_edited.swc,pyramidal,31904,0.9368,0.9474
neurom_rf,hpf_ca1__201990_063_edited.swc,pyramidal,27280,0.9342,0.9791
neurom_rf,hpf_ca1__201990_066_edited.swc,pyramidal,5246,0.9750,0.9670
neurom_rf,hpf_ca1__202054_008_edited.swc,pyramidal,19059,0.9913,0.9976
neurom_rf,hpf_ca1__202054_009_edited.swc,pyramidal,37107,0.9890,0.9376
neurom_rf,hpf_ca1__202217_012_edited.swc,pyramidal,22283,0.9303,0.9475
neurom_rf,hpf_ca1__202217_019_edited.swc,pyramidal,41296,0.9815,0.9286
neurom_rf,hpf_ca1__202217_020_edited.swc,pyramidal,33093,0.9950,0.9749
neurom_rf,hpf_ca1__202219_007_edited.swc,pyramidal,25135,0.9647,0.9546
neurom_rf,hpf_ca1__202219_009_edited.swc,pyramidal,31741,0.9814,0.9430
neurom_rf,hpf_ca1__202219_011_edited.swc,pyramidal,73358,0.9921,0.9630
neurom_rf,hpf_ca1__202219_041_edited.swc,pyramidal,33018,0.9593,0.6867
neurom_rf,hpf_ca1__202224_002_edited.swc,pyramidal,3065,1.0000,1.0000
neurom_rf,hpf_ca1__202226_007_edited.swc,pyramidal,30190,0.9338,0.7713
neurom_rf,hpf_ca1__202226_011_edited.swc,pyramidal,16855,0.9175,0.8440
neurom_rf,hpf_ca1__202230_009_edited.swc,pyramidal,20282,0.9792,0.9885
neurom_rf,hpf_ca1__202232_003_edited.swc,pyramidal,52919,0.9974,0.9902
neurom_rf,hpf_ca1__202232_004_edited.swc,pyramidal,18766,1.0000,1.0000
neurom_rf,hpf_ca1__202232_022_edited.swc,pyramidal,118347,1.0000,1.0000
neurom_rf,hpf_ca1__202232_071_edited.swc,pyramidal,16712,0.9999,0.9997
neurom_rf,hpf_ca1__202234_026_edited.swc,pyramidal,105116,0.9922,0.8569
neurom_rf,hpf_ca1__202237_014_edited.swc,pyramidal,82589,0.9990,0.9922
neurom_rf,hpf_ca1__202237_023_edited.swc,pyramidal,26024,0.9963,0.9846
neurom_rf,hpf_ca1__202237_041_edited.swc,pyramidal,21926,0.7890,0.6725
neurom_rf,hpf_ca1__202237_042_edited.swc,pyramidal,37761,1.0000,1.0000
neurom_rf,hpf_ca1__202237_043_edited.swc,pyramidal,34679,1.0000,1.0000
neurom_rf,hpf_ca1__202237_108_edited.swc,pyramidal,37518,0.9993,0.9964
neurom_rf,hpf_ca1__202237_157_edited.swc,pyramidal,26652,1.0000,1.0000
neurom_rf,hpf_ca1__202238_008_edited.swc,pyramidal,82787,0.9985,0.9720
neurom_rf,hpf_ca1__202238_014_edited.swc,pyramidal,65862,0.9996,0.9978
neurom_rf,hpf_ca1__202238_041_edited.swc,pyramidal,55049,0.9708,0.7647
neurom_rf,hpf_ca1__202239_002_edited.swc,pyramidal,53262,0.9939,0.9814
neurom_rf,hpf_ca1__202240_008_edited.swc,pyramidal,33251,0.9690,0.8118
neurom_rf,hpf_ca1__202240_009_edited.swc,pyramidal,19540,1.0000,1.0000
neurom_rf,hpf_ca1__202240_012_edited.swc,pyramidal,46841,0.9725,0.8950
neurom_rf,hpf_ca1__202240_013_edited.swc,pyramidal,61254,0.9987,0.9958
neurom_rf,hpf_ca1__202240_024_edited.swc,pyramidal,17760,0.9053,0.8228
neurom_rf,hpf_ca1__202240_038_edited.swc,pyramidal,33672,0.9944,0.9906
neurom_rf,hpf_ca1__202241_002_edited.swc,pyramidal,44226,0.9936,0.9800
neurom_rf,hpf_ca1__202241_016_edited.swc,pyramidal,19712,0.9800,0.9477
neurom_rf,hpf_ca1__202241_017_edited.swc,pyramidal,47962,0.9283,0.9734
neurom_rf,hpf_ca1__202243_013_edited.swc,pyramidal,37867,0.9475,0.6740
neurom_rf,hpf_ca1__202244_005_edited.swc,pyramidal,16774,0.9791,0.9522
neurom_rf,hpf_ca1__202244_007_edited.swc,pyramidal,12143,0.9833,0.9545
neurom_rf,hpf_ca1__202244_008_edited.swc,pyramidal,9690,0.9969,0.9926
