file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source
allen__H16.03.005.01.03.02_526725807.swc,pyramidal,9770,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9881,True,1,72.39,59.07,-13.31,115.79,0.147,0.451,0.401,1440,3918,4411,1.36,allen
allen__H16.03.005.01.04.03_526727406.swc,pyramidal,13921,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9548,True,1,36.12,52.14,16.02,106.90,0.535,0.255,0.210,7451,2925,3544,1.71,allen
allen__H16.03.006.01.04.01_537204107.swc,pyramidal,25937,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.8981,True,1,29.85,35.45,5.60,92.55,0.601,0.210,0.188,15601,4882,5453,2.62,allen
allen__H16.06.004.01.04.01_508279351.swc,pyramidal,10529,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9870,True,1,63.76,90.88,27.12,126.58,0.260,0.380,0.360,2736,3792,4000,1.32,allen
allen__H16.06.004.01.04.03_508282493.swc,pyramidal,10880,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.8325,True,1,58.99,98.88,39.89,146.53,0.517,0.260,0.222,5630,2418,2831,1.47,allen
allen__H16.06.007.01.05.02_531517778.swc,pyramidal,30868,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9924,True,1,32.69,54.57,21.88,171.35,0.591,0.207,0.201,18245,6219,6403,2.81,allen
allen__H16.06.007.01.07.04_531526539.swc,pyramidal,13268,v12_gentle_seed789,0.4781,0.6838,1.0000,0.4343,0.0000,interneuron,0.8835,False,1,36.27,44.45,8.18,112.64,0.562,0.316,0.121,7460,5807,0,0.90,allen
allen__H16.06.008.01.26.04_527942865.swc,pyramidal,5890,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9898,True,1,51.72,52.83,1.11,131.00,0.277,0.438,0.286,1629,1683,2577,0.92,allen
allen__H16.06.009.01.01.06.01_528602977.swc,pyramidal,8798,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9772,True,1,91.00,96.82,5.82,177.45,0.343,0.346,0.311,3020,2736,3041,1.41,allen
allen__H16.06.009.01.01.18.03_528687520.swc,interneuron,12081,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9939,True,1,56.72,,,0.00,0.796,0.000,0.204,9612,2468,0,0.82,allen
allen__H16.06.011.01.01.10.04_539542640.swc,pyramidal,12711,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9789,True,1,50.90,76.98,26.08,168.54,0.229,0.428,0.342,2914,4353,5443,1.79,allen
allen__H16.06.012.11.06.01_548408551.swc,pyramidal,15940,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9862,True,1,26.60,43.67,17.07,141.01,0.441,0.300,0.259,7027,4125,4787,1.83,allen
allen__H16.06.012.11.08.02_548425467.swc,pyramidal,20063,v12_gentle_seed789,0.9790,0.9872,0.9915,0.9456,1.0000,pyramidal,0.9759,True,1,31.08,39.99,8.91,104.16,0.744,0.133,0.124,15178,2225,2659,2.30,allen
allen__H17.03.002.11.04.01_569818704.swc,pyramidal,8351,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9693,True,1,27.19,55.73,28.54,117.45,0.233,0.422,0.345,1943,2879,3528,1.10,allen
allen__H17.03.008.11.03.04_595568262.swc,interneuron,7386,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9983,True,1,19.32,,,0.00,0.940,0.000,0.060,6943,442,0,0.99,allen
allen__H17.06.003.11.05.04_567742660.swc,interneuron,33040,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9975,True,1,35.93,,,0.00,0.827,0.000,0.173,27337,5702,0,1.15,allen
allen__H17.06.004.11.05.04_569095789.swc,pyramidal,7001,v12_gentle_seed789,0.5300,0.7963,1.0000,0.5900,0.0000,pyramidal,0.6872,True,1,13.54,38.62,25.07,106.10,0.650,0.204,0.147,4548,2452,0,1.16,allen
allen__H17.06.005.12.15.04_571471295.swc,pyramidal,17244,v12_gentle_seed789,0.8964,0.9132,0.9399,0.7492,1.0000,pyramidal,0.9192,True,1,24.79,43.09,18.29,121.79,0.679,0.105,0.216,13197,2234,1812,1.88,allen
allen__H17.06.005.12.15.05_571483807.swc,pyramidal,19604,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9518,True,1,33.98,32.84,-1.14,115.53,0.586,0.139,0.275,11486,5396,2721,2.15,allen
allen__H17.06.005.13.05.02_571430815.swc,pyramidal,7641,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.8553,True,1,24.08,37.99,13.91,79.35,0.500,0.375,0.124,3824,948,2868,1.26,allen
allen__H17.06.005.13.05.06_571500474.swc,pyramidal,5576,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9752,True,1,19.88,24.29,4.41,80.62,0.169,0.448,0.383,943,2135,2497,1.01,allen
allen__H17.06.006.11.08.02_571624532.swc,pyramidal,26161,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9754,True,1,30.80,38.71,7.91,160.15,0.698,0.159,0.143,18272,3728,4160,2.28,allen
allen__H17.06.006.11.09.04_571691416.swc,pyramidal,8027,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9953,True,1,14.71,61.49,46.78,123.31,0.003,0.642,0.354,28,2842,5156,1.33,allen
allen__H17.06.007.11.06.01_576084692.swc,interneuron,16559,v12_gentle_seed789,0.9216,0.9746,0.9861,0.8571,,interneuron,0.9842,True,1,36.96,,,0.00,0.898,0.000,0.101,15298,1260,0,1.10,allen
allen__H17.06.009.11.04.02_596020931.swc,interneuron,43035,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9967,True,1,24.92,,,0.00,0.920,0.000,0.080,39610,3424,0,2.24,allen
allen__H17.06.012.14.08.03_611598198.swc,interneuron,4956,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9603,True,1,22.52,,,0.00,0.955,0.000,0.045,4734,221,0,0.56,allen
allen__H17.06.013.12.03.01_643572206.swc,interneuron,4016,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.7443,True,1,24.08,,,0.00,0.851,0.000,0.149,3417,598,0,0.37,allen
allen__H17.06.013.12.03.03_643582610.swc,interneuron,13995,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9841,True,1,30.98,,,0.00,0.868,0.000,0.132,12149,1845,0,0.95,allen
allen__Htr3a-Cre_NO152_Ai14-286731.04.02.01_561553133.swc,interneuron,2808,v12_gentle_seed789,0.4740,0.9014,0.0000,0.9481,,interneuron,0.4144,True,1,19.11,,,0.00,0.099,0.000,0.901,0,2807,0,0.31,allen
allen__Htr3a-Cre_NO152_Ai14-288785.03.02.01_561985849.swc,interneuron,14318,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9978,True,1,21.89,,,0.00,0.801,0.000,0.199,11469,2848,0,1.17,allen
allen__Htr3a-Cre_NO152_Ai14-306203.03.02.01_574993444.swc,interneuron,13855,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9633,True,1,19.12,,,0.00,0.845,0.000,0.155,11704,2150,0,0.89,allen
allen__Htr3a-Cre_NO152_Ai14-308439.03.01.01_578485753.swc,interneuron,12986,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9930,True,1,13.49,,,0.00,0.896,0.000,0.104,11637,1348,0,1.10,allen
allen__Htr3a-Cre_NO152_Pvalb-T2A-Dre_Ai66-304920.02.02.01_580162374.swc,interneuron,19466,v12_gentle_seed789,0.9734,0.9867,0.9922,0.9545,,interneuron,0.9988,True,1,13.49,,,0.00,0.848,0.000,0.152,16757,2708,0,1.43,allen
allen__Htr3a-Cre_NO152_Pvalb-T2A-Dre_Ai66-304920.03.02.01_580161872.swc,interneuron,15948,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9968,True,1,14.03,,,0.00,0.888,0.000,0.112,14154,1793,0,1.29,allen
allen__Htr3a-Cre_NO152_Pvalb-T2A-Dre_Ai66-313949.04.02.01_586379590.swc,interneuron,15218,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9987,True,1,18.51,,,0.00,0.810,0.000,0.190,12326,2891,0,1.20,allen
allen__Ndnf-IRES2-dgCre_Ai14-298343.05.02.02_569494755.swc,interneuron,9196,v12_gentle_seed789,0.9937,0.9965,0.9979,0.9896,,interneuron,0.9954,True,1,14.04,,,0.00,0.832,0.000,0.168,7679,1516,0,0.97,allen
allen__Ndnf-IRES2-dgCre_Ai14-306261.05.02.01_574734127.swc,interneuron,15926,v12_gentle_seed789,0.9828,0.9901,0.9940,0.9717,,interneuron,0.9983,True,1,21.28,,,0.00,0.820,0.000,0.180,13215,2710,0,1.06,allen
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-346512.05.02.01_623185845.swc,interneuron,6831,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9905,True,1,20.72,,,0.00,0.420,0.000,0.580,2868,3962,0,0.64,allen
allen__Oxtr-2A-Cre_Ai14-293839.02.02.02_565415071.swc,interneuron,20203,v12_gentle_seed789,0.9882,0.9955,0.9975,0.9789,,interneuron,0.9988,True,1,16.32,,,0.00,0.892,0.000,0.108,18119,2083,0,1.49,allen
allen__Pvalb-IRES-Cre_Ai14-176848.03.01.01_333604946.swc,interneuron,6772,v12_gentle_seed789,0.8278,0.8847,0.9267,0.7289,,interneuron,0.9850,True,1,38.64,,,0.00,0.729,0.000,0.270,5721,1050,0,0.65,allen
allen__Pvalb-IRES-Cre_Ai14-299135.03.02.01_569723405.swc,interneuron,17324,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9956,True,1,31.45,,,0.00,0.867,0.000,0.133,15018,2305,0,1.28,allen
allen__Pvalb-IRES-Cre_Ai14-299135.05.01.01_569723367.swc,interneuron,20837,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9984,True,1,21.00,,,0.00,0.911,0.000,0.089,18989,1847,0,1.82,allen
allen__Pvalb-IRES-Cre_Ai14-299333.03.01.01_569998790.swc,interneuron,13416,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9983,True,1,25.48,,,0.00,0.800,0.000,0.200,10733,2682,0,1.04,allen
allen__Pvalb-IRES-Cre_Ai14-299335.05.01.01_570946690.swc,interneuron,10667,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9977,True,1,140.00,,,0.00,0.780,0.000,0.220,8323,2343,0,0.99,allen
allen__Vip-IRES-Cre_Ai14-299123.04.01.01_570896413.swc,interneuron,4684,v12_gentle_seed789,0.9995,0.9996,0.9997,0.9994,,interneuron,0.9982,True,1,12.04,,,0.00,0.647,0.000,0.353,3032,1651,0,0.52,allen
allen__Vipr2-IRES2-Cre_Pvalb-T2A-FlpO_Ai65-344474.05.01.01_614767057.swc,interneuron,14473,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9983,True,1,28.12,,,0.00,0.815,0.000,0.185,11796,2676,0,1.29,allen
allen__Vipr2-IRES2-Cre_Slc32a1-T2A-FlpO_Ai65-315067.06.01.01_585841870.swc,interneuron,14705,v12_gentle_seed789,0.9507,0.9766,0.9864,0.9150,,interneuron,0.9807,True,1,27.44,,,0.00,0.851,0.000,0.149,12853,1851,0,1.62,allen
hpf_ca1__201983_047_edited.swc,pyramidal,18073,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9988,True,1,8917.76,8779.47,-138.29,402.42,0.825,0.115,0.060,14914,1077,2081,1.93,hpf_ca1
hpf_ca1__201990_003_edited.swc,pyramidal,42263,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9967,True,1,9680.55,9352.36,-328.19,708.76,0.857,0.096,0.048,36207,2009,4046,3.20,hpf_ca1
hpf_ca1__201990_006_edited.swc,pyramidal,66497,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9981,True,1,9608.41,9381.83,-226.58,530.34,0.943,0.032,0.026,62695,1699,2102,4.08,hpf_ca1
hpf_ca1__201990_022_edited.swc,pyramidal,62240,v12_gentle_seed789,0.7777,0.9636,1.0000,0.5553,,pyramidal,0.9977,True,1,9585.00,,,0.00,0.941,0.000,0.059,58563,1413,2263,3.76,hpf_ca1
hpf_ca1__201990_035_edited.swc,pyramidal,30354,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9977,True,1,9529.16,9358.41,-170.75,491.88,0.921,0.056,0.023,27961,700,1692,2.20,hpf_ca1
hpf_ca1__201990_038_edited.swc,pyramidal,31904,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9841,True,1,9396.86,,,0.00,0.908,0.000,0.092,28969,2934,0,13.10,hpf_ca1
hpf_ca1__201990_063_edited.swc,pyramidal,27280,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9974,True,1,9229.28,,,0.00,0.921,0.000,0.079,25114,2165,0,3.27,hpf_ca1
hpf_ca1__201990_066_edited.swc,pyramidal,5246,v12_gentle_seed789,0.6002,0.8231,1.0000,0.8006,0.0000,pyramidal,0.9582,True,1,9374.85,9199.15,-175.70,308.46,0.468,0.177,0.355,2454,2791,0,1.95,hpf_ca1
hpf_ca1__202054_008_edited.swc,pyramidal,19059,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9974,True,1,7979.84,,,0.00,0.902,0.000,0.098,17191,1867,0,3.35,hpf_ca1
hpf_ca1__202054_009_edited.swc,pyramidal,37107,v12_gentle_seed789,0.5569,0.9751,1.0000,0.6707,0.0000,pyramidal,0.9988,True,1,8111.61,8020.44,-91.17,231.63,0.950,0.025,0.025,35239,1867,0,2.86,hpf_ca1
hpf_ca1__202217_012_edited.swc,pyramidal,22283,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9972,True,1,8768.03,,,0.00,0.933,0.000,0.067,20788,1494,0,6.91,hpf_ca1
hpf_ca1__202217_019_edited.swc,pyramidal,41296,v12_gentle_seed789,0.7917,0.9598,1.0000,0.5833,,pyramidal,0.9985,True,1,9160.30,,,0.00,0.932,0.000,0.068,38473,1162,1660,2.88,hpf_ca1
hpf_ca1__202217_020_edited.swc,pyramidal,33093,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9990,True,1,9158.54,9001.80,-156.74,420.07,0.934,0.046,0.020,30899,658,1535,2.72,hpf_ca1
hpf_ca1__202219_007_edited.swc,pyramidal,25135,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9956,True,1,8798.94,,,0.00,0.963,0.000,0.037,24193,941,0,2.94,hpf_ca1
hpf_ca1__202219_009_edited.swc,pyramidal,31741,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9987,True,1,8884.63,,,0.00,0.923,0.000,0.077,29285,2455,0,3.05,hpf_ca1
hpf_ca1__202219_011_edited.swc,pyramidal,73358,v12_gentle_seed789,0.8366,0.9730,1.0000,0.6732,,pyramidal,0.9989,True,1,8740.53,,,0.00,0.945,0.000,0.055,69342,2037,1978,4.56,hpf_ca1
hpf_ca1__202219_041_edited.swc,pyramidal,33018,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9978,True,1,8956.40,,,0.00,0.976,0.000,0.024,32212,805,0,2.29,hpf_ca1
hpf_ca1__202224_002_edited.swc,pyramidal,3065,v12_gentle_seed789,0.2363,0.3096,0.0000,0.4726,,pyramidal,0.9325,True,1,9765.29,,,0.00,0.284,0.000,0.716,1247,1817,0,0.77,hpf_ca1
hpf_ca1__202226_007_edited.swc,pyramidal,30190,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9967,True,1,9695.54,9442.07,-253.47,682.30,0.840,0.125,0.035,25365,1046,3778,2.47,hpf_ca1
hpf_ca1__202226_011_edited.swc,pyramidal,16855,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9967,True,1,9810.22,9513.60,-296.62,543.69,0.779,0.081,0.140,13137,2354,1363,1.62,hpf_ca1
hpf_ca1__202230_009_edited.swc,pyramidal,20282,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9884,True,1,8280.07,,,0.00,0.956,0.000,0.044,19398,883,0,2.59,hpf_ca1
hpf_ca1__202232_003_edited.swc,pyramidal,52919,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9990,True,1,9544.35,9321.88,-222.47,421.53,0.935,0.045,0.020,49498,1035,2385,3.19,hpf_ca1
hpf_ca1__202232_004_edited.swc,pyramidal,18766,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9988,True,1,9667.06,9425.65,-241.41,574.69,0.846,0.119,0.035,15868,665,2232,1.95,hpf_ca1
hpf_ca1__202232_022_edited.swc,pyramidal,118347,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9986,True,1,9655.23,9398.19,-257.04,609.80,0.963,0.020,0.017,113998,1984,2364,6.11,hpf_ca1
hpf_ca1__202232_071_edited.swc,pyramidal,16712,v12_gentle_seed789,0.9997,0.9999,1.0000,0.9995,0.9997,pyramidal,0.9986,True,1,9622.70,9403.18,-219.52,482.70,0.835,0.108,0.057,13950,954,1807,1.61,hpf_ca1
hpf_ca1__202234_026_edited.swc,pyramidal,105116,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9985,True,1,9806.90,9609.45,-197.45,763.61,0.963,0.026,0.011,101176,1199,2740,5.83,hpf_ca1
hpf_ca1__202237_014_edited.swc,pyramidal,82589,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9984,True,1,9047.19,8907.99,-139.20,530.54,0.945,0.034,0.021,78059,1757,2772,5.36,hpf_ca1
hpf_ca1__202237_023_edited.swc,pyramidal,26024,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9989,True,1,8718.46,8552.27,-166.19,443.09,0.917,0.040,0.042,23876,1096,1051,2.24,hpf_ca1
hpf_ca1__202237_041_edited.swc,pyramidal,21926,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9967,True,1,8178.30,,,0.00,0.852,0.000,0.148,18677,3248,0,3.00,hpf_ca1
hpf_ca1__202237_042_edited.swc,pyramidal,37761,v12_gentle_seed789,0.5138,0.9734,1.0000,0.5415,0.0000,pyramidal,0.9939,True,1,8333.72,8190.80,-142.92,460.09,0.958,0.027,0.016,36160,1600,0,2.46,hpf_ca1
hpf_ca1__202237_043_edited.swc,pyramidal,34679,v12_gentle_seed789,0.5307,0.9763,1.0000,0.5920,0.0000,pyramidal,0.9983,True,1,8367.91,8243.04,-124.87,289.21,0.959,0.024,0.017,33258,1420,0,2.16,hpf_ca1
hpf_ca1__202237_108_edited.swc,pyramidal,37518,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9981,True,1,8947.95,8749.96,-197.99,569.48,0.945,0.032,0.023,35440,861,1216,2.91,hpf_ca1
hpf_ca1__202237_157_edited.swc,pyramidal,26652,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9983,True,1,8680.43,8520.71,-159.72,404.63,0.885,0.071,0.043,23599,1158,1894,2.09,hpf_ca1
hpf_ca1__202238_008_edited.swc,pyramidal,82787,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9987,True,1,8934.46,8811.65,-122.81,313.51,0.970,0.014,0.016,80268,1327,1191,4.74,hpf_ca1
hpf_ca1__202238_014_edited.swc,pyramidal,65862,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9987,True,1,8722.42,8594.66,-127.76,306.32,0.952,0.028,0.019,62720,1279,1862,4.19,hpf_ca1
hpf_ca1__202238_041_edited.swc,pyramidal,55049,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9968,True,1,9029.48,8815.29,-214.19,627.26,0.936,0.037,0.027,51533,1464,2051,3.27,hpf_ca1
hpf_ca1__202239_002_edited.swc,pyramidal,53262,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9947,True,1,7877.54,,,0.00,0.968,0.000,0.032,51555,1706,0,3.39,hpf_ca1
hpf_ca1__202240_008_edited.swc,pyramidal,33251,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9962,True,1,7885.57,7833.28,-52.29,246.15,0.935,0.039,0.026,31091,868,1291,3.11,hpf_ca1
hpf_ca1__202240_009_edited.swc,pyramidal,19540,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9942,True,1,7960.95,7893.88,-67.07,199.96,0.924,0.050,0.026,18053,507,979,2.10,hpf_ca1
hpf_ca1__202240_012_edited.swc,pyramidal,46841,v12_gentle_seed789,0.7534,0.9555,1.0000,0.5067,,pyramidal,0.9980,True,1,8138.51,,,0.00,0.933,0.000,0.067,43687,1070,2083,3.33,hpf_ca1
hpf_ca1__202240_013_edited.swc,pyramidal,61254,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9989,True,1,8172.29,8199.86,27.57,315.42,0.917,0.055,0.028,56167,1692,3394,4.11,hpf_ca1
hpf_ca1__202240_024_edited.swc,pyramidal,17760,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9970,True,1,8153.51,,,0.00,0.910,0.000,0.090,16164,1595,0,3.26,hpf_ca1
hpf_ca1__202240_038_edited.swc,pyramidal,33672,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9981,True,1,7727.98,,,0.00,0.950,0.000,0.050,32003,1668,0,3.16,hpf_ca1
hpf_ca1__202241_002_edited.swc,pyramidal,44226,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9986,True,1,8113.69,8018.78,-94.91,393.27,0.903,0.054,0.044,39914,1935,2376,3.68,hpf_ca1
hpf_ca1__202241_016_edited.swc,pyramidal,19712,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9987,True,1,8102.64,8052.19,-50.45,301.93,0.807,0.092,0.100,15916,1975,1820,2.03,hpf_ca1
hpf_ca1__202241_017_edited.swc,pyramidal,47962,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9964,True,1,8310.94,,,0.00,0.830,0.000,0.170,39803,8158,0,3.25,hpf_ca1
hpf_ca1__202243_013_edited.swc,pyramidal,37867,v12_gentle_seed789,0.5241,0.9528,1.0000,0.5722,0.0000,pyramidal,0.9957,True,1,8044.81,7979.50,-65.31,274.98,0.921,0.047,0.032,34882,2984,0,2.82,hpf_ca1
hpf_ca1__202244_005_edited.swc,pyramidal,16774,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9982,True,1,8259.17,8227.82,-31.35,253.34,0.821,0.093,0.086,13775,1446,1552,1.89,hpf_ca1
hpf_ca1__202244_007_edited.swc,pyramidal,12143,v12_gentle_seed789,0.6588,0.9567,0.9764,0.0000,1.0000,pyramidal,0.9972,True,1,8270.30,8282.16,11.86,170.76,0.895,0.061,0.043,11398,0,744,1.35,hpf_ca1
hpf_ca1__202244_008_edited.swc,pyramidal,9690,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9987,True,1,8284.49,8270.78,-13.71,212.92,0.686,0.207,0.107,6646,1034,2009,1.49,hpf_ca1
