file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source
allen__Chat-IRES-Cre-neo_Ai14-287662.04.02.01_562003142.swc,interneuron,3841,v12_gentle_seed789,0.7835,0.7870,0.7561,0.8109,,interneuron,0.9819,True,1,14.00,,,0.00,0.330,0.000,0.670,2086,1754,0,1.74,allen
allen__Chat-IRES-Cre-neo_Ai14-313181.04.02.01_582644266.swc,interneuron,4292,v12_gentle_seed789,0.8139,0.8178,0.8408,0.7869,,interneuron,0.9859,True,1,28.56,,,0.00,0.481,0.000,0.519,2847,1444,0,0.53,allen
allen__Chat-IRES-Cre-neo_Ai14-313182.03.01.01_583138230.swc,interneuron,6147,v12_gentle_seed789,0.9294,0.9294,0.9290,0.9298,,interneuron,0.9497,True,1,25.76,,,0.00,0.462,0.000,0.538,3272,2874,0,0.66,allen
allen__Chat-IRES-Cre-neo_Ai14-316042.03.01.01_586071425.swc,interneuron,7603,v12_gentle_seed789,0.9918,0.9936,0.9956,0.9881,,interneuron,0.9949,True,1,19.32,,,0.00,0.725,0.000,0.274,5564,2038,0,0.69,allen
allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,interneuron,4879,v12_gentle_seed789,0.8438,0.8465,0.8643,0.8232,,interneuron,0.9976,True,1,17.08,,,0.00,0.489,0.000,0.511,3134,1744,0,0.51,allen
allen__Chat-IRES-Cre-neo_Ai14-316042.06.01.01_586072783.swc,interneuron,9284,v12_gentle_seed789,0.9352,0.9409,0.9543,0.9161,,interneuron,0.9724,True,1,19.50,,,0.00,0.618,0.000,0.382,6286,2997,0,0.79,allen
allen__Chat-IRES-Cre-neo_Ai14-316043.04.02.01_585925172.swc,interneuron,5673,v12_gentle_seed789,0.9998,0.9998,0.9999,0.9997,,interneuron,0.9809,True,1,19.19,,,0.00,0.648,0.000,0.352,3677,1995,0,0.55,allen
allen__Chrna2-Cre_OE25_Ai14(BT)-281693.05.01.01_555001065.swc,interneuron,11648,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9952,True,1,16.31,,,0.00,0.701,0.000,0.299,8162,3485,0,0.87,allen
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294467.03.01.01_566761793.swc,interneuron,18011,v12_gentle_seed789,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9966,True,1,13.63,,,0.00,0.901,0.000,0.099,16220,1790,0,1.34,allen
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294916.03.01.02_567354967.swc,interneuron,14375,v12_gentle_seed789,0.9724,0.9850,0.9910,0.9538,,interneuron,0.9970,True,1,13.44,,,0.00,0.830,0.000,0.170,12143,2231,0,0.92,allen
