method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202248_022_edited.swc,pyramidal,13308,0.9599,0.8931
neurom_rf,hpf_ca1__202249_008_edited.swc,pyramidal,24715,0.9713,0.8513
neurom_rf,hpf_ca1__202249_011_edited.swc,pyramidal,17644,0.9731,0.9047
neurom_rf,hpf_ca1__202249_013_edited.swc,pyramidal,61684,0.9571,0.7446
neurom_rf,hpf_ca1__202249_015_edited.swc,pyramidal,33834,0.9288,0.6461
neurom_rf,hpf_ca1__202249_020_edited.swc,pyramidal,13358,0.9839,0.9686
neurom_rf,hpf_ca1__202250_003_edited.swc,pyramidal,11898,0.9370,0.8574
neurom_rf,hpf_ca1__202250_007_edited.swc,pyramidal,16084,0.9631,0.9216
neurom_rf,hpf_ca1__202252_003_edited.swc,pyramidal,24673,0.9425,0.8043
neurom_rf,hpf_ca1__202252_006_edited.swc,pyramidal,31045,0.9488,0.8331
neurom_rf,hpf_ca1__202252_007_edited.swc,pyramidal,24544,0.9594,0.8362
neurom_rf,hpf_ca1__202252_010_edited.swc,pyramidal,11173,0.9305,0.8384
neurom_rf,hpf_ca1__202258_019_edited.swc,pyramidal,53511,0.9598,0.6975
neurom_rf,hpf_ca1__202258_024_edited.swc,pyramidal,45054,0.9899,0.9122
neurom_rf,hpf_ca1__202258_025_edited.swc,pyramidal,8169,0.6990,0.5596
neurom_rf,hpf_ca1__202258_039_edited.swc,pyramidal,9388,0.7942,0.5847
neurom_rf,hpf_ca1__202258_044_edited.swc,pyramidal,46542,0.9838,0.8897
neurom_rf,hpf_ca1__202258_045_edited.swc,pyramidal,93614,0.9879,0.8913
neurom_rf,hpf_ca1__202258_049_edited.swc,pyramidal,33593,0.9672,0.7836
neurom_rf,hpf_ca1__202259_054_edited.swc,pyramidal,26126,0.9813,0.8627
neurom_rf,hpf_ca1__202259_130_edited.swc,pyramidal,82953,0.9870,0.8536
neurom_rf,hpf_ca1__202260_002_edited.swc,pyramidal,45091,0.9881,0.9388
neurom_rf,hpf_ca1__202261_008_edited.swc,pyramidal,64695,0.9674,0.7308
neurom_rf,hpf_ca1__202261_016_edited.swc,pyramidal,38091,0.8945,0.5402
neurom_rf,hpf_ca1__202261_029_edited.swc,pyramidal,6616,0.6209,0.5389
neurom_rf,hpf_ca1__202261_030_edited.swc,pyramidal,24177,0.9860,0.8620
neurom_rf,hpf_ca1__202261_101_edited.swc,pyramidal,41256,0.9324,0.8434
neurom_rf,hpf_ca1__202261_102_edited.swc,pyramidal,77364,0.9812,0.8547
neurom_rf,hpf_ca1__202264_036_edited.swc,pyramidal,45110,0.9870,0.9122
neurom_rf,hpf_ca1__202266_003_edited.swc,pyramidal,69774,0.9775,0.8670
neurom_rf,hpf_ca1__202268_110_edited.swc,pyramidal,18019,0.9826,0.9506
neurom_rf,hpf_ca1__202269_001_edited.swc,pyramidal,104901,0.9921,0.9341
neurom_rf,hpf_ca1__202269_002_edited.swc,pyramidal,98828,0.9825,0.8641
neurom_rf,hpf_ca1__202271_143_edited.swc,pyramidal,23552,0.9670,0.8913
neurom_rf,hpf_ca1__202271_145_edited.swc,pyramidal,11926,0.9735,0.9392
neurom_rf,hpf_ca1__202271_146_edited.swc,pyramidal,15617,0.9789,0.9256
neurom_rf,hpf_ca1__202271_173_edited.swc,pyramidal,21184,0.9713,0.8713
neurom_rf,hpf_ca1__202272_052_edited.swc,pyramidal,52913,0.9492,0.8114
neurom_rf,hpf_ca1__202273_113_edited.swc,pyramidal,37982,0.9896,0.9016
neurom_rf,hpf_ca1__202274_082_edited.swc,pyramidal,20246,0.9609,0.9124
neurom_rf,hpf_ca1__202274_096_edited.swc,pyramidal,64438,0.9795,0.8418
neurom_rf,hpf_ca1__202396_044_edited.swc,pyramidal,27027,0.9799,0.9269
neurom_rf,hpf_ca1__202401_143_edited.swc,pyramidal,84069,0.9535,0.7622
neurom_rf,hpf_ca1__202401_204_edited.swc,pyramidal,98473,0.9914,0.9271
neurom_rf,hpf_ca1__202401_206_edited.swc,pyramidal,70508,0.9868,0.9143
neurom_rf,hpf_ca1__202401_222_edited.swc,pyramidal,20058,0.9675,0.8842
neurom_rf,hpf_ca1__202402_001_edited.swc,pyramidal,76773,0.9761,0.7843
neurom_rf,hpf_ca1__202402_057_edited.swc,pyramidal,58954,0.9691,0.8393
neurom_rf,hpf_ca1__202403_106_edited.swc,pyramidal,3038,0.5550,0.7096
neurom_rf,hpf_ca1__202403_125_edited.swc,pyramidal,85402,0.9881,0.9077
neurom_rf,hpf_ca1__202403_126_edited.swc,pyramidal,104418,0.9929,0.9432
neurom_rf,hpf_ca1__202403_129_edited.swc,pyramidal,119979,0.9743,0.8014
neurom_rf,hpf_ca1__202404_041_edited.swc,pyramidal,53487,0.9655,0.8488
neurom_rf,hpf_ca1__202405_001_edited.swc,pyramidal,113277,0.9396,0.6592
neurom_rf,hpf_ca1__202405_004_edited.swc,pyramidal,65357,0.9825,0.8695
