file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__202426_009_edited.swc,pyramidal,66598,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,62548,1770,2279
hpf_ca1__202426_023_edited.swc,pyramidal,21107,0.908514,0.765400,1.000000,1.000000,0.530700,,1,18083,1092,1931
hpf_ca1__202426_024_edited.swc,pyramidal,17150,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13299,1804,2046
hpf_ca1__202426_044_edited.swc,pyramidal,62280,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,57993,1676,2610
hpf_ca1__202426_054_edited.swc,pyramidal,31714,1.000000,1.000000,1.000000,1.000000,1.000000,,1,30400,1313,0
hpf_ca1__202427_027_edited.swc,pyramidal,41412,1.000000,1.000000,1.000000,1.000000,1.000000,,1,39072,2339,0
hpf_ca1__202427_048_edited.swc,pyramidal,51550,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,47427,1643,2479
hpf_ca1__202427_135_edited.swc,pyramidal,20847,1.000000,1.000000,1.000000,1.000000,1.000000,,1,19615,1231,0
hpf_ca1__202427_143_edited.swc,pyramidal,84679,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,80787,1711,2180
hpf_ca1__202461_011_edited.swc,pyramidal,47046,1.000000,1.000000,1.000000,1.000000,1.000000,,1,44845,2200,0
hpf_ca1__202461_014_edited.swc,pyramidal,60941,1.000000,1.000000,1.000000,1.000000,1.000000,,1,58693,2247,0
hpf_ca1__202464_010_edited.swc,pyramidal,15900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,12691,1265,1943
hpf_ca1__202497_001_edited.swc,pyramidal,44018,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,41231,1002,1784
hpf_ca1__202497_013_edited.swc,pyramidal,43457,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,40229,1360,1867
hpf_ca1__202497_020_edited.swc,pyramidal,32754,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,28455,1931,2367
hpf_ca1__202497_022_edited.swc,pyramidal,43240,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,40617,724,1898
hpf_ca1__202498_003_edited.swc,pyramidal,32575,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,30622,715,1237
hpf_ca1__202498_006_edited.swc,pyramidal,37298,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,33789,1095,2413
hpf_ca1__202498_012_edited.swc,pyramidal,35858,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,33586,897,1374
hpf_ca1__202498_019_edited.swc,pyramidal,58196,0.928569,0.500000,1.000000,1.000000,0.000000,,1,54038,0,4157
hpf_ca1__202499_004_edited.swc,pyramidal,51679,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,48217,1626,1835
hpf_ca1__202499_017_edited.swc,pyramidal,22802,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,20690,826,1285
hpf_ca1__202500_007_edited.swc,pyramidal,37389,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,34523,1179,1686
hpf_ca1__202501_020_edited.swc,pyramidal,22879,1.000000,1.000000,1.000000,1.000000,1.000000,,1,22243,635,0
hpf_ca1__202501_022_edited.swc,pyramidal,36094,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,33129,1166,1798
hpf_ca1__202501_023_edited.swc,pyramidal,31532,1.000000,1.000000,1.000000,1.000000,1.000000,,1,29564,1967,0
hpf_ca1__202503_023_edited.swc,pyramidal,41023,0.976184,0.610100,1.000000,1.000000,0.000000,0.830400,1,37653,0,3369
hpf_ca1__202503_026_edited.swc,pyramidal,42746,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,40246,879,1620
hpf_ca1__202506_039_edited.swc,pyramidal,66475,0.974111,0.509100,1.000000,1.000000,0.527300,0.000000,1,63793,2681,0
hpf_ca1__202544_017_edited.swc,pyramidal,51004,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,48168,1367,1468
hpf_ca1__202544_027_edited.swc,pyramidal,99432,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,95963,1420,2048
hpf_ca1__202548_039_edited.swc,pyramidal,57216,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,51969,1673,3573
hpf_ca1__202567_001_edited.swc,pyramidal,16442,0.950371,0.717200,1.000000,1.000000,0.343000,0.808600,1,13688,213,2540
hpf_ca1__202567_005_edited.swc,pyramidal,24360,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,21323,1239,1797
hpf_ca1__202664_004_edited.swc,pyramidal,29137,0.999966,0.999800,1.000000,1.000000,0.999600,0.999800,1,25583,1144,2409
hpf_ca1__202664_011_edited.swc,pyramidal,29016,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,25160,1398,2457
hpf_ca1__202666_007_edited.swc,pyramidal,36296,1.000000,1.000000,1.000000,1.000000,1.000000,,1,34578,1717,0
hpf_ca1__202666_021_edited.swc,pyramidal,14070,0.999929,0.999700,1.000000,1.000000,0.999400,0.999700,1,11529,788,1752
hpf_ca1__202666_023_edited.swc,pyramidal,26025,0.964573,0.550100,1.000000,1.000000,0.650200,0.000000,1,24245,1779,0
hpf_ca1__202668_001_edited.swc,pyramidal,54453,1.000000,1.000000,1.000000,1.000000,1.000000,,1,52054,2398,0
hpf_ca1__202668_019_edited.swc,pyramidal,29031,0.971341,0.542400,1.000000,1.000000,0.627200,0.000000,1,27498,1532,0
hpf_ca1__202669_011_edited.swc,pyramidal,47086,1.000000,1.000000,1.000000,1.000000,1.000000,,1,44312,2773,0
hpf_ca1__202669_013_edited.swc,pyramidal,20572,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,17488,941,2142
hpf_ca1__202669_014_edited.swc,pyramidal,34142,1.000000,1.000000,1.000000,1.000000,1.000000,,1,32487,1654,0
hpf_ca1__202671_012_edited.swc,pyramidal,15254,1.000000,1.000000,1.000000,1.000000,1.000000,,1,13740,1513,0
hpf_ca1__202674_001_edited.swc,pyramidal,32716,0.958705,0.572100,1.000000,1.000000,0.000000,0.716400,1,29658,0,3057
