file,cell_type_gt,held_out_F1,in_bottom,n_categories,categories
hpf_ca1__202404_041_edited.swc,pyramidal,0.951,no,1,APICAL_INVERTED
neuromorpho__B4_slide1_neuron2.swc,pyramidal,0.9512,no,1,APICAL_INVERTED
neuromorpho__081017RF4.swc,pyramidal,0.9516,no,2,APICAL_INVERTED|AXON_DENDRITE_CONFUSION
neuromorpho__Red_6weeks_Neuron1.swc,pyramidal,0.9524,no,0,
neuromorpho__group2_cell5.swc,pyramidal,0.9533,no,0,
neuromorpho__G7-8.swc,pyramidal,0.9536,no,1,APICAL_INVERTED
allen__Chat-IRES-Cre-neo_Ai14-316042.06.01.01_586072783.swc,interneuron,0.9541,no,0,
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294467.03.01.01_566761793.swc,interneuron,0.9542,no,0,
neuromorpho__aIN-524-nrn-ns-100407-transl-invX-scaled-straightened.swc,interneuron,0.9554,no,0,
neuromorpho__243-2-16VN.swc,pyramidal,0.9562,no,1,APICAL_INVERTED
neuromorpho__Sept12-IR3e-40x-low-AG-AT-MM.swc,pyramidal,0.9565,no,1,APICAL_INVERTED
neuromorpho__11501-23-R1.swc,pyramidal,0.9567,no,0,
neuromorpho__2020-03-11_13-01-38SST-MORF3Mb01-1V5-647SST488-30x02Str_b.swc,interneuron,0.957,no,0,
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt24a.swc,interneuron,0.9571,no,1,WHOLE_CELL_MISLABEL
neuromorpho__3-ENU2-veichle-neuron3.swc,pyramidal,0.9576,no,0,
neuromorpho__dlc-1367-nrn-ns-110116-combined-transl-invX-scaled-straightened.swc,interneuron,0.9582,no,0,
neuromorpho__Layer-6-Ethanol-3.swc,pyramidal,0.9586,no,1,TRUNCATED_APICAL
neuromorpho__236-2a-3-AW.swc,pyramidal,0.9608,no,0,
allen__Ndnf-IRES2-dgCre_Ai14-298343.05.02.02_569494755.swc,interneuron,0.9618,no,0,
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294916.03.01.02_567354967.swc,interneuron,0.9633,no,0,
neuromorpho__13_den_ax.swc,pyramidal,0.9635,no,0,
neuromorpho__Canopy_161007_2.swc,interneuron,0.9636,no,0,
allen__Vip-IRES-Cre_Ai14-299123.04.01.01_570896413.swc,interneuron,0.9637,no,0,
neuromorpho__3-wild-type-veichle-neuron1_2.swc,pyramidal,0.9638,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__Layer-6-Ethanol-10.swc,pyramidal,0.9651,no,1,APICAL_INVERTED
allen__Oxtr-2A-Cre_Ai14-293839.02.02.02_565415071.swc,interneuron,0.9652,no,0,
neuromorpho__02a_pyramidal2aFI.swc,pyramidal,0.9653,no,0,
neuromorpho__236-2a-23-AW.swc,pyramidal,0.9653,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__243-2-25VN.swc,pyramidal,0.9655,no,0,
neuromorpho__Green_6Weeks_Neuron4.swc,pyramidal,0.9663,no,0,
neuromorpho__36_den_ax.swc,pyramidal,0.9664,no,0,
neuromorpho__236-3-40LS.swc,pyramidal,0.9667,no,0,
neuromorpho__Layer-2-3-Ethanol-23.swc,pyramidal,0.9667,no,1,TRUNCATED_APICAL
neuromorpho__1116-1-Sec6-LTL3.swc,pyramidal,0.9668,no,0,
allen__Chat-IRES-Cre-neo_Ai14-316043.04.02.01_585925172.swc,interneuron,0.9673,no,0,
neuromorpho__dIN-364-nrn-ns-100407-transl-invX-scaled-straightened.swc,interneuron,0.9682,no,0,
neuromorpho__wt20x-09.swc,pyramidal,0.9683,no,1,APICAL_INVERTED
neuromorpho__Oct9-IR2-5s-40x-MM.swc,pyramidal,0.9687,no,1,APICAL_INVERTED
neuromorpho__Green_2weeks_Neuron9add'l.swc,pyramidal,0.9688,no,0,
hpf_ca1__202219_010_edited.swc,pyramidal,0.9689,no,1,APICAL_INVERTED
neuromorpho__2020-03-11_13-01-38SST-MORF3Mb01-1V5-647SST488-30x02Str_c.swc,interneuron,0.969,no,0,
neuromorpho__T80_NeuronC_40X_Tile_Trace_MB2.swc,pyramidal,0.9693,no,1,TRUNCATED_APICAL
neuromorpho__ko20x-14.swc,pyramidal,0.9694,no,1,TRUNCATED_APICAL
neuromorpho__1124-1-Sec2-LTL2.swc,pyramidal,0.9696,no,0,
neuromorpho__Mouse_CA2_Ma_Cell.swc,pyramidal,0.9707,no,0,
neuromorpho__Layer-5-Ethanol-3.swc,pyramidal,0.9715,no,1,APICAL_INVERTED
neuromorpho__P111123-01-AAC.swc,interneuron,0.972,no,0,
neuromorpho__PDE1c_vGluT2-KO_IN28.swc,interneuron,0.9724,no,0,
neuromorpho__242-2-23VN.swc,pyramidal,0.9725,no,1,APICAL_INVERTED
neuromorpho__236-3-17LS.swc,pyramidal,0.9727,no,1,APICAL_INVERTED
neuromorpho__236-3-56LS.swc,pyramidal,0.9728,no,0,
allen__Htr3a-Cre_NO152_Pvalb-T2A-Dre_Ai66-304920.02.02.01_580162374.swc,interneuron,0.9734,no,0,
neuromorpho__243-2-26VN.swc,pyramidal,0.9738,no,0,
neuromorpho__KOA-3-2-9.swc,pyramidal,0.9748,no,1,APICAL_INVERTED
neuromorpho__03a_pyramidal9aFI.swc,pyramidal,0.975,no,1,APICAL_INVERTED
neuromorpho__101A_1_r_Ngr2KO_2.swc,pyramidal,0.9751,no,0,
neuromorpho__P111103-01-BC.swc,interneuron,0.9752,no,0,
neuromorpho__241-2-3VN.swc,pyramidal,0.9762,no,0,
neuromorpho__32315-V1-3Slice2Cell1.swc,pyramidal,0.9773,no,1,APICAL_INVERTED
hpf_ca1__202680_025_edited.swc,pyramidal,0.978,no,0,
allen__H17.06.012.14.08.05_611610514.swc,interneuron,0.9782,no,0,
neuromorpho__28_den_ax.swc,pyramidal,0.9785,no,0,
neuromorpho__maleCA1pyramidal3.swc,pyramidal,0.9785,no,1,APICAL_INVERTED
neuromorpho__T83_A_Trace_RK.swc,pyramidal,0.9786,no,0,
allen__H16.06.012.11.08.02_548425467.swc,pyramidal,0.979,no,0,
neuromorpho__14-1-15-A-A1.swc,interneuron,0.979,no,0,
neuromorpho__I5-10.swc,pyramidal,0.9792,no,1,TRUNCATED_APICAL
neuromorpho__wt20x-03.swc,pyramidal,0.9793,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__PFC-20140312B_Analysis.swc,interneuron,0.9797,no,0,
neuromorpho__Gunnersen_B15b4slice2RHS.swc,pyramidal,0.9797,no,0,
neuromorpho__C10-5.swc,pyramidal,0.98,no,0,
neuromorpho__20200114_D_63X_zstack_tile_stitch.swc,interneuron,0.9802,no,0,
neuromorpho__108A_2_l_WT_1.swc,pyramidal,0.9804,no,1,APICAL_INVERTED
neuromorpho__Layer-2-3-Sucrose-3.swc,pyramidal,0.9807,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__Layer-2-3-Ethanol-21.swc,pyramidal,0.9814,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__cell-pair-22-09-11-D1.swc,interneuron,0.9819,no,0,
neuromorpho__Layer-6-Sucrose-14.swc,pyramidal,0.9822,no,1,APICAL_INVERTED
neuromorpho__19-02-19A-11-cell-2.swc,interneuron,0.9828,no,0,
neuromorpho__1451-1-Sec1-BSL2.swc,pyramidal,0.983,no,0,
neuromorpho__30_den_ax.swc,pyramidal,0.9831,no,0,
neuromorpho__n128.swc,pyramidal,0.9832,no,1,APICAL_INVERTED
neuromorpho__SW150113-01RabiesPHALPFC_x772_y876_z296_15.swc,pyramidal,0.9834,no,0,
neuromorpho__236-3-16LS.swc,pyramidal,0.9837,no,0,
neuromorpho__Layer-5-Ethanol-11.swc,pyramidal,0.9839,no,1,APICAL_INVERTED
neuromorpho__n120.swc,pyramidal,0.9845,no,0,
neuromorpho__Gunnersen_B17b5slice3RHS.swc,pyramidal,0.985,no,0,
neuromorpho__wt20x-01.swc,pyramidal,0.9851,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__33_11.swc,pyramidal,0.9853,no,0,
neuromorpho__B4_slide2_neuron4.swc,pyramidal,0.9858,no,0,
neuromorpho__neuron-1_2_3.swc,pyramidal,0.9861,no,0,
neuromorpho__ctrl_bV1_3.swc,pyramidal,0.9861,no,0,
neuromorpho__236-2a-25-AW.swc,pyramidal,0.9861,no,0,
neuromorpho__TT-01-28-14-1R.swc,interneuron,0.9866,no,0,
neuromorpho__X043_S4_Z1_C01.swc,pyramidal,0.9867,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__242-1-2VN.swc,pyramidal,0.9869,no,1,APICAL_INVERTED
neuromorpho__Pvalb-IRES-Cre_Ai14-198335-04-01-01_653182186_m.swc,interneuron,0.987,no,0,
neuromorpho__100B_2_r_Ngr2KO_2.swc,pyramidal,0.987,no,0,
neuromorpho__3_53.swc,pyramidal,0.9871,no,0,
neuromorpho__111A_2_r_Ngr2KO.swc,pyramidal,0.9875,no,0,
neuromorpho__wt20x-04.swc,pyramidal,0.9876,no,1,APICAL_INVERTED
neuromorpho__261015c2.swc,interneuron,0.9879,no,0,
neuromorpho__236-2a-7-AW.swc,pyramidal,0.9879,no,0,
neuromorpho__8_den_ax.swc,pyramidal,0.9882,no,1,APICAL_INVERTED
neuromorpho__Layer-6-Ethanol-19.swc,pyramidal,0.9882,no,1,APICAL_INVERTED
hpf_ca1__201983_012_edited.swc,pyramidal,0.9886,no,1,APICAL_INVERTED
neuromorpho__060315B_ECA.swc,pyramidal,0.989,no,1,APICAL_INVERTED
neuromorpho__CSp0114-1.swc,pyramidal,0.9891,no,0,
neuromorpho__mPFC_w1_L5_08.swc,pyramidal,0.9891,no,1,APICAL_INVERTED
neuromorpho__111D_1_l_Ngr2KO_2.swc,pyramidal,0.9892,no,0,
neuromorpho__3-wild-type-veichle-neuron3.swc,pyramidal,0.9896,no,0,
allen__Chat-IRES-Cre-neo_Ai14-316042.05.02.01_586072464.swc,interneuron,0.99,no,0,
neuromorpho__109C_2_r_Ngr2KO.swc,pyramidal,0.9901,no,1,APICAL_INVERTED
neuromorpho__109C_1_r_Ngr2KO_1.swc,pyramidal,0.9901,no,0,
neuromorpho__A2_slide1_4.swc,pyramidal,0.9902,no,0,
neuromorpho__A3_slide2_1.swc,pyramidal,0.9904,no,0,
neuromorpho__X043_S7_Z2_C01.swc,pyramidal,0.9908,no,1,TRUNCATED_APICAL
neuromorpho__SW150113-01RabiesPHALPFC_x772_y876_z296_8.swc,pyramidal,0.9909,no,0,
neuromorpho__A4_slide2_20.swc,pyramidal,0.9912,no,0,
neuromorpho__241-2-45-AW.swc,pyramidal,0.9915,no,1,APICAL_INVERTED
neuromorpho__Layer-6-Ethanol-16.swc,pyramidal,0.9916,no,1,APICAL_INVERTED
neuromorpho__a7_170216_2.swc,interneuron,0.9921,no,0,
neuromorpho__LES6-mut-1195-neuron-3.swc,pyramidal,0.9921,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__mPFC_w4_L3_07.swc,pyramidal,0.9922,no,1,APICAL_INVERTED
neuromorpho__mPFC_w2_L5_08.swc,pyramidal,0.9927,no,1,APICAL_INVERTED
neuromorpho__1117-2-Sec7-LTL3.swc,pyramidal,0.9927,no,0,
neuromorpho__Fresh-Sholl-2-D7-Tau-LA-Map2008_crop.swc,pyramidal,0.9929,no,0,
neuromorpho__B2_slide2_neuron5.swc,pyramidal,0.9931,no,0,
neuromorpho__17_den_ax.swc,pyramidal,0.9935,no,0,
allen__H17.06.003.11.03.03_614651270.swc,interneuron,0.9936,no,0,
neuromorpho__Gunnersen_A12b3slice3RHS.swc,pyramidal,0.9938,no,0,
neuromorpho__Oct9-IR3-4H.swc,pyramidal,0.9939,no,0,
neuromorpho__Strokefeb23IR3-3j40xlowres.swc,pyramidal,0.994,no,1,APICAL_INVERTED
neuromorpho__13A6neuron1Layers.swc,pyramidal,0.994,no,0,
neuromorpho__X046_S5_Z5_C01.swc,pyramidal,0.9942,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__33_den_ax.swc,pyramidal,0.9943,no,0,
neuromorpho__04b_pyramidal6aFI.swc,pyramidal,0.9943,no,1,APICAL_INVERTED
neuromorpho__12_47.swc,pyramidal,0.9945,no,0,
neuromorpho__X046_S4_Z4_C03_20X.swc,pyramidal,0.9945,no,1,TRUNCATED_APICAL
neuromorpho__LES6-WT-1187-neuron-1.swc,pyramidal,0.9949,no,1,APICAL_INVERTED
neuromorpho__crop0_2_seg_split_12_1-35.swc,pyramidal,0.9951,no,0,
neuromorpho__72715-V1-2slice10.swc,pyramidal,0.9953,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__fig2b_2.swc,pyramidal,0.9954,no,0,
neuromorpho__WT_4.swc,pyramidal,0.9956,no,1,APICAL_INVERTED
neuromorpho__18414_slide2_cell1.swc,pyramidal,0.9957,no,1,APICAL_INVERTED
allen__Ndnf-IRES2-dgCre_Ai14-306261.05.02.01_574734127.swc,interneuron,0.9959,no,0,
neuromorpho__CSp0302-1.swc,pyramidal,0.9959,no,0,
neuromorpho__203B-4-L3.swc,pyramidal,0.9959,no,0,
neuromorpho__Neuron-8-E-and-I-synapses.swc,pyramidal,0.996,no,1,APICAL_INVERTED
neuromorpho__B2_slide1_7.swc,pyramidal,0.9963,no,0,
neuromorpho__38_7.swc,pyramidal,0.9965,no,0,
neuromorpho__T61_NeuronC_40X_Tile_Trace_MK.swc,pyramidal,0.9967,no,1,TRUNCATED_APICAL
neuromorpho__11_49.swc,pyramidal,0.9968,no,0,
neuromorpho__cM2p_02.swc,pyramidal,0.9968,no,1,APICAL_INVERTED
neuromorpho__mPFC_w4_L3_05.swc,pyramidal,0.9969,no,0,
allen__H15.06.016.01.03.02_488386626.swc,interneuron,0.997,no,0,
neuromorpho__B2_slide3_16.swc,pyramidal,0.9971,no,0,
neuromorpho__n5fts.swc,pyramidal,0.9974,no,0,
neuromorpho__36_10.swc,pyramidal,0.9975,no,0,
neuromorpho__243-2-23VN.swc,pyramidal,0.9975,no,0,
neuromorpho__236-2a-59-AW.swc,pyramidal,0.9977,no,0,
neuromorpho__mPFC_w2_L5_09.swc,pyramidal,0.9979,no,1,APICAL_INVERTED
neuromorpho__11_51.swc,pyramidal,0.9983,no,0,
neuromorpho__Jun1IR2c-tgv.swc,pyramidal,0.9985,no,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__1086-4-Sec2-LTL2.swc,pyramidal,0.9986,no,1,TRUNCATED_APICAL
neuromorpho__Cell31.swc,interneuron,0.9988,no,0,
neuromorpho__38_8.swc,pyramidal,0.9989,no,0,
neuromorpho__26-11-14-A-A4b.swc,interneuron,0.999,no,0,
neuromorpho__1083-2-Sec1-BSL1.swc,pyramidal,0.9992,no,1,APICAL_INVERTED
neuromorpho__39_7.swc,pyramidal,0.9992,no,0,
neuromorpho__Feb23IR1L-MM.swc,pyramidal,0.9993,no,1,APICAL_INVERTED
neuromorpho__N043.swc,pyramidal,0.9994,no,0,
neuromorpho__Pvalb-IRES-Cre_Ai14-296193-04-01-01_596792650_m.swc,interneuron,0.9995,no,0,
neuromorpho__Jun1IR2h.swc,pyramidal,0.9995,no,1,APICAL_INVERTED
neuromorpho__032118Ac1_nNOS-1.swc,interneuron,0.9996,no,0,
neuromorpho__6_47.swc,pyramidal,0.9996,no,0,
hpf_ca1__202232_071_edited.swc,pyramidal,0.9997,no,1,APICAL_INVERTED
hpf_ca1__202248_022_edited.swc,pyramidal,0.9998,no,1,APICAL_INVERTED
allen__Vipr2-IRES2-Cre_Pvalb-T2A-FlpO_Ai65-344474.05.01.01_614767057.swc,interneuron,0.9998,no,0,
allen__Ndnf-IRES2-dgCre_Ai14-290382.04.01.01_562632795.swc,interneuron,0.9998,no,0,
allen__Chat-IRES-Cre-neo_Ai14-308245.04.02.01_577369606.swc,interneuron,0.9999,no,0,
hpf_ca1__202461_007_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202232_022_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202664_010_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202234_026_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202403_126_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202426_055_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202239_001_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202807_027_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202544_027_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202414_448_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202503_024_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210701_017_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202414_533_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202679_007_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202414_539_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202403_125_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202259_063_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202427_143_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202237_014_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202258_026_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
neuromorpho__BC150330C_29.swc,interneuron,1.0,no,0,
hpf_ca1__202414_008_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202415_026_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202503_037_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202503_021_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202269_017_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202418_019_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202261_102_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202807_022_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__201990_029_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202400_018_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210014_033_edited.swc,pyramidal,1.0,no,0,
neuromorpho__BC150112A_27.swc,interneuron,1.0,no,0,
hpf_ca1__202669_010_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202401_137_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202401_205_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202261_111_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202500_003_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202461_015_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__201990_006_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202239_003_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202400_033_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202400_120_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202497_009_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202238_014_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210671_062_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202271_177_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202259_069_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
neuromorpho__BC150106A_26.swc,interneuron,1.0,no,0,
hpf_ca1__202274_096_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210670_030_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202426_132_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202271_141_edited.swc,pyramidal,1.0,no,0,
neuromorpho__I_1_40.swc,interneuron,1.0,no,0,
hpf_ca1__202401_229_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202462_001_edited.swc,pyramidal,1.0,no,0,
neuromorpho__BC160620B_39.swc,interneuron,1.0,no,0,
neuromorpho__C15-10-14DIV15CS1Cell1.swc,interneuron,1.0,no,0,
hpf_ca1__210110_054_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202414_540_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202423_003_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210014_017_edited.swc,pyramidal,1.0,no,0,
neuromorpho__BC130221A_07.swc,interneuron,1.0,no,0,
hpf_ca1__202426_044_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202392_002_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202414_532_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202426_053_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__210111_053_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202246_024_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202240_013_edited.swc,pyramidal,1.0,no,0,
neuromorpho__12_den_ax.swc,pyramidal,1.0,no,0,
hpf_ca1__202401_213_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202409_001_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202427_123_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202423_033_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202259_134_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202393_002_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202680_029_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202803_002_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202274_094_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202674_013_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202246_023_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202238_020_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202240_041_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202682_004_edited.swc,pyramidal,1.0,no,0,
neuromorpho__GGB-01-10-2019-2-R532.swc,interneuron,1.0,no,0,
hpf_ca1__210014_024_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__210109_023_edited.swc,pyramidal,1.0,no,0,
neuromorpho__2017-15-03-slice-1-cell-2-rotated.swc,interneuron,1.0,no,0,
hpf_ca1__202259_070_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202246_012_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202238_041_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202831_005_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202259_079_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210671_036_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202829_085_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202508_010_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202239_002_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__210109_032_edited.swc,pyramidal,1.0,no,0,
neuromorpho__PFC160621A_Analysis.swc,interneuron,1.0,no,0,
hpf_ca1__202232_003_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202272_052_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202261_011_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202498_021_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202499_004_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202427_048_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202413_058_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202461_027_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202503_036_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202399_022_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202401_144_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202499_020_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202396_035_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202237_155_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202252_001_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202261_006_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202501_019_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
neuromorpho__BC140213F_22.swc,interneuron,1.0,no,0,
hpf_ca1__202501_017_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202271_127_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202241_017_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202426_155_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202399_012_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
neuromorpho__AA0397.swc,pyramidal,1.0,no,0,
hpf_ca1__202669_011_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202461_011_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202829_049_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210253_028_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210251_056_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202410_011_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202497_007_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202415_025_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202679_004_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__210014_061_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202396_184_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
neuromorpho__AA0442.swc,pyramidal,1.0,no,0,
hpf_ca1__202423_013_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202506_008_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202674_035_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202261_017_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202426_098_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202264_036_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202260_002_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210701_019_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202396_051_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__210705_003_edited.swc,pyramidal,1.0,no,0,
hpf_ca1__202225_004_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202503_025_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202241_002_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
hpf_ca1__202422_002_edited.swc,pyramidal,1.0,no,1,APICAL_INVERTED
