ablation,ablation_label,n_seeds,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,neurite_macro_f1_mean,neurite_macro_f1_sd,neurite_macro_f1_min,neurite_macro_f1_max,axon_f1_mean,axon_f1_sd,axon_f1_min,axon_f1_max,basal_f1_mean,basal_f1_sd,basal_f1_min,basal_f1_max,apical_f1_mean,apical_f1_sd,apical_f1_min,apical_f1_max,per_cell_accuracy_mean_mean,per_cell_accuracy_mean_sd,per_cell_accuracy_mean_min,per_cell_accuracy_mean_max,per_cell_accuracy_p10_mean,per_cell_accuracy_p10_sd,per_cell_accuracy_p10_min,per_cell_accuracy_p10_max,per_cell_f1_mean_mean,per_cell_f1_mean_sd,per_cell_f1_mean_min,per_cell_f1_mean_max,per_cell_f1_p10_mean,per_cell_f1_p10_sd,per_cell_f1_p10_min,per_cell_f1_p10_max,per_cell_f1_p25_mean,per_cell_f1_p25_sd,per_cell_f1_p25_min,per_cell_f1_p25_max,pyramidal_neurite_f1_mean,pyramidal_neurite_f1_sd,pyramidal_neurite_f1_min,pyramidal_neurite_f1_max,pyramidal_apical_f1_mean,pyramidal_apical_f1_sd,pyramidal_apical_f1_min,pyramidal_apical_f1_max,interneuron_neurite_f1_mean,interneuron_neurite_f1_sd,interneuron_neurite_f1_min,interneuron_neurite_f1_max,stage1_accuracy_mean,stage1_accuracy_sd
stage2_only_gt_celltype,Stage2 only (GT cell type),3,0.970100,0.001836,0.968800,0.972200,0.925200,0.004557,0.921900,0.930400,0.984933,0.001193,0.983600,0.985900,0.925600,0.004122,0.920900,0.928600,0.865167,0.011237,0.857800,0.878100,0.937698,0.004448,0.932642,0.941009,0.788734,0.024956,0.760135,0.806096,0.906969,0.005739,0.900380,0.910878,0.638413,0.011058,0.626090,0.647470,0.931575,0.005363,0.927325,0.937600,0.932900,0.005546,0.929500,0.939300,0.869967,0.013304,0.858600,0.884600,0.942100,0.001153,0.941000,0.943300,,
stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),3,0.969600,0.002207,0.967500,0.971900,0.922333,0.005537,0.917200,0.928200,0.984933,0.001193,0.983600,0.985900,0.923933,0.002779,0.920800,0.926100,0.858267,0.014760,0.843200,0.872700,0.933594,0.004181,0.929547,0.937898,0.761684,0.020301,0.741401,0.782004,0.901747,0.005199,0.896867,0.907215,0.623890,0.014897,0.613220,0.640910,0.914392,0.005150,0.910300,0.920175,0.929467,0.007250,0.922200,0.936700,0.863167,0.017881,0.844000,0.879400,0.942100,0.001153,0.941000,0.943300,,
stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),3,0.982767,0.001674,0.981800,0.984700,0.952533,0.004140,0.949300,0.957200,0.993400,0.000819,0.992500,0.994100,0.951900,0.004331,0.946900,0.954500,0.912267,0.009215,0.906600,0.922900,0.957317,0.005030,0.952171,0.962223,0.917628,0.030978,0.884565,0.945981,0.919373,0.006873,0.912193,0.925891,0.643917,0.015569,0.626030,0.654420,1.000000,0.000000,1.000000,1.000000,0.954533,0.005254,0.950600,0.960500,0.917267,0.011369,0.907400,0.929700,0.970533,0.001380,0.969500,0.972100,,
full_branch3_gt_celltype,Full Branch3 (GT cell type),3,0.983200,0.001559,0.982300,0.985000,0.954333,0.004119,0.950900,0.958900,0.993367,0.000874,0.992400,0.994100,0.953500,0.003732,0.949200,0.955900,0.916000,0.009552,0.909800,0.927000,0.958183,0.003403,0.954526,0.961258,0.936072,0.013379,0.921844,0.948397,0.925092,0.005580,0.919096,0.930132,0.655443,0.004080,0.651010,0.659040,1.000000,0.000000,1.000000,1.000000,0.956767,0.005086,0.952800,0.962500,0.920933,0.011347,0.912000,0.933700,0.970533,0.001380,0.969500,0.972100,,
full_branch3_stage1_active,Full Branch3 (Stage1 active),3,0.982233,0.000971,0.981400,0.983300,0.950267,0.001172,0.949400,0.951600,0.993200,0.000872,0.992200,0.993800,0.951367,0.003302,0.948000,0.954600,0.906200,0.003559,0.902500,0.909600,0.954540,0.001703,0.952601,0.955791,0.913970,0.014650,0.897059,0.922799,0.920364,0.004318,0.915400,0.923252,0.650167,0.006936,0.642160,0.654340,1.000000,0.000000,1.000000,1.000000,0.952833,0.001665,0.951500,0.954700,0.912967,0.005773,0.906500,0.917600,0.970133,0.001457,0.969100,0.971800,0.973867,0.006896
