name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
allen__H15.06.016.01.03.02_488386626.swc,19279,interneuron,True,0.997,0.998,0.9987,0,2430,16848
allen__H15.06.016.01.12.01_488386504.swc,12975,interneuron,True,1.0,1.0,1.0,0,3000,9974
allen__H15.06.017.03.03.01_488418027.swc,19985,interneuron,True,1.0,1.0,1.0,0,3419,16565
allen__H16.03.003.01.19.02_525018757.swc,12616,interneuron,True,0.6738,0.7825,0.833,0,2955,9660
allen__H16.03.005.01.04.04_526734407.swc,25906,interneuron,True,1.0,1.0,1.0,0,4694,21211
allen__H16.03.007.01.01.08.01_541536216.swc,21012,interneuron,True,0.859,0.906,0.9455,0,2853,18158
allen__H16.03.010.13.05.01_545604343.swc,16522,interneuron,True,0.8533,0.9022,0.8837,0,5465,11056
allen__H16.06.007.01.05.03_531520637.swc,23172,interneuron,True,0.7019,0.8012,0.8884,0,3716,19455
allen__H16.06.009.01.01.18.03_528687520.swc,12081,interneuron,True,1.0,1.0,1.0,0,2468,9612
allen__H16.06.010.01.03.04.01_529807751.swc,42945,interneuron,True,1.0,1.0,1.0,0,4486,38458
allen__H16.06.011.01.01.05.01_539640410.swc,34815,interneuron,True,1.0,1.0,1.0,0,3082,31732
allen__H16.06.013.11.16.01_561432315.swc,15898,interneuron,True,0.9516,0.9677,0.975,0,2615,13282
allen__H16.06.013.12.08.03_561465305.swc,16299,interneuron,True,1.0,1.0,1.0,0,1178,15120
allen__H16.06.013.12.08.06_561469082.swc,19658,interneuron,True,1.0,1.0,1.0,0,3481,16176
allen__H17.03.002.11.06.04_569825715.swc,11537,interneuron,True,1.0,1.0,1.0,0,2949,8587
allen__H17.03.002.11.06.05_569849486.swc,11872,interneuron,True,0.7725,0.8483,0.8403,0,3644,8227
allen__H17.03.005.11.08.01_587710671.swc,24680,interneuron,True,1.0,1.0,1.0,0,5323,19356
