family,scope,experiment,target,target_recall_setting,model,feature_set,precision,recall,flagged_total,actually_bad_flagged_tp,false_flags_fp,missed_bad_fn,bad_total_in_test,accuracy,kept_f1_p10,saved_bundle,source
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,rf,no_lab,0.5625,0.5142857142857142,32,18,14,17,35,0.9111747851002864,0.73646,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,rf,numeric_only,0.5806451612903226,0.5142857142857142,31,18,13,17,35,0.9140401146131804,0.73717,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.5,two_stage,max_validation_percentile,0.45,0.5142857142857142,40,18,22,17,35,0.8882521489971347,0.82634,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.5,two_stage,max_validation_percentile,0.5,0.5142857142857142,36,18,18,17,35,0.8997134670487106,0.8081,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.7,gb,full,0.5,0.6571428571428571,46,23,23,12,35,0.8997134670487106,0.86044,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.7,gb,full,0.5434782608695652,0.7142857142857143,46,25,21,10,35,0.9111747851002864,0.8751800000000001,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.7,gb,full,0.3478260869565217,0.6857142857142857,69,24,45,11,35,0.839541547277937,0.8721300000000001,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.7,gb,full,0.3529411764705882,0.6857142857142857,68,24,44,11,35,0.8424068767908309,0.8738,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,gb,full,0.2285714285714285,0.6857142857142857,105,24,81,11,35,0.7363896848137536,0.99373,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,gb,full,0.2181818181818181,0.6857142857142857,110,24,86,11,35,0.7220630372492837,0.99306,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,hgb,no_lab,0.3968253968253968,0.7142857142857143,63,25,38,10,35,0.8624641833810889,0.8772500000000001,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,hgb,no_lab,0.390625,0.7142857142857143,64,25,39,10,35,0.8595988538681948,0.8918200000000001,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.7,two_stage,max_validation_percentile,0.4210526315789473,0.6857142857142857,57,24,33,11,35,0.8739255014326648,0.9785,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.7,two_stage,max_validation_percentile,0.4210526315789473,0.6857142857142857,57,24,33,11,35,0.8739255014326648,0.9785,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.8,rf,no_lab,0.5384615384615384,0.8,52,28,24,7,35,0.9111747851002864,0.9765,paper/models/flag_improvement_sweep_seed123_branch3/pyramidal_xmodel_cell_f060_r080.joblib,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.8,gb,full,0.4666666666666667,0.8,60,28,32,7,35,0.8882521489971347,0.9799,paper/models/flag_improvement_sweep_seed123_branch3/pyramidal_xmodel_sanity_cell_f060_r080.joblib,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.8,gb,numeric_only,0.3012048192771084,0.7142857142857143,83,25,58,10,35,0.8051575931232091,0.9287,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.8,gb,no_lab,0.2688172043010752,0.7142857142857143,93,25,68,10,35,0.7765042979942693,0.98465,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.8,gb,full,0.1908396946564885,0.7142857142857143,131,25,106,10,35,0.667621776504298,0.9952,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.8,gb,full,0.2100840336134453,0.7142857142857143,119,25,94,10,35,0.7020057306590258,0.9954,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.8,rf,full,0.3232323232323232,0.9142857142857144,99,32,67,3,35,0.7994269340974212,0.99756,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.8,rf,numeric_only,0.3368421052631579,0.9142857142857144,95,32,63,3,35,0.8108882521489972,0.99732,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.8,two_stage,max_validation_percentile,0.4057971014492754,0.8,69,28,41,7,35,0.8624641833810889,0.98785,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.8,two_stage,max_validation_percentile,0.3918918918918919,0.8285714285714286,74,29,45,6,35,0.8538681948424068,0.99128,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.9,gb,full,0.3684210526315789,0.8,76,28,48,7,35,0.8424068767908309,0.99114,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.9,rf,no_lab,0.3555555555555555,0.9142857142857144,90,32,58,3,35,0.8252148997134671,0.99996,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.9,extra_trees,full,0.1779141104294478,0.8285714285714286,163,29,134,6,35,0.5988538681948424,0.9999,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.9,hgb,no_lab,0.1739130434782608,0.8,161,28,133,7,35,0.5988538681948424,0.98569,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.9,rf,no_lab,0.165,0.9428571428571428,200,33,167,2,35,0.5157593123209169,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.9,rf,full,0.1568627450980392,0.9142857142857144,204,32,172,3,35,0.498567335243553,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.9,gb,full,0.2285714285714285,0.9142857142857144,140,32,108,3,35,0.6819484240687679,0.99686,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.9,gb,full,0.2285714285714285,0.9142857142857144,140,32,108,3,35,0.6819484240687679,0.99686,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.9,two_stage,max_validation_percentile,0.2519685039370078,0.9142857142857144,127,32,95,3,35,0.7191977077363897,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.9,two_stage,max_validation_percentile,0.256,0.9142857142857144,125,32,93,3,35,0.7249283667621776,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.95,gb,numeric_only,0.2191780821917808,0.9142857142857144,146,32,114,3,35,0.664756446991404,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.95,gb,numeric_only,0.2176870748299319,0.9142857142857144,147,32,115,3,35,0.66189111747851,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.95,hgb,no_lab,0.1526315789473684,0.8285714285714286,190,29,161,6,35,0.5214899713467048,0.99096,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.95,hgb,no_lab,0.1458333333333333,0.8,192,28,164,7,35,0.5100286532951289,0.9777,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.95,rf,no_lab,0.1534883720930232,0.9428571428571428,215,33,182,2,35,0.4727793696275071,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.95,rf,full,0.1549295774647887,0.9428571428571428,213,33,180,2,35,0.4785100286532951,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.95,gb,no_lab,0.2024539877300613,0.9428571428571428,163,33,130,2,35,0.6217765042979942,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,basal_f060,0.95,gb,numeric_only,0.2037037037037037,0.9428571428571428,162,33,129,2,35,0.6246418338108882,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.95,two_stage,max_validation_percentile,0.2025316455696202,0.9142857142857144,158,32,126,3,35,0.6303724928366762,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.95,two_stage,max_validation_percentile,0.1951219512195122,0.9142857142857144,164,32,132,3,35,0.6131805157593123,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.5,hgb,full,0.9411764705882352,0.3809523809523809,17,16,1,26,42,0.943866943866944,0.72207,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.5,hgb,full,0.8421052631578947,0.3809523809523809,19,16,3,26,42,0.9397089397089398,0.7277,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.5,rf,full,0.5,0.5,42,21,21,21,42,0.9126819126819128,0.90164,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.5,rf,full,0.4565217391304347,0.5,46,21,25,21,42,0.9043659043659044,0.90052,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,rf,no_lab,0.3243243243243243,0.2857142857142857,37,12,25,30,42,0.8856548856548857,0.76169,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,rf,no_lab,0.3243243243243243,0.2857142857142857,37,12,25,30,42,0.8856548856548857,0.76169,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,rf,no_lab,0.6818181818181818,0.3571428571428571,22,15,7,27,42,0.9293139293139292,0.7333000000000001,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,rf,no_lab,0.6071428571428571,0.4047619047619047,28,17,11,25,42,0.9251559251559252,0.75536,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.5,two_stage,max_validation_percentile,0.7142857142857143,0.4761904761904761,28,20,8,22,42,0.9376299376299376,0.8775600000000001,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.5,two_stage,max_validation_percentile,0.6896551724137931,0.4761904761904761,29,20,9,22,42,0.9355509355509356,0.89968,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.7,gb,full,0.8181818181818182,0.6428571428571429,33,27,6,15,42,0.9563409563409564,0.91314,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.7,extra_trees,numeric_only,0.6444444444444445,0.6904761904761905,45,29,16,13,42,0.9397089397089398,0.975,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.7,rf,numeric_only,0.3125,0.5952380952380952,80,25,55,17,42,0.8503118503118503,0.9738,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.7,rf,full,0.380281690140845,0.6428571428571429,71,27,44,15,42,0.8773388773388774,0.97596,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,rf,full,0.3150684931506849,0.5476190476190477,73,23,50,19,42,0.8565488565488566,0.99943,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,rf,full,0.3164556962025316,0.5952380952380952,79,25,54,17,42,0.8523908523908524,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,extra_trees,full,0.56,0.6666666666666666,50,28,22,14,42,0.9251559251559252,0.9583,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,extra_trees,full,0.6222222222222222,0.6666666666666666,45,28,17,14,42,0.9355509355509356,0.97075,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.7,two_stage,max_validation_percentile,0.627906976744186,0.6428571428571429,43,27,16,15,42,0.9355509355509356,0.97704,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.7,two_stage,max_validation_percentile,0.5714285714285714,0.6666666666666666,49,28,21,14,42,0.9272349272349272,0.98569,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.8,extra_trees,full,0.5714285714285714,0.7619047619047619,56,32,24,10,42,0.9293139293139292,0.98848,paper/models/flag_improvement_sweep_seed123_branch3_v12ens/all_xmodel_cell_f060_r080.joblib,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.8,hgb,numeric_only,0.6274509803921569,0.7619047619047619,51,32,19,10,42,0.9397089397089398,0.9856,paper/models/flag_improvement_sweep_seed123_branch3_v12ens/all_xmodel_sanity_cell_f060_r080.joblib,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.8,rf,full,0.3295454545454545,0.6904761904761905,88,29,59,13,42,0.8503118503118503,0.9856,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.8,rf,full,0.3440860215053763,0.7619047619047619,93,32,61,10,42,0.8523908523908524,0.98623,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.8,rf,full,0.3195876288659793,0.7380952380952381,97,31,66,11,42,0.83991683991684,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.8,rf,full,0.3137254901960784,0.7619047619047619,102,32,70,10,42,0.8336798336798337,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.8,gb,full,0.3777777777777777,0.8095238095238095,90,34,56,8,42,0.8669438669438669,0.9915,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.8,gb,no_lab,0.3777777777777777,0.8095238095238095,90,34,56,8,42,0.8669438669438669,0.9915,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.8,two_stage,max_validation_percentile,0.5818181818181818,0.7619047619047619,55,32,23,10,42,0.9313929313929314,0.9901,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.8,two_stage,max_validation_percentile,0.5384615384615384,0.8333333333333334,65,35,30,7,42,0.9230769230769232,0.99325,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.9,hgb,no_lab,0.5,0.8333333333333334,70,35,35,7,42,0.9126819126819128,0.9981,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.9,extra_trees,full,0.5142857142857142,0.8571428571428571,70,36,34,6,42,0.9168399168399168,0.9981,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.9,rf,full,0.2409638554216867,0.9523809523809524,166,40,126,2,42,0.7338877338877339,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.9,hgb,no_lab,0.2176470588235294,0.8809523809523809,170,37,133,5,42,0.7130977130977131,0.9957,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.9,gb,numeric_only,0.2222222222222222,0.8571428571428571,162,36,126,6,42,0.7255717255717256,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.9,gb,numeric_only,0.2222222222222222,0.8571428571428571,162,36,126,6,42,0.7255717255717256,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.9,rf,full,0.2803030303030303,0.8809523809523809,132,37,95,5,42,0.7920997920997921,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.9,rf,no_lab,0.3130434782608696,0.8571428571428571,115,36,79,6,42,0.8232848232848233,0.99905,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.9,two_stage,max_validation_percentile,0.4137931034482758,0.8571428571428571,87,36,51,6,42,0.8814968814968815,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.9,two_stage,max_validation_percentile,0.4137931034482758,0.8571428571428571,87,36,51,6,42,0.8814968814968815,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.95,rf,numeric_only,0.3762376237623762,0.9047619047619048,101,38,63,4,42,0.8607068607068608,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_cell_f060,cell_f060,0.95,rf,numeric_only,0.3936170212765957,0.8809523809523809,94,37,57,5,42,0.8711018711018711,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.95,rf,no_lab,0.1877934272300469,0.9523809523809524,213,40,173,2,42,0.6361746361746362,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.95,rf,no_lab,0.1951219512195122,0.9523809523809524,205,40,165,2,42,0.6528066528066528,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.95,hgb,numeric_only,0.173728813559322,0.9761904761904762,236,41,195,1,42,0.5925155925155925,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.95,rf,no_lab,0.1735159817351598,0.9047619047619048,219,38,181,4,42,0.6153846153846154,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.95,rf,no_lab,0.2550335570469799,0.9047619047619048,149,38,111,4,42,0.760914760914761,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.95,rf,numeric_only,0.2708333333333333,0.9285714285714286,144,39,105,3,42,0.7754677754677755,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.95,two_stage,max_validation_percentile,0.2932330827067669,0.9285714285714286,133,39,94,3,42,0.7983367983367984,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.95,two_stage,max_validation_percentile,0.2564102564102564,0.9523809523809524,156,40,116,2,42,0.7546777546777547,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_cell_f060,cell_f060,0.5,extra_trees,full,1.0,0.2857142857142857,2,2,0,5,7,0.9621212121212122,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_cell_f060,cell_f060,0.5,extra_trees,no_lab,1.0,0.1428571428571428,1,1,0,6,7,0.9545454545454546,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,extra_trees,full,0.5,0.1428571428571428,2,1,1,6,7,0.946969696969697,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,extra_trees,full,1.0,0.1428571428571428,1,1,0,6,7,0.9545454545454546,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,extra_trees,full,0.5,0.2857142857142857,4,2,2,5,7,0.946969696969697,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,extra_trees,full,0.5,0.2857142857142857,4,2,2,5,7,0.946969696969697,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.5,two_stage,max_validation_percentile,1.0,0.5714285714285714,4,4,0,3,7,0.9772727272727272,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.5,two_stage,max_validation_percentile,1.0,0.4285714285714285,3,3,0,4,7,0.9696969696969696,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_cell_f060,cell_f060,0.7,extra_trees,full,0.6666666666666666,0.2857142857142857,3,2,1,5,7,0.9545454545454546,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_cell_f060,cell_f060,0.7,extra_trees,no_lab,0.6666666666666666,0.2857142857142857,3,2,1,5,7,0.9545454545454546,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,extra_trees,full,0.5,0.1428571428571428,2,1,1,6,7,0.946969696969697,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,extra_trees,full,1.0,0.1428571428571428,1,1,0,6,7,0.9545454545454546,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
4 + multi-v12 disagreement,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,hgb,full,0.2352941176470588,0.5714285714285714,17,4,13,3,7,0.8787878787878788,1.0,,paper/results/flag_improvement_sweep_seed123_branch3_v12ens.csv
