seed,family,method,n_test_cells,accuracy,neurite_macro_f1,axon_f1,basal_f1,apical_f1,per_cell_accuracy_mean,per_cell_accuracy_p10,per_cell_f1_mean,per_cell_f1_p10,per_cell_f1_p25,pyramidal_accuracy,pyramidal_neurite_f1,pyramidal_apical_f1,interneuron_accuracy,interneuron_neurite_f1,branch3_enabled
123,ablation,branch3_on,2402,0.9791,0.9443,0.9912,0.944,0.8979,0.9401621486036833,0.759474906779143,0.9296103663613656,0.64802,1.0,0.9809,0.945,0.9052,0.9775,0.971,True
123,ablation,branch3_off,2402,0.9787,0.9435,0.991,0.9421,0.8975,0.9361353264244319,0.7273283291631916,0.9232221065778519,0.6201300000000001,1.0,0.9803,0.9436,0.9049,0.9775,0.971,False
42,ablation,branch3_on,2328,0.9841,0.9568,0.9936,0.9538,0.9229,0.9568383796106176,0.9001262514146123,0.945103823024055,0.7630300000000001,1.0,0.9869,0.958,0.9296,0.979,0.9735,True
42,ablation,branch3_off,2328,0.984,0.9561,0.9935,0.9535,0.9211,0.9560431122884655,0.8919105671831477,0.9411544673539518,0.66379,1.0,0.9867,0.9573,0.9278,0.979,0.9735,False
789,ablation,branch3_on,2293,0.9824,0.9529,0.9921,0.9589,0.9075,0.9570125070567782,0.8961758917887342,0.9458003052769298,0.79652,1.0,0.9839,0.9536,0.9083,0.9793,0.9733,True
789,ablation,branch3_off,2293,0.9816,0.9497,0.992,0.9565,0.9007,0.9529421718924194,0.8552143308283066,0.9393922372437855,0.6816000000000003,1.0,0.9827,0.9496,0.9015,0.9793,0.9733,False
