method,n_seeds,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,neurite_macro_f1_mean,neurite_macro_f1_sd,neurite_macro_f1_min,neurite_macro_f1_max,axon_f1_mean,axon_f1_sd,axon_f1_min,axon_f1_max,basal_f1_mean,basal_f1_sd,basal_f1_min,basal_f1_max,apical_f1_mean,apical_f1_sd,apical_f1_min,apical_f1_max,per_cell_f1_mean_mean,per_cell_f1_mean_sd,per_cell_f1_mean_min,per_cell_f1_mean_max,per_cell_f1_p10_mean,per_cell_f1_p10_sd,per_cell_f1_p10_min,per_cell_f1_p10_max,per_cell_f1_p25_mean,per_cell_f1_p25_sd,per_cell_f1_p25_min,per_cell_f1_p25_max,pyramidal_neurite_f1_mean,pyramidal_neurite_f1_sd,pyramidal_neurite_f1_min,pyramidal_neurite_f1_max,pyramidal_apical_f1_mean,pyramidal_apical_f1_sd,pyramidal_apical_f1_min,pyramidal_apical_f1_max,interneuron_neurite_f1_mean,interneuron_neurite_f1_sd,interneuron_neurite_f1_min,interneuron_neurite_f1_max
branch3_off,3,0.9814333333333334,0.002653927906581726,0.9787,0.984,0.9497666666666666,0.006300264544710245,0.9435,0.9561,0.9921666666666668,0.001258305739211822,0.991,0.9935,0.9507,0.0075973679652890135,0.9421,0.9565,0.9064333333333333,0.012802083163818864,0.8975,0.9211,0.9345896037251964,0.009883893832213025,0.9232221065778519,0.9411544673539518,0.6551733333333335,0.03162792173591776,0.6201300000000001,0.6816000000000003,1.0,0.0,1.0,1.0,0.9501666666666667,0.0068675565766387146,0.9436,0.9573,0.9114,0.01430419518882483,0.9015,0.9278,0.9726,0.0013892443989450191,0.971,0.9735
branch3_on,3,0.9818666666666666,0.0025423086620891227,0.9791,0.9841,0.9513333333333334,0.006395571384429463,0.9443,0.9568,0.9923000000000001,0.00121243556529825,0.9912,0.9936,0.9522333333333334,0.007572538103788818,0.944,0.9589,0.9094333333333333,0.012611634839834752,0.8979,0.9229,0.9401714982207835,0.009152835707918654,0.9296103663613656,0.9458003052769298,0.7358566666666667,0.07789001882997161,0.64802,0.79652,1.0,0.0,1.0,1.0,0.9521999999999999,0.006612110101926626,0.945,0.958,0.9143666666666667,0.013283197406247225,0.9052,0.9296,0.9726,0.0013892443989450191,0.971,0.9735
branch3_on_minus_off,3,0.00043333333333332263,0.0003511884584284439,9.999999999998899e-05,0.0008000000000000229,0.001566666666666679,0.0014153915830374486,0.0007000000000000339,0.0031999999999999806,0.00013333333333331865,5.773502691895622e-05,9.999999999998899e-05,0.00019999999999997797,0.0015333333333332755,0.0010969655114602744,0.00029999999999996696,0.0023999999999999577,0.0030000000000000395,0.0033645207682521305,0.00040000000000006697,0.006800000000000028,0.005581894495587103,0.0014138547854085064,0.003949355670103238,0.00640806803314431,0.08068333333333326,0.04638768838100608,0.02788999999999997,0.11491999999999969,0.0,0.0,0.0,0.0,0.0020333333333332946,0.0017387735140993695,0.0006999999999999229,0.0040000000000000036,0.002966666666666673,0.0034034296427770476,0.00029999999999996696,0.006800000000000028,0.0,0.0,0.0,0.0
