file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
allen__H16.03.005.01.03.02_526725807.swc,pyramidal,9770,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1440,3918,4411
allen__H16.03.005.01.04.03_526727406.swc,pyramidal,13921,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,7451,2925,3544
allen__H16.03.006.01.04.01_537204107.swc,pyramidal,25937,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,15601,4882,5453
allen__H16.06.004.01.04.01_508279351.swc,pyramidal,10529,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,2736,3792,4000
allen__H16.06.004.01.04.03_508282493.swc,pyramidal,10880,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,5630,2418,2831
allen__H16.06.007.01.05.02_531517778.swc,pyramidal,30868,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,18245,6219,6403
allen__H16.06.007.01.07.04_531526539.swc,pyramidal,13268,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,7460,1611,4196
allen__H16.06.008.01.26.04_527942865.swc,pyramidal,5890,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1629,1683,2577
allen__H16.06.009.01.01.06.01_528602977.swc,pyramidal,8798,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,3020,2736,3041
allen__H16.06.011.01.01.10.04_539542640.swc,pyramidal,12711,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,2914,4353,5443
allen__H16.06.012.11.06.01_548408551.swc,pyramidal,15940,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,7027,4125,4787
allen__H16.06.012.11.08.02_548425467.swc,pyramidal,20063,0.987240,0.979000,1.000000,0.991500,0.945600,1.000000,1,15178,2225,2659
allen__H17.03.002.11.04.01_569818704.swc,pyramidal,8351,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1943,2879,3528
allen__H17.06.004.11.05.04_569095789.swc,pyramidal,7001,0.796315,0.530000,1.000000,1.000000,0.590000,0.000000,1,4548,2452,0
allen__H17.06.005.12.15.04_571471295.swc,pyramidal,17244,0.913245,0.896400,1.000000,0.939900,0.749200,1.000000,1,13197,2234,1812
allen__H17.06.005.12.15.05_571483807.swc,pyramidal,19604,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,11486,5396,2721
allen__H17.06.005.13.05.02_571430815.swc,pyramidal,7641,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,3824,948,2868
