scope,feature_mode,operating_point,target_value,n_folds,precision_lt_target_mean,precision_lt_target_sd,recall_lt_target_mean,recall_lt_target_sd,binary_accuracy_mean,binary_accuracy_sd,reject_rate_mean,reject_rate_sd,n_rejected_mean,n_rejected_sd,tp_mean,tp_sd,fp_mean,fp_sd,fn_mean,fn_sd,kept_f1_p10_mean,kept_f1_p10_sd,test_ap_mean,test_ap_sd,test_auc_mean,test_auc_sd
all,baseline_oof,fixed_reject_rate,0.05,3,0.5426536731634183,0.10350304375579142,0.3603755821218453,0.013738477273003693,0.929257425725195,0.0019048256820780886,0.05000000000000001,8.498374721940739e-18,117.0,2.6457513110645907,63.666666666666664,13.576941236277534,53.333333333333336,11.015141094572202,112.33333333333333,18.58314648635514,0.8736033333333335,0.06510773865934318,0.47940660303903865,0.05444307137296132,0.9010527502798894,0.010823648151375525
all,baseline_oof,fixed_reject_rate,0.1,3,0.4337713681220625,0.04446452942025858,0.581503184948318,0.03258119300259939,0.9117655251341038,0.0030741445188416793,0.10000000000000002,1.6996749443881478e-17,234.0,5.5677643628300215,101.66666666666667,12.897028081435403,132.33333333333334,7.371114795831994,74.33333333333333,19.2180470738661,0.95752,0.04447762583591891,0.47940660303903865,0.05444307137296132,0.9010527502798894,0.010823648151375525
all,baseline_oof,fixed_reject_rate,0.15,3,0.3536083161191444,0.040465795094578795,0.710509634680251,0.04035244175461935,0.8811036450459593,0.0027228447578798343,0.15,0.0,351.0,8.18535277187245,124.33333333333333,17.21433511156714,226.66666666666666,9.237604307034012,51.666666666666664,15.50268793897798,0.99179,0.01006251956519839,0.47940660303903865,0.05444307137296132,0.9010527502798894,0.010823648151375525
all,baseline_oof,validation_recall,0.5,3,0.4844336037069405,0.07357474599207105,0.4663631914816749,0.07823776221321482,0.9218432351749287,0.005564148955996084,0.07279050629428462,0.01624065566496773,170.33333333333334,37.421027956662726,81.66666666666667,17.559422921421234,88.66666666666667,28.290163190291665,94.33333333333333,23.072349974229617,0.9113899999999999,0.0610921508870002,0.47940660303903865,0.05444307137296132,0.9010527502798894,0.010823648151375525
all,baseline_oof,validation_recall,0.7,3,0.388748934296215,0.0635421966459499,0.6677709075631059,0.0835692208752278,0.8943933708333699,0.015361688764650121,0.12987583860400068,0.02449517571704538,303.6666666666667,54.012344268077584,116.33333333333333,15.275252316519467,187.33333333333334,50.76744363598913,59.666666666666664,22.18858565419016,0.9799033333333332,0.02007044178221626,0.47940660303903865,0.05444307137296132,0.9010527502798894,0.010823648151375525
all,baseline_oof,validation_recall,0.8,3,0.32278600171719996,0.04769896225698242,0.749547452609793,0.08901241293191894,0.8617513907955878,0.018761066945144983,0.17473852304600626,0.027810347111945497,408.6666666666667,61.17461347105786,130.66666666666666,17.47378989610821,278.0,57.29746940310715,45.333333333333336,20.5993527406405,0.9954366666666666,0.00442246914441846,0.47940660303903865,0.05444307137296132,0.9010527502798894,0.010823648151375525
all,baseline_oof,validation_recall,0.9,3,0.24233257240649983,0.04883341702812798,0.850935121441866,0.08259805080608364,0.7846504570292181,0.04280605712081461,0.2669193983833251,0.048269436523968125,623.6666666666666,102.27577099847908,148.33333333333334,17.09775813764288,475.3333333333333,107.2955420012096,27.666666666666668,17.8978583448784,1.0,0.0,0.47940660303903865,0.05444307137296132,0.9010527502798894,0.010823648151375525
all,branch3,fixed_reject_rate,0.05,3,0.5028985507246377,0.09568510632025541,0.3339983537759695,0.014263289658650573,0.9252837116861748,0.0027713686976993945,0.05000000000000001,8.498374721940739e-18,117.0,2.6457513110645907,59.0,12.529964086141668,58.0,10.0,117.0,19.697715603592208,0.8487300000000001,0.06821616304073395,0.4046606236479366,0.04516718530896342,0.8629525244997761,0.014251094176693848
all,branch3,fixed_reject_rate,0.1,3,0.3995872404537153,0.04406876218902868,0.5351805856727475,0.024787363104638676,0.904932734276184,0.0031406745766882622,0.10000000000000002,1.6996749443881478e-17,234.0,5.5677643628300215,93.66666666666667,12.583057392117917,140.33333333333334,7.023769168568492,82.33333333333333,19.55334583474995,0.9452933333333333,0.03585738603598057,0.4046606236479366,0.04516718530896342,0.8629525244997761,0.014251094176693848
all,branch3,fixed_reject_rate,0.15,3,0.3289993064964745,0.03520537026110224,0.6615872090717151,0.04209972522799099,0.8737245033900857,0.0030036664714177853,0.15,0.0,351.0,8.18535277187245,115.66666666666667,15.14375558880073,235.33333333333334,7.234178138070234,60.333333333333336,17.502380790433435,0.98294,0.014590257023095975,0.4046606236479366,0.04516718530896342,0.8629525244997761,0.014251094176693848
