name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
allen__H16.06.009.01.01.06.01_528602977.swc,8798,pyramidal,True,0.5476,0.6607,0.6544,3041,2736,3020
allen__H16.06.009.01.02.03.01_528636794.swc,7487,pyramidal,True,0.7668,0.8251,0.7632,5029,939,1518
allen__H16.06.009.01.02.05.01_528638057.swc,10280,pyramidal,True,1.0,1.0,1.0,4848,2884,2547
allen__H16.06.010.01.01.10.01_529889679.swc,11792,pyramidal,True,0.5412,0.6559,0.7344,3132,2595,6064
allen__H16.06.010.01.01.10.02_529898751.swc,22644,interneuron,False,0.4445,0.5834,0.7254,6217,1555,14871
allen__H16.06.010.01.02.18.02_529845713.swc,14807,pyramidal,True,0.3385,0.5039,0.3998,6509,4679,3618
allen__H16.06.010.01.03.05.02_529863215.swc,21802,interneuron,False,0.5524,0.6643,0.792,4534,4344,12923
allen__H16.06.010.01.03.05.03_529878215.swc,12878,interneuron,False,0.5133,0.635,0.5842,5355,3141,4381
allen__H16.06.010.01.03.14.02_530062215.swc,24797,pyramidal,True,0.5281,0.6461,0.6861,7784,5469,11543
allen__H16.06.011.01.01.05.03_539653924.swc,9458,pyramidal,True,0.3312,0.4984,0.5121,4552,4842,63
allen__H16.06.011.01.01.05.05_539661667.swc,11405,pyramidal,True,0.9392,0.9544,0.9094,6501,4865,38
allen__H16.06.011.01.01.10.02_539537094.swc,18078,pyramidal,True,1.0,1.0,1.0,5848,5268,6961
allen__H16.06.011.01.01.10.04_539542640.swc,12711,pyramidal,True,1.0,1.0,1.0,5443,4353,2914
allen__H16.06.012.11.04.03_548459652.swc,5466,pyramidal,True,0.4414,0.581,0.6716,4103,1267,95
allen__H16.06.012.11.06.01_548408551.swc,15940,pyramidal,True,0.5443,0.6582,0.6997,4787,4125,7027
allen__H16.06.012.11.06.02_548421866.swc,9393,pyramidal,True,0.1361,0.3521,0.0826,8460,775,157
allen__H16.06.012.11.06.06_548494556.swc,9111,pyramidal,True,0.2243,0.4182,0.2029,5887,1390,1833
allen__H16.06.012.11.08.02_548425467.swc,20063,interneuron,False,0.5319,0.6489,0.8547,2659,2481,14922
allen__H16.06.012.11.08.03_548440226.swc,29702,interneuron,False,0.5806,0.6854,0.8427,4673,6709,18319
allen__H16.06.012.11.08.04_548457754.swc,26206,pyramidal,True,0.8169,0.8627,0.8793,6430,5515,14260
allen__H16.06.012.11.08.05_548473051.swc,15545,pyramidal,True,0.5542,0.6656,0.6671,5175,5080,5289
