file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__202226_011_edited.swc,pyramidal,16855,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13137,2354,1363
hpf_ca1__202226_022_edited.swc,pyramidal,21190,1.000000,1.000000,1.000000,1.000000,1.000000,,1,19716,1473,0
hpf_ca1__202232_007_edited.swc,pyramidal,67100,1.000000,1.000000,1.000000,1.000000,1.000000,,1,62956,4143,0
hpf_ca1__202232_073_edited.swc,pyramidal,92178,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,87383,2088,2706
hpf_ca1__202233_006_edited.swc,pyramidal,91730,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,86796,1873,3060
hpf_ca1__202233_017_edited.swc,pyramidal,55771,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,50880,1703,3187
hpf_ca1__202234_014_edited.swc,pyramidal,13715,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,10792,703,2219
hpf_ca1__202234_026_edited.swc,pyramidal,105116,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,101176,1199,2740
hpf_ca1__202234_029_edited.swc,pyramidal,15181,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,12902,799,1479
hpf_ca1__202234_031_edited.swc,pyramidal,16311,1.000000,1.000000,1.000000,1.000000,1.000000,,1,15004,1306,0
hpf_ca1__202235_014_edited.swc,pyramidal,27347,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24459,2887,0
hpf_ca1__202237_028_edited.swc,pyramidal,29490,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,27576,731,1182
hpf_ca1__202237_041_edited.swc,pyramidal,21926,1.000000,1.000000,1.000000,1.000000,1.000000,,1,18677,3248,0
hpf_ca1__202237_110_edited.swc,pyramidal,40061,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,37767,789,1504
hpf_ca1__202237_143_edited.swc,pyramidal,46548,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,43531,990,2026
hpf_ca1__202238_009_edited.swc,pyramidal,62989,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,59846,1407,1735
hpf_ca1__202238_016_edited.swc,pyramidal,19790,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,17459,820,1510
hpf_ca1__202238_020_edited.swc,pyramidal,57572,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,55075,762,1734
hpf_ca1__202238_021_edited.swc,pyramidal,52353,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,49167,1225,1960
hpf_ca1__202238_036_edited.swc,pyramidal,20839,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,18588,1026,1224
hpf_ca1__202238_041_edited.swc,pyramidal,55049,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,51533,1464,2051
hpf_ca1__202238_097_edited.swc,pyramidal,35113,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,32675,1088,1349
hpf_ca1__202240_008_edited.swc,pyramidal,33251,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,31091,868,1291
hpf_ca1__202240_017_edited.swc,pyramidal,41036,1.000000,1.000000,1.000000,1.000000,1.000000,,1,39633,1402,0
hpf_ca1__202240_018_edited.swc,pyramidal,41577,1.000000,1.000000,1.000000,1.000000,1.000000,,1,39730,1846,0
hpf_ca1__202240_024_edited.swc,pyramidal,17760,1.000000,1.000000,1.000000,1.000000,1.000000,,1,16164,1595,0
hpf_ca1__202242_001_edited.swc,pyramidal,29971,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,26204,1291,2475
hpf_ca1__202242_003_edited.swc,pyramidal,21027,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,18405,1019,1602
hpf_ca1__202242_010_edited.swc,pyramidal,9044,0.129478,0.500000,1.000000,0.000000,1.000000,,1,0,1170,7873
hpf_ca1__202243_009_edited.swc,pyramidal,17660,0.919083,0.588400,1.000000,1.000000,0.008300,0.756900,1,13999,6,3654
hpf_ca1__202243_010_edited.swc,pyramidal,20445,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,16201,1117,3126
hpf_ca1__202243_013_edited.swc,pyramidal,37867,0.952782,0.524100,1.000000,1.000000,0.572200,0.000000,1,34882,2984,0
hpf_ca1__202244_001_edited.swc,pyramidal,16261,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,12134,2059,2067
hpf_ca1__202244_006_edited.swc,pyramidal,26558,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,23663,938,1956
hpf_ca1__202244_018_edited.swc,pyramidal,2053,0.664881,0.500000,1.000000,1.000000,,0.000000,1,1364,688,0
hpf_ca1__202244_019_edited.swc,pyramidal,2467,0.649372,0.500000,1.000000,1.000000,,0.000000,1,1601,865,0
hpf_ca1__202246_001_edited.swc,pyramidal,32941,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,22162,8583,2195
hpf_ca1__202246_004_edited.swc,pyramidal,15012,1.000000,1.000000,1.000000,1.000000,1.000000,,1,12729,2282,0
hpf_ca1__202246_025_edited.swc,pyramidal,31673,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,28152,1261,2259
hpf_ca1__202246_030_edited.swc,pyramidal,42435,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,39784,867,1783
hpf_ca1__202248_010_edited.swc,pyramidal,88120,1.000000,1.000000,1.000000,1.000000,1.000000,,1,84098,4021,0
hpf_ca1__202248_011_edited.swc,pyramidal,82341,1.000000,1.000000,1.000000,1.000000,1.000000,,1,79759,2581,0
hpf_ca1__202248_018_edited.swc,pyramidal,14799,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,10977,2011,1810
hpf_ca1__202248_022_edited.swc,pyramidal,13308,0.999925,0.999800,1.000000,1.000000,0.999600,0.999700,1,10460,1173,1674
hpf_ca1__202249_008_edited.swc,pyramidal,24715,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,21894,1016,1804
hpf_ca1__202249_011_edited.swc,pyramidal,17644,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14649,1061,1933
hpf_ca1__202249_013_edited.swc,pyramidal,61684,1.000000,1.000000,1.000000,1.000000,1.000000,,1,59537,2146,0
hpf_ca1__202249_015_edited.swc,pyramidal,33834,0.987380,0.624600,1.000000,1.000000,0.873700,0.000000,1,31929,1904,0
hpf_ca1__202249_020_edited.swc,pyramidal,13358,1.000000,1.000000,1.000000,1.000000,1.000000,,1,12427,930,0
