name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__130315c1.swc,2978,pyramidal,True,1.0,1.0,1.0,1344,943,690
neuromorpho__13_06_13_-1_Cell_-1.swc,27472,pyramidal,True,0.3251,0.4938,0.256,20081,7032,358
neuromorpho__13_08_13_-2_Cell_-2.swc,31729,pyramidal,True,0.5395,0.6546,0.6101,12372,10027,9329
neuromorpho__13_den_ax.swc,123319,pyramidal,True,0.5029,0.6272,0.9708,3144,2329,117845
neuromorpho__14_08_13_-1_Cell_-5.swc,31155,pyramidal,True,0.9534,0.965,0.963,13724,5431,11999
neuromorpho__14_den_ax.swc,132401,pyramidal,True,0.5298,0.6473,0.9737,2662,3341,126397
neuromorpho__15_den_ax.swc,130424,pyramidal,True,0.5575,0.6681,0.9542,5479,6687,118257
neuromorpho__16_den_ax.swc,139691,pyramidal,True,0.9719,0.9813,0.9916,0,11974,127716
neuromorpho__17_den_ax.swc,95497,pyramidal,True,0.9935,0.9957,0.9987,0,5165,90331
neuromorpho__18414_slide2_cell3.swc,1048,interneuron,False,0.0445,0.2834,0.0534,278,761,8
neuromorpho__18414_slide2_cell4.swc,1316,interneuron,False,0.0686,0.3015,0.0775,435,851,29
neuromorpho__18_den_ax.swc,94663,pyramidal,True,0.975,0.9833,0.9959,0,4235,90427
neuromorpho__19_06_13_-1_Cell_-6.swc,54512,pyramidal,True,1.0,1.0,1.0,20162,11336,23013
neuromorpho__1_den_ax.swc,126292,pyramidal,True,0.5799,0.6849,0.9939,631,1243,124417
neuromorpho__1b_1.swc,2002,pyramidal,True,0.9108,0.9406,0.7008,0,1979,22
neuromorpho__20171012B01.swc,1967,interneuron,False,0.236,0.427,0.548,837,1077,52
neuromorpho__20171018D01.swc,1759,interneuron,False,0.1619,0.3714,0.3212,1163,564,31
neuromorpho__203B-2-L3.swc,1752,pyramidal,True,0.318,0.4885,0.5274,739,923,89
neuromorpho__203B-2-L5.swc,1600,pyramidal,True,0.2623,0.4467,0.6488,397,1102,100
neuromorpho__203B-2-L6.swc,1525,pyramidal,True,0.2494,0.4371,0.598,556,911,57
neuromorpho__204B-2-R2.swc,2419,pyramidal,True,0.3244,0.4933,0.6275,817,1517,84
neuromorpho__204B-2-R3.swc,1568,interneuron,False,0.2669,0.4502,0.6677,433,1046,88
neuromorpho__204B-3-R2.swc,1302,pyramidal,True,0.318,0.4885,0.5661,494,736,71
neuromorpho__207B-1-L3.swc,1389,pyramidal,True,0.2237,0.4178,0.5054,610,701,77
neuromorpho__209B-5-L3.swc,1693,pyramidal,True,0.2609,0.4457,0.6432,526,1088,78
neuromorpho__21_18.swc,1035,interneuron,False,0.1872,0.3904,0.2657,332,647,55
neuromorpho__22315_cell2.swc,1107,interneuron,False,0.0798,0.3098,0.0939,348,722,36
neuromorpho__22315_cell4.swc,1024,interneuron,False,0.1728,0.3796,0.1943,457,535,31
neuromorpho__22315_cell5.swc,1143,interneuron,False,0.0203,0.2652,0.0175,538,589,15
neuromorpho__22315_cell7.swc,1503,interneuron,False,0.0,0.25,0.0007,504,970,28
neuromorpho__22411_cell1.swc,1118,interneuron,False,0.0936,0.3202,0.1082,382,713,22
neuromorpho__22411_cell12.swc,979,interneuron,False,0.0872,0.3154,0.1021,320,647,11
neuromorpho__22411_cell3.swc,903,interneuron,False,0.0739,0.3055,0.0731,381,496,25
neuromorpho__22411_cell6.swc,1831,interneuron,False,0.0372,0.2779,0.0382,663,1142,25
neuromorpho__22411_cell9.swc,899,interneuron,False,0.2337,0.4253,0.3337,344,542,12
neuromorpho__22_den_ax.swc,119032,pyramidal,True,0.9895,0.993,0.9982,0,5377,113654
neuromorpho__23032017_c1_RED.swc,4155,pyramidal,True,0.5466,0.66,0.8082,2649,708,797
neuromorpho__23032017_c3_RED.swc,4477,pyramidal,True,0.5348,0.6511,0.8032,2922,673,881
neuromorpho__23032017_C7_RED.swc,3510,pyramidal,True,0.5969,0.6977,0.8752,2244,827,438
