method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__201983_012_edited.swc,pyramidal,9410,0.9965,0.9930
neurom_rf,hpf_ca1__201990_029_edited.swc,pyramidal,74990,0.9989,0.9940
neurom_rf,hpf_ca1__202217_014_edited.swc,pyramidal,31115,0.9828,0.9402
neurom_rf,hpf_ca1__202217_020_edited.swc,pyramidal,33093,0.9950,0.9749
neurom_rf,hpf_ca1__202217_022_edited.swc,pyramidal,13624,0.9928,0.9903
neurom_rf,hpf_ca1__202217_023_edited.swc,pyramidal,16882,0.9466,0.8681
neurom_rf,hpf_ca1__202219_002_edited.swc,pyramidal,18678,1.0000,1.0000
neurom_rf,hpf_ca1__202219_010_edited.swc,pyramidal,31281,0.9971,0.9847
neurom_rf,hpf_ca1__202219_020_edited.swc,pyramidal,47591,0.9823,0.9479
neurom_rf,hpf_ca1__202219_028_edited.swc,pyramidal,81215,0.9851,0.9526
neurom_rf,hpf_ca1__202219_031_edited.swc,pyramidal,15259,1.0000,1.0000
neurom_rf,hpf_ca1__202220_077_edited.swc,pyramidal,29822,0.9733,0.9641
neurom_rf,hpf_ca1__202224_002_edited.swc,pyramidal,3065,1.0000,1.0000
neurom_rf,hpf_ca1__202224_005_edited.swc,pyramidal,15471,1.0000,1.0000
neurom_rf,hpf_ca1__202225_004_edited.swc,pyramidal,44311,0.9673,0.8600
neurom_rf,hpf_ca1__202226_005_edited.swc,pyramidal,30905,0.9971,0.9805
neurom_rf,hpf_ca1__202226_012_edited.swc,pyramidal,30380,0.9772,0.9621
neurom_rf,hpf_ca1__202230_009_edited.swc,pyramidal,20282,0.9792,0.9885
neurom_rf,hpf_ca1__202230_010_edited.swc,pyramidal,23971,0.9980,0.9953
neurom_rf,hpf_ca1__202232_020_edited.swc,pyramidal,22249,0.9947,0.9695
neurom_rf,hpf_ca1__202232_022_edited.swc,pyramidal,118347,1.0000,1.0000
neurom_rf,hpf_ca1__202232_069_edited.swc,pyramidal,14507,0.9946,0.9828
neurom_rf,hpf_ca1__202232_071_edited.swc,pyramidal,16712,0.9999,0.9997
neurom_rf,hpf_ca1__202233_010_edited.swc,pyramidal,89353,0.9935,0.9670
neurom_rf,hpf_ca1__202233_014_edited.swc,pyramidal,21401,0.9944,0.9857
neurom_rf,hpf_ca1__202234_014_edited.swc,pyramidal,13715,0.9585,0.8769
neurom_rf,hpf_ca1__202234_019_edited.swc,pyramidal,32901,0.9828,0.9421
neurom_rf,hpf_ca1__202234_026_edited.swc,pyramidal,105116,0.9922,0.8569
neurom_rf,hpf_ca1__202237_014_edited.swc,pyramidal,82589,0.9990,0.9922
neurom_rf,hpf_ca1__202237_022_edited.swc,pyramidal,37107,0.9967,0.9855
neurom_rf,hpf_ca1__202237_028_edited.swc,pyramidal,29490,0.9805,0.8748
neurom_rf,hpf_ca1__202237_030_edited.swc,pyramidal,37085,0.9986,0.9924
neurom_rf,hpf_ca1__202237_148_edited.swc,pyramidal,20025,0.9914,0.9801
neurom_rf,hpf_ca1__202237_155_edited.swc,pyramidal,48853,1.0000,1.0000
neurom_rf,hpf_ca1__202238_010_edited.swc,pyramidal,40434,1.0000,1.0000
neurom_rf,hpf_ca1__202238_011_edited.swc,pyramidal,31386,1.0000,1.0000
neurom_rf,hpf_ca1__202238_016_edited.swc,pyramidal,19790,0.9763,0.9033
neurom_rf,hpf_ca1__202238_020_edited.swc,pyramidal,57572,0.9917,0.9104
neurom_rf,hpf_ca1__202238_037_edited.swc,pyramidal,30131,0.9950,0.9820
neurom_rf,hpf_ca1__202239_001_edited.swc,pyramidal,102203,0.9536,0.9298
neurom_rf,hpf_ca1__202239_002_edited.swc,pyramidal,53262,0.9939,0.9814
neurom_rf,hpf_ca1__202239_003_edited.swc,pyramidal,66236,0.9840,0.9761
neurom_rf,hpf_ca1__202240_013_edited.swc,pyramidal,61254,0.9987,0.9958
neurom_rf,hpf_ca1__202240_017_edited.swc,pyramidal,41036,0.9432,0.7114
neurom_rf,hpf_ca1__202240_021_edited.swc,pyramidal,18234,0.9973,0.9897
neurom_rf,hpf_ca1__202240_038_edited.swc,pyramidal,33672,0.9944,0.9906
neurom_rf,hpf_ca1__202240_041_edited.swc,pyramidal,56404,0.9522,0.9459
neurom_rf,hpf_ca1__202241_005_edited.swc,pyramidal,22133,0.9962,0.9924
neurom_rf,hpf_ca1__202241_012_edited.swc,pyramidal,12322,0.9873,0.9809
neurom_rf,hpf_ca1__202242_002_edited.swc,pyramidal,29425,0.9858,0.9375
neurom_rf,hpf_ca1__202242_004_edited.swc,pyramidal,11334,0.9845,0.9741
neurom_rf,hpf_ca1__202242_006_edited.swc,pyramidal,25594,0.9788,0.9866
neurom_rf,hpf_ca1__202243_005_edited.swc,pyramidal,31496,0.9838,0.9821
neurom_rf,hpf_ca1__202243_010_edited.swc,pyramidal,20445,0.8487,0.6944
neurom_rf,hpf_ca1__202243_015_edited.swc,pyramidal,6058,0.9724,0.9658
neurom_rf,hpf_ca1__202244_004_edited.swc,pyramidal,18757,0.9856,0.9575
neurom_rf,hpf_ca1__202244_005_edited.swc,pyramidal,16774,0.9791,0.9522
neurom_rf,hpf_ca1__202244_019_edited.swc,pyramidal,2467,0.6498,0.5587
neurom_rf,hpf_ca1__202246_001_edited.swc,pyramidal,32941,0.7203,0.5360
neurom_rf,hpf_ca1__202246_024_edited.swc,pyramidal,61272,0.9524,0.9329
neurom_rf,hpf_ca1__202246_025_edited.swc,pyramidal,31673,0.9638,0.8541
