file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
allen__Chat-IRES-Cre-neo_Ai14-287662.04.02.01_562003142.swc,3841,interneuron,0.981894,2086,1754,0,0,0,0,0,0,0,0,0,0,0,0.934111,0.0966219,0.5,0.810811,0.910112,0.927978,0.952625,0,0.0497266,0.0497266,0.0497266,0.0827909,0.903629,0.810811,0.0915628,0.970324,0.927978,0,0,0,0,113,0.927764,0.5,0.927536,0.0530973,0.0530973,83,14,59.29,9.54349,13.6158,203,515.111,44.198,3.1655,7.88951,289.543,640.096,0,0,0,0,0
allen__Chat-IRES-Cre-neo_Ai14-313181.04.02.01_582644266.swc,4292,interneuron,0.985926,2847,1444,0,0,0,0,0,0,0,0,0,0,0,0.9136,0.1637,0.5,0.547771,0.547771,0.927978,0.998919,0,0.150746,0.165191,0.165191,0.184529,0.89082,0.547771,0.227257,0.958455,0.927978,0.0429363,0,0,0,136,0.936874,0.5,0.547771,0.117647,0.117647,85,28.56,61.2321,-7.0669,11.6179,291.511,165.117,111.682,4.08434,18.9717,536.452,314.319,0,0,0,0,0
allen__Chat-IRES-Cre-neo_Ai14-313182.03.01.01_583138230.swc,6147,interneuron,0.94974,3272,2874,0,0,0,0,0,0,0,0,0,0,0,0.951109,0.117177,0.3,0.847222,0.927978,0.927978,0.998919,0.0221246,0.037742,0.037742,0.037742,0.0574264,0.949448,0.847222,0.0709046,0.952983,0.927978,0,0,0,0,172,0.950635,0.3,0.927978,0.0465116,0.0465116,78.6,25.76,76.426,1.92416,18.4907,411.313,323.465,103.021,10.2438,18.6649,463.996,297.716,0,0,0,0,0
allen__Chat-IRES-Cre-neo_Ai14-316042.03.01.01_586071425.swc,7603,interneuron,0.994866,5564,2038,0,0,0,0,0,0,0,0,0,0,0,0.981872,0.0482641,0.547771,0.927978,0.927978,0.995725,0.999189,0,0.00644482,0.00881231,0.00881231,0.00881231,0.994842,0.995725,0.00880661,0.946454,0.927978,0.00883219,0,0,0,243,0.979828,0.547771,0.927978,0.0205761,0.0205761,64,19.32,119.923,35.4705,26.7983,249.09,707.834,70.8792,7.5999,17.6206,235.495,403.231,0,0,0,0,0
allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,4879,interneuron,0.997609,3134,1744,0,0,0,0,0,0,0,0,0,0,0,0.886526,0.234992,0.3,0.3,0.3,0.927978,0.998919,0.115597,0.155975,0.172986,0.172986,0.172986,0.84726,0.3,0.238992,0.957023,0.927978,0.0544725,0,0,0,166,0.883902,0.3,0.3,0.174699,0.174699,66.5,17.08,62.041,-2.7711,10.917,283.663,590.834,92.3807,9.1878,18.3692,226.165,438.204,0,0,0,0,0
allen__Chat-IRES-Cre-neo_Ai14-316042.06.01.01_586072783.swc,9284,interneuron,0.972393,6286,2997,0,0,0,0,0,0,0,0,0,0,0,0.950007,0.148004,0.3,0.547771,0.927978,0.998919,0.999189,0.0403921,0.0570875,0.05838,0.05838,0.0620422,0.946649,0.973127,0.0811327,0.957033,0.927978,0.0106773,0,0,0,241,0.942431,0.3,0.927978,0.0746888,0.0746888,92,19.4967,76.2726,7.4733,13.0964,281.462,575.341,70.4894,5.76054,15.6061,313.053,565.676,0,0,0,0,0
allen__Chat-IRES-Cre-neo_Ai14-316043.04.02.01_585925172.swc,5673,interneuron,0.980859,3677,1995,0,0,0,0,0,0,0,0,0,0,0,0.98607,0.027265,0.927978,0.927978,0.927978,0.998919,0.999189,0,0,0,0,0,0.998755,0.999189,0,0.962684,0.927978,0,0,0,0,182,0.988628,0.927978,0.927978,0,0,67,19.1864,64.3311,7.85996,13.3096,308.217,710.634,72.2137,2.89061,12.7514,369.624,455.001,0,0,0,0,0
allen__Chrna2-Cre_OE25_Ai14(BT)-281693.05.01.01_555001065.swc,11648,interneuron,0.995166,8162,3485,0,0,0,0,0,0,0,0,0,0,0,0.948657,0.179152,0.3,0.3,0.973127,0.998919,0.999189,0.0708276,0.0708276,0.0708276,0.0708276,0.0708276,0.952709,0.973127,0.0645675,0.939155,0.998919,0.0855093,0,0,0,277,0.976584,0.3,0.987782,0.0252708,0.0361011,99.2,16.3145,78.7623,12.6988,16.6077,679.409,568.802,114.201,16.628,20.1493,450.575,407.3,0,0,0,0,0
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294467.03.01.01_566761793.swc,18011,interneuron,0.996598,16220,1790,0,0,0,0,0,0,0,0,0,0,0,0.955401,0.166126,0.3,0.3,0.998919,0.999189,0.999189,0.0601299,0.0601299,0.0601299,0.0601299,0.0601299,0.952437,0.999189,0.0667694,0.982234,0.927978,0,0,0,0,550,0.987835,0.3,0.998919,0.0145455,0.0181818,67.1,13.6268,81.7103,14.1117,15.7195,539.873,865.636,57.3689,6.25211,9.1547,202.626,238.371,0,0,0,0,0
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294916.03.01.02_567354967.swc,14375,interneuron,0.996958,12143,2231,0,0,0,0,0,0,0,0,0,0,0,0.842696,0.286787,0.3,0.3,0.3,0.973127,0.999189,0.212452,0.226017,0.226017,0.226017,0.226017,0.833437,0.3,0.242197,0.893018,0.3,0.138055,0,0,0,319,0.889013,0.3,0.3,0.15047,0.169279,113.6,13.44,136.066,52.8633,37.0443,843.652,808.193,71.4347,10.9018,15.2217,404.439,425.454,0,0,0,0,0
