seed,method,accuracy,neurite_macro_f1,axon_f1,basal_f1,apical_f1,per_cell_f1_mean,per_cell_f1_p10,per_cell_f1_p25,pyramidal_neurite_f1,pyramidal_apical_f1,interneuron_neurite_f1
42,branch3_on_minus_off,0.00029999999999996696,0.0016999999999999238,0.0,0.0009000000000000119,0.0040999999999999925,0.004240635738831711,0.0046200000000000685,0.0,0.0020000000000000018,0.0040000000000000036,0.0
123,branch3_on_minus_off,0.0004999999999999449,0.0015999999999999348,0.0,0.0023000000000000798,0.0025000000000000577,0.006902955870108141,0.02497999999999989,0.0,0.0021999999999999797,0.0024000000000000687,0.0
789,branch3_on_minus_off,0.0004999999999999449,0.002100000000000102,-0.00010000000000010001,0.0015999999999999348,0.0046000000000000485,0.006015830789358967,0.0049799999999999844,0.0,0.0024999999999999467,0.0046000000000000485,0.0
