seed,file,cell_type,baseline_method,metric,v12_value,baseline_value,diff
123,hpf_ca1__202219_003_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202219_004_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202219_006_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202219_007_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202219_014_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202219_029_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202219_032_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202219_041_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202225_004_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202225_007_edited.swc,pyramidal,lmeasure_rf,accuracy,0.90026700,1.00000000,-0.09973300
123,hpf_ca1__202225_009_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202225_054_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,0.91200000,0.08800000
123,hpf_ca1__202226_006_edited.swc,pyramidal,lmeasure_rf,accuracy,0.74049500,0.97760000,-0.23710500
123,hpf_ca1__202226_007_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202226_009_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,0.87420000,0.12580000
123,hpf_ca1__202226_011_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,0.90860000,0.09140000
123,hpf_ca1__202226_022_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202232_007_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202232_073_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202233_006_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202233_017_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202234_014_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202234_026_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202234_029_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202234_031_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202235_014_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202237_028_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202237_041_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202237_110_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202237_143_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202238_009_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202238_016_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202238_020_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202238_021_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202238_036_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202238_041_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202238_097_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202240_008_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202240_017_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202240_018_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202240_024_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202242_001_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202242_003_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202242_010_edited.swc,pyramidal,lmeasure_rf,accuracy,0.12947800,1.00000000,-0.87052200
123,hpf_ca1__202243_009_edited.swc,pyramidal,lmeasure_rf,accuracy,0.91908300,0.91910000,-0.00001700
123,hpf_ca1__202243_010_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202243_013_edited.swc,pyramidal,lmeasure_rf,accuracy,0.95278200,1.00000000,-0.04721800
123,hpf_ca1__202244_001_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202244_006_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202244_018_edited.swc,pyramidal,lmeasure_rf,accuracy,0.66488100,0.66490000,-0.00001900
123,hpf_ca1__202244_019_edited.swc,pyramidal,lmeasure_rf,accuracy,0.64937200,0.64940000,-0.00002800
123,hpf_ca1__202246_001_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,0.75610000,0.24390000
123,hpf_ca1__202246_004_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202246_025_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202246_030_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
