path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.006.01.03.04_537313600.swc,pyramidal/swc/allen__H16.03.006.01.03.04_537313600.swc,pyramidal,allen,1189946,True,True,True,True,True,True,True,True,True,25936,1,12138,6343,7454,0,1,0,0,,1,1,0,25936,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.006.01.04.01_537204107.swc,pyramidal/swc/allen__H16.03.006.01.04.01_537204107.swc,pyramidal,allen,1187387,True,True,True,True,True,True,True,True,True,25937,1,15601,4882,5453,0,1,0,0,,1,1,0,25937,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.006.01.04.02_537261100.swc,pyramidal/swc/allen__H16.03.006.01.04.02_537261100.swc,pyramidal,allen,1438512,True,True,True,True,True,True,True,True,True,30565,1,17349,7287,5928,0,1,0,0,,1,1,0,30565,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.006.01.04.03_537297470.swc,pyramidal/swc/allen__H16.03.006.01.04.03_537297470.swc,pyramidal,allen,685004,True,True,True,False,True,True,True,True,True,15185,1,5354,4004,5826,0,5,0,0,,1,1,0,15185,False,fail: single_root
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.006.01.05.05_537313158.swc,pyramidal/swc/allen__H16.03.006.01.05.05_537313158.swc,pyramidal,allen,952799,True,True,True,False,True,True,True,True,True,20489,1,13901,916,5671,0,2,0,0,,1,1,0,20489,False,fail: single_root
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.006.01.09.02_537266147.swc,pyramidal/swc/allen__H16.03.006.01.09.02_537266147.swc,pyramidal,allen,1030795,True,True,True,True,True,True,True,True,True,22350,1,14344,3734,4271,0,1,0,0,,1,1,0,22350,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.007.01.01.03.02_541540569.swc,pyramidal/swc/allen__H16.03.007.01.01.03.02_541540569.swc,pyramidal,allen,929542,True,True,True,True,True,True,True,True,True,20291,1,13729,3064,3497,0,1,0,0,,1,1,0,20291,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.007.01.01.04.03_541545716.swc,pyramidal/swc/allen__H16.03.007.01.01.04.03_541545716.swc,pyramidal,allen,741762,True,True,True,True,True,True,True,True,True,16352,1,10477,3363,2511,0,1,0,0,,1,1,0,16352,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.007.01.01.08.07_541563728.swc,pyramidal/swc/allen__H16.03.007.01.01.08.07_541563728.swc,pyramidal,allen,474221,True,True,True,False,True,True,True,True,True,10650,1,3780,2624,4245,0,5,0,0,,1,1,0,10650,False,fail: single_root
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.008.11.11.02_542137330.swc,pyramidal/swc/allen__H16.03.008.11.11.02_542137330.swc,pyramidal,allen,365463,True,True,True,True,True,True,True,True,True,8238,1,3017,2385,2835,0,1,0,0,,1,1,0,8238,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.008.11.11.03_542143598.swc,pyramidal/swc/allen__H16.03.008.11.11.03_542143598.swc,pyramidal,allen,416305,True,True,True,True,True,True,True,True,True,9364,1,5703,1384,2276,0,1,0,0,,1,1,0,9364,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.010.13.05.03_545612828.swc,pyramidal/swc/allen__H16.03.010.13.05.03_545612828.swc,pyramidal,allen,1391429,True,True,True,False,True,True,True,True,True,30272,1,10978,10558,8735,0,11,0,0,,1,1,0,30272,False,fail: single_root
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.011.11.16.03_558211203.swc,pyramidal/swc/allen__H16.03.011.11.16.03_558211203.swc,pyramidal,allen,255832,True,True,True,False,True,True,True,True,True,5764,1,932,1548,3283,0,5,0,0,,1,1,0,5764,False,fail: single_root
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.06.004.01.03.05_508309649.swc,pyramidal/swc/allen__H16.06.004.01.03.05_508309649.swc,pyramidal,allen,1480442,True,True,True,False,True,True,True,True,True,31486,1,25291,2945,3249,0,46,0,0,,1,1,0,31486,False,fail: single_root
