file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__202243_013_edited.swc,pyramidal,37867,0.952782,0.524100,1.000000,1.000000,0.572200,0.000000,1,34882,2984,0
hpf_ca1__202244_005_edited.swc,pyramidal,16774,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13775,1446,1552
hpf_ca1__202244_007_edited.swc,pyramidal,12143,0.956683,0.658800,1.000000,0.976400,0.000000,1.000000,1,11398,0,744
hpf_ca1__202244_008_edited.swc,pyramidal,9690,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,6646,1034,2009
hpf_ca1__202244_016_edited.swc,pyramidal,2222,0.667867,0.500000,1.000000,1.000000,,0.000000,1,1483,738,0
hpf_ca1__202246_003_edited.swc,pyramidal,8855,1.000000,1.000000,1.000000,1.000000,1.000000,,1,7672,1182,0
hpf_ca1__202246_012_edited.swc,pyramidal,55209,1.000000,1.000000,1.000000,1.000000,1.000000,,1,52986,2222,0
hpf_ca1__202246_023_edited.swc,pyramidal,58077,1.000000,1.000000,1.000000,1.000000,1.000000,,1,55338,2738,0
hpf_ca1__202246_031_edited.swc,pyramidal,22284,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,19485,915,1883
hpf_ca1__202248_007_edited.swc,pyramidal,21312,1.000000,1.000000,1.000000,1.000000,1.000000,,1,19347,1964,0
hpf_ca1__202248_018_edited.swc,pyramidal,14799,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,10977,2011,1810
hpf_ca1__202248_019_edited.swc,pyramidal,8697,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,6799,716,1181
hpf_ca1__202248_024_edited.swc,pyramidal,24732,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,21178,1377,2176
hpf_ca1__202249_047_edited.swc,pyramidal,19943,1.000000,1.000000,1.000000,1.000000,1.000000,,1,18443,1499,0
hpf_ca1__202250_018_edited.swc,pyramidal,38028,1.000000,1.000000,1.000000,1.000000,1.000000,,1,35154,2873,0
hpf_ca1__202251_031_edited.swc,pyramidal,14983,1.000000,1.000000,1.000000,1.000000,1.000000,,1,13540,1442,0
