hidden,n_layers,dropout,n_params,fold,best_epoch,branch_macro_f1,branch_apical_f1,branch_basal_f1,cell_mean_macro_f1
32,2,0.0,5442,0,12,0.952887038415249,0.9516539440203562,0.9541201328101419,0.8615445075602256
32,2,0.0,5442,1,20,0.9572503656360738,0.9570570130441155,0.957443718228032,0.8624277269901586
32,2,0.0,5442,2,22,0.964098770233688,0.964550341420892,0.9636471990464839,0.8614207593209954
32,2,0.0,5442,3,27,0.9635354481510592,0.9648488577801707,0.9622220385219475,0.8627578605337195
32,2,0.0,5442,4,80,0.9597401549189108,0.9569550648681158,0.962525244969706,0.8512995107285434
32,2,0.2,5442,0,59,0.9584637973429566,0.9573316350899538,0.9595959595959596,0.8710576621593635
32,2,0.2,5442,1,51,0.9581266378118867,0.9581388564760793,0.9581144191476941,0.8612532714468643
32,2,0.2,5442,2,39,0.9653537101778036,0.9655575868372943,0.965149833518313,0.8574634881966486
32,2,0.2,5442,3,41,0.9607575154335819,0.9619489559164733,0.9595660749506904,0.8606749629565745
32,2,0.2,5442,4,61,0.959313650706489,0.9563266010702572,0.9623007003427209,0.8509215786245049
32,2,0.5,5442,0,34,0.9559782072215226,0.9546760293648261,0.957280385078219,0.8655432947389298
32,2,0.5,5442,1,34,0.9577618906418679,0.9577588093674765,0.9577649719162594,0.8613827428031471
32,2,0.5,5442,2,54,0.9650602485191662,0.9651836106428205,0.9649368863955119,0.8549147120998218
32,2,0.5,5442,3,42,0.9608273823556279,0.9621696586794052,0.9594851060318508,0.8644267394769232
32,2,0.5,5442,4,44,0.9520792064437414,0.9485763589301122,0.9555820539573707,0.838959659376107
32,3,0.0,7522,0,39,0.957221330332487,0.9560089257252151,0.958433734939759,0.8691561532803466
32,3,0.0,7522,1,23,0.9584866179739164,0.9580414423715066,0.9589317935763262,0.8563559347584196
32,3,0.0,7522,2,17,0.9632883087682194,0.9637959805557571,0.9627806369806817,0.861949400600235
32,3,0.0,7522,3,17,0.9635550497581354,0.9645599069406747,0.9625501925755962,0.8578757024919275
32,3,0.0,7522,4,31,0.9585352310796054,0.9556701030927836,0.9614003590664273,0.8446629626716232
32,3,0.2,7522,0,30,0.9578459545445392,0.9567361221568316,0.9589557869322469,0.8694770701090442
32,3,0.2,7522,1,21,0.9604605598430203,0.9603221083455344,0.960599011340506,0.863652836776291
32,3,0.2,7522,2,21,0.9657226771440393,0.9656999852789636,0.965745369009115,0.8543553405380271
32,3,0.2,7522,3,41,0.9639421382537283,0.965128838142262,0.9627554383651945,0.8601596545422502
32,3,0.2,7522,4,19,0.9592816844276078,0.9566407252202173,0.9619226436349981,0.8442386671339904
32,3,0.5,7522,0,26,0.9580785925059317,0.9569781312127237,0.9591790537991398,0.8690515227232815
32,3,0.5,7522,1,22,0.9601692026911655,0.960128523440923,0.960209881941408,0.8650425742638034
32,3,0.5,7522,2,21,0.9633680482285989,0.9635431918008784,0.9631929046563192,0.8571916141333363
32,3,0.5,7522,3,38,0.963404637116225,0.9642328372165511,0.9625764370158989,0.8558980895258604
32,3,0.5,7522,4,33,0.9609553911265005,0.9583261876179043,0.9635845946350966,0.8454961156151467
64,2,0.0,14978,0,13,0.9550357777405957,0.9535107406219943,0.9565608148591971,0.8587611922005114
64,2,0.0,14978,1,33,0.959653953848112,0.9592212963645749,0.9600866113316492,0.8572090703191478
64,2,0.0,14978,2,25,0.9613081892970394,0.9611004289306315,0.9615159496634474,0.8476250629561534
64,2,0.0,14978,3,20,0.9609185360825623,0.962080173347779,0.9597568988173456,0.8580090530911796
64,2,0.0,14978,4,55,0.9584812846530153,0.955247181266262,0.9617153880397685,0.840347756719775
64,2,0.2,14978,0,13,0.954653042917383,0.9531887653036729,0.956117320531093,0.8584448917184583
64,2,0.2,14978,1,36,0.9602406656161937,0.9599941275783601,0.9604872036540274,0.8573534628000751
64,2,0.2,14978,2,25,0.9615297869246611,0.9614448949502395,0.9616146788990826,0.8476988605249104
