seed,ablation,ablation_label,file,cell_type_gt,stage1_pred,stage1_conf,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H16.06.008.01.25.03_527941296.swc,pyramidal,pyramidal,0.975264,7342,0.951920,0.653100,1.000000,0.000000,0.959300,1.000000,1,0,4513,2828
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,,,7487,0.668492,0.521200,1.000000,0.152900,0.527000,0.883700,1,1412,2093,3981
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,,,7487,0.668492,0.521200,1.000000,0.152900,0.527000,0.883700,1,1412,2093,3981
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,,,7487,0.560438,0.383100,1.000000,0.000000,0.363300,0.786000,1,0,4230,3256
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,,,7487,0.560438,0.383100,1.000000,0.000000,0.363300,0.786000,1,0,4230,3256
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,pyramidal,0.977750,7487,0.560438,0.383100,1.000000,0.000000,0.363300,0.786000,1,0,4230,3256
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,,,11792,0.981004,0.981600,1.000000,0.981900,1.000000,0.962900,1,6288,2595,2908
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,,,11792,0.961499,0.953800,1.000000,0.981900,0.957600,0.921900,1,6288,2825,2678
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,,,11792,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,6064,2595,3132
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,,,11792,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,6064,2595,3132
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,pyramidal,0.913644,11792,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,6064,2595,3132
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,,,9458,0.966378,0.655200,1.000000,0.000000,0.984600,0.981100,1,255,4819,4383
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,,,9458,0.966378,0.655200,1.000000,0.000000,0.984600,0.981100,1,255,4819,4383
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,,,9458,0.993339,0.664500,1.000000,0.000000,0.993500,1.000000,1,0,4905,4552
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,,,9458,0.993339,0.664500,1.000000,0.000000,0.993500,1.000000,1,0,4905,4552
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,pyramidal,0.987489,9458,0.993339,0.664500,1.000000,0.000000,0.993500,1.000000,1,0,4905,4552
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H16.06.012.11.06.01_548408551.swc,pyramidal,,,15940,0.908469,0.909600,1.000000,0.905900,0.919600,0.903200,1,8486,3511,3942
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H16.06.012.11.06.01_548408551.swc,pyramidal,,,15940,0.907528,0.908300,1.000000,0.905900,0.917800,0.901300,1,8486,3526,3927
