row_id,model_seed,file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
seed789:neuromorpho__hippo-521-6.swc,789,neuromorpho__hippo-521-6.swc,79,pyramidal,0.992684,0,78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998369,0.000184696,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,18,0.99844,0.998348,0.998348,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,24.24,-1.29833,6.53213,60.21,100.23,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-521-7.swc,789,neuromorpho__hippo-521-7.swc,147,pyramidal,0.955602,0,146,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998359,0.000135799,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,41,0.998388,0.998348,0.998348,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,41.18,0.567397,12.2932,82.88,149.17,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-539-2.swc,789,neuromorpho__hippo-539-2.swc,114,pyramidal,0.995569,0,113,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998362,0.000154053,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,25,0.998414,0.998348,0.998348,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,47.24,13.0857,12.7576,111.04,116.04,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-557-2.swc,789,neuromorpho__hippo-557-2.swc,132,pyramidal,0.996638,0,131,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99836,0.000143251,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,42,0.998387,0.998348,0.998348,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,43.31,3.17656,9.91575,116.09,205.98,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-570-2.swc,789,neuromorpho__hippo-570-2.swc,127,pyramidal,0.997805,0,126,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998361,0.000146022,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,40,0.998389,0.998348,0.998348,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,37.86,5.36849,11.9391,109.33,155.98,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-570-3.swc,789,neuromorpho__hippo-570-3.swc,56,pyramidal,0.995233,0,55,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998377,0.000218791,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,21,0.998427,0.998348,0.998348,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.74,-5.66873,6.91974,46.57,108.22,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-570-6.swc,789,neuromorpho__hippo-570-6.swc,79,pyramidal,0.995163,0,78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998369,0.000184696,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,18,0.99844,0.998348,0.998348,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-5.25641,3.97891,96.06,166.93,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-858-3.swc,789,neuromorpho__hippo-858-3.swc,63,pyramidal,0.997173,0,62,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998374,0.000206487,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,20,0.998431,0.998348,0.998348,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09,-0.0193548,7.56288,68.43,119.05,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-858-4.swc,789,neuromorpho__hippo-858-4.swc,143,pyramidal,0.99728,0,142,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998359,0.000137672,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,40,0.998389,0.998348,0.998348,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,41.21,-1.79465,10.2527,148.31,236.76,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo-99-3.swc,789,neuromorpho__hippo-99-3.swc,80,pyramidal,0.997034,0,79,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998369,0.000183553,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,25,0.998414,0.998348,0.998348,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,26.97,-5.31734,8.37649,77.09,227.56,0.0,0.0,0.0,0.0,0.0
