name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__25-11-14-A-A5.swc,14077,interneuron,True,1.0,1.0,1.0,0,3082,10994
neuromorpho__25-11-14-A-A6.swc,2885,pyramidal,False,0.2971,0.5314,0.4229,0,2727,157
neuromorpho__25-11-14-A-B2.swc,2826,pyramidal,False,0.3255,0.5503,0.4827,0,2633,192
neuromorpho__25-11-14-B2.swc,10059,interneuron,True,1.0,1.0,1.0,0,2601,7457
neuromorpho__26-11-14-A-A4b.swc,30568,interneuron,True,0.8934,0.929,0.9346,0,4922,25645
neuromorpho__26-11-14-A-A6.swc,10306,pyramidal,False,0.8684,0.9122,0.7146,0,7056,3249
neuromorpho__26-2-15-A.swc,6919,interneuron,True,1.0,1.0,1.0,0,1289,5629
neuromorpho__26-2-15-C.swc,16762,interneuron,True,1.0,1.0,1.0,0,1110,15651
neuromorpho__261015c2.swc,1506,pyramidal,False,0.3329,0.5553,0.4993,0,837,668
neuromorpho__27-11-14-B.swc,5424,pyramidal,False,0.258,0.5054,0.3479,0,3562,1861
neuromorpho__281015c1.swc,1685,pyramidal,False,0.2754,0.5169,0.2404,0,1063,621
neuromorpho__31-07-15-B.swc,15607,interneuron,True,0.9388,0.9592,0.9864,0,815,14791
neuromorpho__35_7.swc,345,interneuron,True,0.4945,0.7473,0.3304,0,344,0
neuromorpho__44_2.swc,461,interneuron,True,0.3774,0.6887,0.2343,0,460,0
neuromorpho__5-27-11cell1-nonFS-BC.swc,6376,pyramidal,False,0.2457,0.4972,0.3259,0,4263,2112
neuromorpho__5Ht3aCre-SABI-010518S1-v1.swc,7198,interneuron,True,0.9921,0.9947,0.9928,0,2568,4629
neuromorpho__5Ht3aCre-SABI-010518S2D-v1.swc,5217,pyramidal,False,1.0,1.0,1.0,0,2125,3091
neuromorpho__5Ht3aCre-SABI-010518S2V-v1.swc,18480,interneuron,True,0.987,0.9914,0.994,0,2417,16062
