name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__Cell-8.swc,841,pyramidal,False,1.0,1.0,1.0,0,613,227
neuromorpho__cell-8_9.swc,1931,interneuron,True,0.775,0.8875,0.6328,0,1930,0
neuromorpho__Cell-9.swc,382,pyramidal,False,0.3509,0.5673,0.5419,0,289,92
neuromorpho__cell-9_9.swc,1254,interneuron,True,0.865,0.9325,0.7624,0,1253,0
neuromorpho__cell-pair-20111014sc2a.swc,2801,pyramidal,False,0.2519,0.5012,0.2174,0,773,2027
neuromorpho__cell-pair-20111014sc2b.swc,3341,pyramidal,False,0.2457,0.4971,0.1706,0,569,2771
neuromorpho__cell-pair-22-09-11-A1.swc,2153,interneuron,True,0.0992,0.3995,0.1105,0,237,1915
neuromorpho__cell-pair-22-09-11-A2.swc,4730,pyramidal,False,0.6571,0.7714,0.9628,0,220,4509
neuromorpho__cell-pair-22-09-11-D1.swc,5120,pyramidal,False,0.9819,0.988,0.9957,0,336,4783
neuromorpho__cell-pair-22-09-11-D2.swc,3512,interneuron,True,0.0914,0.3942,0.1008,0,353,3158
neuromorpho__Cell1_hippocampus_singlecell.swc,461,interneuron,True,1.0,1.0,1.0,0,304,156
neuromorpho__Cell2_Hippocampus_singlecell.swc,444,interneuron,True,0.5349,0.6899,0.536,0,321,122
neuromorpho__Cell2_Subiculum_singlecell.swc,220,interneuron,True,0.789,0.8593,0.7909,0,140,79
neuromorpho__Cell3_Hippocampus_singlecell.swc,449,interneuron,True,1.0,1.0,1.0,0,279,169
neuromorpho__Cell3_Subiculum_singlecell.swc,343,interneuron,True,0.5077,0.6718,0.5248,0,222,120
neuromorpho__Cell4_Hippocampus_singlecell.swc,573,interneuron,True,0.8214,0.8809,0.8237,0,367,205
neuromorpho__Cell4_Subiculum_singlecell.swc,380,interneuron,True,0.4192,0.6128,0.4526,0,249,130
neuromorpho__cell5-01-11-D.swc,11267,interneuron,True,0.9755,0.9836,0.9962,0,435,10831
neuromorpho__Cell5_Hippocampus_singlecell.swc,446,interneuron,True,0.6133,0.7422,0.6143,0,304,141
neuromorpho__Cell5_Subiculum_singlecell.swc,347,interneuron,True,0.6226,0.7484,0.6571,0,274,72
neuromorpho__Cell6_Hippocampus_singlecell.swc,345,interneuron,True,0.5895,0.7263,0.5971,0,220,124
