file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
neuromorpho__ADP16_2099_biocytin.swc,3876,interneuron,0.966834,0,3875,0,0,0,0,0,0,0,0,0,0,0,0.712671,0.305779,0.3,0.3,0.3,0.3,0.759067,0.332559,0.332559,0.332559,0.558308,0.558308,0,0,0,0.712597,0.3,0.332645,0,0,0,10,0.931981,0.3,0.773752,0.1,0.1,1265.1,0,0,0,0,0,0,30.97,-0.361812,7.95335,160.04,314.36,0,0,0,0,0
neuromorpho__ADP17_2083_biocytin.swc,2545,interneuron,0.975771,0,2544,0,0,0,0,0,0,0,0,0,0,0,0.697979,0.335581,0.3,0.3,0.3,0.3,0.971335,0.415324,0.415324,0.415324,0.415324,0.415324,0,0,0,0.697861,0.3,0.415487,0,0,0,7,0.707369,0.3,0.3,0.428571,0.428571,715.6,0,0,0,0,0,0,17,4.56958,4.69714,208.38,397.18,0,0,0,0,0
neuromorpho__ADP2_191018c1_neurobiotin.swc,4468,interneuron,0.934395,0,4467,0,0,0,0,0,0,0,0,0,0,0,0.849929,0.283232,0.3,0.3,0.3,0.971335,0.999666,0.20949,0.20949,0.20949,0.20949,0.20949,0,0,0,0.849896,0.3,0.209537,0,0,0,29,0.931905,0.3,0.789404,0.103448,0.103448,432.4,0,0,0,0,0,0,53.26,-15.4817,13.5579,379.93,498.06,0,0,0,0,0
neuromorpho__ADP3_191018c2_neurobiotin.swc,4457,interneuron,0.967507,0,4456,0,0,0,0,0,0,0,0,0,0,0,0.585148,0.318157,0.3,0.3,0.3,0.3,0.3,0.539601,0.539601,0.539601,0.693291,0.693291,0,0,0,0.585055,0.3,0.539722,0,0,0,20,0.619238,0.3,0.3,0.55,0.55,753.2,0,0,0,0,0,0,32.5,-0.256732,7.55469,254.47,443.15,0,0,0,0,0
neuromorpho__ADP4_191018c3_neurobiotin.swc,821,interneuron,0.881596,0,820,0,0,0,0,0,0,0,0,0,0,0,0.999667,1.16463e-05,0.999666,0.999666,0.999666,0.999666,0.999666,0,0,0,0,0,0,0,0,0.999666,0.999666,0,0,0,0,11,0.999696,0.999666,0.999666,0,0,176,0.342128,0,0,0,0,0,50.9,-5.29075,10.9159,74.89,204.46,0,0,0,0,0
neuromorpho__ADP7_241018c1_neurobiotin.swc,261,interneuron,0.980404,0,260,0,0,0,0,0,0,0,0,0,0,0,0.999667,2.06286e-05,0.999666,0.999666,0.999666,0.999666,0.999666,0,0,0,0,0,0,0,0,0.999666,0.999666,0,0,0,0,5,0.999733,0.999666,0.999666,0,0,132.8,0,0,0,0,0,0,22,0.0365385,5.02356,9.93,52.3,0,0,0,0,0
neuromorpho__AIZR.swc,22,interneuron,0.976676,21,0,0,0,0,0,0,0,0,0,0,0,0,0.973768,0.00572424,0.972519,0.972519,0.972519,0.972519,0.972519,0,0,0,0,0,0.972519,0.972519,0,0,0,0,0,0,0,2,0.98626,0.972519,0.975267,0,0,19,0,7.62,-1.62905,1.76456,27.85,16.01,0,0,0,0,0,0,0,0,0,0
neuromorpho__APPKO-set1-006.swc,1006,pyramidal,0.992476,0,1005,0,0,0,0,0,0,0,0,0,0,0,0.987715,0.000387504,0.987703,0.987703,0.987703,0.987703,0.987703,0,0,0,0,0,0,0,0,0.987703,0.987703,0,0,0,0,59,0.987912,0.987703,0.987703,0,0,33.2,0,0,0,0,0,0,0,0,0,220.17,268.68,0,0,0,0,0
neuromorpho__APPKO-set2-006.swc,734,pyramidal,0.99397,0,733,0,0,0,0,0,0,0,0,0,0,0,0.98772,0.000453573,0.987703,0.987703,0.987703,0.987703,0.987703,0,0,0,0,0,0,0,0,0.987703,0.987703,0,0,0,0,57,0.987919,0.987703,0.987703,0,0,24.8,0,0,0,0,0,0,0,0,0,165.64,210.45,0,0,0,0,0
neuromorpho__APPKO-set2-008.swc,929,pyramidal,0.994343,0,928,0,0,0,0,0,0,0,0,0,0,0,0.987716,0.000403227,0.987703,0.987703,0.987703,0.987703,0.987703,0,0,0,0,0,0,0,0,0.987703,0.987703,0,0,0,0,75,0.987867,0.987703,0.987703,0,0,20.6,0,0,0,0,0,0,0,0,0,219.33,228.51,0,0,0,0,0
neuromorpho__APPKO-set3-003.swc,623,pyramidal,0.988773,0,622,0,0,0,0,0,0,0,0,0,0,0,0.987723,0.000492264,0.987703,0.987703,0.987703,0.987703,0.987703,0,0,0,0,0,0,0,0,0.987703,0.987703,0,0,0,0,26,0.988176,0.987703,0.987703,0,0,43,0,0,0,0,0,0,0,0,0,213.86,194.91,0,0,0,0,0
neuromorpho__APPKO-set3-004.swc,1093,pyramidal,0.994635,0,1092,0,0,0,0,0,0,0,0,0,0,0,0.987714,0.000371777,0.987703,0.987703,0.987703,0.987703,0.987703,0,0,0,0,0,0,0,0,0.987703,0.987703,0,0,0,0,53,0.987935,0.987703,0.987703,0,0,42.6,0,0,0,0,0,0,0,0,0,278.97,337.18,0,0,0,0,0
