row_id,model_seed,file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source,bad_f060,categories,n_categories,flag_score,flagged,flag_selected_model,flag_selected_feature_set,in_bottom_slice
seed123:allen__Chat-IRES-Cre-neo_Ai14-307622.05.02.01_575774870.swc,123,allen__Chat-IRES-Cre-neo_Ai14-307622.05.02.01_575774870.swc,interneuron,7562,v12_gentle_seed123,0.9999,0.9999,0.9999,0.9998,,interneuron,0.9923,True,1,40.32,,,0.0,0.631,0.0,0.369,4769,2792,0,0.95,allen,False,,0,0.0024892534735805,False,hgb,full,False
seed123:allen__Chat-IRES-Cre-neo_Ai14-313182.05.02.01_583146274.swc,123,allen__Chat-IRES-Cre-neo_Ai14-313182.05.02.01_583146274.swc,interneuron,3445,v12_gentle_seed123,0.3771,0.6055,0.0,0.7542,,interneuron,0.8629,True,1,10.08,,,0.0,0.394,0.0,0.605,0,3444,0,0.51,allen,True,AXON_DENDRITE_CONFUSION,1,0.825564457193536,True,hgb,full,True
seed123:allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,123,allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,interneuron,4879,v12_gentle_seed123,0.8859,0.8869,0.8963,0.8755,,interneuron,0.9955,True,1,17.08,,,0.0,0.489,0.0,0.511,2937,1941,0,0.73,allen,False,AXON_DENDRITE_CONFUSION,1,0.3638395241098496,False,hgb,full,False
seed123:allen__Gad2-IRES-Cre_Ai14-324791.03.02.02_593321019.swc,123,allen__Gad2-IRES-Cre_Ai14-324791.03.02.02_593321019.swc,interneuron,9202,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9968,True,1,18.55,,,0.0,0.9,0.0,0.099,8286,915,0,1.02,allen,False,,0,0.0015065775452748,False,hgb,full,False
seed123:allen__H16.03.002.01.06.01_520454345.swc,123,allen__H16.03.002.01.06.01_520454345.swc,pyramidal,10817,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9808,True,1,27.6,39.0,11.39,81.76,0.213,0.406,0.381,2303,4125,4388,2.06,allen,False,,0,0.0020740924977077,False,hgb,full,False
seed123:allen__H16.03.006.01.09.02_537266147.swc,123,allen__H16.03.006.01.09.02_537266147.swc,pyramidal,22350,v12_gentle_seed123,0.5454,0.8089,1.0,0.6362,0.0,interneuron,0.9034,False,1,36.4,40.59,4.19,102.95,0.642,0.191,0.167,14344,8005,0,1.2,allen,True,WHOLE_CELL_MISLABEL|APICAL_MISSED|APICAL_UNDERPREDICTED|STAGE1_PROPAGATION,4,0.4159531113251135,False,hgb,full,True
seed123:allen__H16.03.007.01.01.03.02_541540569.swc,123,allen__H16.03.007.01.01.03.02_541540569.swc,pyramidal,20291,v12_gentle_seed123,0.9174,0.9475,0.9627,0.7897,1.0,pyramidal,0.8667,True,1,26.36,35.92,9.56,81.89,0.677,0.172,0.151,14794,1999,3497,3.22,allen,False,,0,0.0033954121595199,False,hgb,full,False
seed123:allen__H16.06.004.01.04.03_508282493.swc,123,allen__H16.06.004.01.04.03_508282493.swc,pyramidal,10880,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.8786,True,1,58.99,98.88,39.89,146.53,0.517,0.26,0.222,5630,2418,2831,1.71,allen,False,,0,0.0034086257079362,False,hgb,full,False
seed123:allen__H16.06.008.01.25.03_527941296.swc,123,allen__H16.06.008.01.25.03_527941296.swc,pyramidal,7342,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9753,True,1,86.68,79.44,-7.24,142.76,0.048,0.385,0.567,353,4160,2828,1.39,allen,False,APICAL_INVERTED,1,0.0399639330199124,False,hgb,full,False
seed123:allen__H16.06.009.01.02.03.01_528636794.swc,123,allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,7487,v12_gentle_seed123,0.7668,0.7632,1.0,0.5144,0.786,pyramidal,0.9778,True,1,45.06,67.7,22.64,146.3,0.203,0.672,0.125,1518,2712,3256,1.52,allen,False,,0,0.0358896118353529,False,hgb,full,False
seed123:allen__H16.06.010.01.01.10.01_529889679.swc,123,allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,11792,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9136,True,1,43.96,77.06,33.1,133.82,0.514,0.266,0.22,6064,2595,3132,1.99,allen,False,,0,0.0088981302538983,False,hgb,full,False
seed123:allen__H16.06.010.01.03.04.01_529807751.swc,123,allen__H16.06.010.01.03.04.01_529807751.swc,interneuron,42945,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9953,True,1,30.87,,,0.0,0.896,0.0,0.104,38458,4486,0,3.15,allen,False,,0,0.0015153903773394,False,hgb,full,False
seed123:allen__H16.06.011.01.01.05.03_539653924.swc,123,allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,9458,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9875,True,1,41.92,87.69,45.77,123.76,0.007,0.481,0.512,63,4842,4552,1.57,allen,False,,0,0.0327599331154601,False,hgb,full,False
seed123:allen__H16.06.012.11.06.01_548408551.swc,123,allen__H16.06.012.11.06.01_548408551.swc,pyramidal,15940,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.983,True,1,26.6,43.67,17.07,141.01,0.441,0.3,0.259,7027,4125,4787,2.3,allen,False,,0,0.0091450513825485,False,hgb,full,False
seed123:allen__H16.06.012.11.08.03_548440226.swc,123,allen__H16.06.012.11.08.03_548440226.swc,pyramidal,29702,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9763,True,1,37.09,37.52,0.42,106.48,0.617,0.157,0.226,18319,6709,4673,3.85,allen,False,,0,0.0394185178106032,False,hgb,full,False
seed123:allen__H17.03.002.11.06.03_569821470.swc,123,allen__H17.03.002.11.06.03_569821470.swc,pyramidal,20269,v12_gentle_seed123,0.6013,0.9266,1.0,0.8038,0.0,interneuron,0.8724,False,1,35.56,47.42,11.86,105.49,0.776,0.073,0.15,15732,4536,0,1.21,allen,False,WHOLE_CELL_MISLABEL|APICAL_MISSED|APICAL_UNDERPREDICTED|STAGE1_PROPAGATION,4,0.1336552918128217,False,hgb,full,True
seed123:allen__H17.03.009.11.11.06_613442532.swc,123,allen__H17.03.009.11.11.06_613442532.swc,pyramidal,4357,v12_gentle_seed123,0.8237,0.7751,1.0,0.6368,0.8345,pyramidal,0.9228,True,1,11.81,41.5,29.69,131.01,0.011,0.792,0.197,47,1839,2470,1.03,allen,False,,0,0.0197582085060867,False,hgb,full,False
seed123:allen__H17.06.005.12.12.03_571525618.swc,123,allen__H17.06.005.12.12.03_571525618.swc,interneuron,8146,v12_gentle_seed123,0.9199,0.9482,0.9675,0.8724,,interneuron,0.7056,True,1,22.4,,,0.0,0.771,0.0,0.229,6703,1442,0,0.61,allen,False,,0,0.0286559685504856,False,hgb,full,False
seed123:allen__H17.06.009.11.04.03_596028822.swc,123,allen__H17.06.009.11.04.03_596028822.swc,interneuron,7561,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.4403,True,1,15.81,,,0.0,0.914,0.0,0.086,6908,652,0,0.69,allen,False,,0,0.0492474680027569,False,hgb,full,False
seed123:allen__H17.06.009.11.04.04_596036453.swc,123,allen__H17.06.009.11.04.04_596036453.swc,interneuron,8523,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9952,True,1,30.52,,,0.0,0.788,0.0,0.212,6716,1806,0,1.09,allen,False,,0,0.0019096777732645,False,hgb,full,False
seed123:allen__H17.06.013.12.03.01_643572206.swc,123,allen__H17.06.013.12.03.01_643572206.swc,interneuron,4016,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.8531,True,1,24.08,,,0.0,0.851,0.0,0.149,3417,598,0,0.37,allen,False,,0,0.0167697267659061,False,hgb,full,False
seed123:allen__H17.06.013.12.03.02_643575207.swc,123,allen__H17.06.013.12.03.02_643575207.swc,interneuron,17642,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.8605,True,1,28.84,,,0.0,0.807,0.0,0.193,14234,3407,0,1.14,allen,False,,0,0.038136382087311,False,hgb,full,False
seed123:allen__Htr3a-Cre_NO152_Ai14-288785.03.02.01_561985849.swc,123,allen__Htr3a-Cre_NO152_Ai14-288785.03.02.01_561985849.swc,interneuron,14318,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9947,True,1,21.89,,,0.0,0.801,0.0,0.199,11469,2848,0,1.43,allen,False,,0,0.0013484862872328,False,hgb,full,False
seed123:allen__Ndnf-IRES2-dgCre_Ai14-292673.05.01.01_564346637.swc,123,allen__Ndnf-IRES2-dgCre_Ai14-292673.05.01.01_564346637.swc,interneuron,19022,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9954,True,1,15.96,,,0.0,0.868,0.0,0.132,16503,2518,0,1.89,allen,False,,0,0.0019191021326311,False,hgb,full,False
seed123:allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-294491.03.01.01_566541912.swc,123,allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-294491.03.01.01_566541912.swc,interneuron,15864,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9913,True,1,15.68,,,0.0,0.938,0.0,0.062,14882,981,0,1.5,allen,False,,0,0.0039358752745762,False,hgb,full,False
seed123:allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271577.05.02.01_547262585.swc,123,allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271577.05.02.01_547262585.swc,interneuron,12546,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9941,True,1,12.04,,,0.0,0.849,0.0,0.151,10647,1898,0,1.24,allen,False,,0,0.0160012404946844,False,hgb,full,False
seed123:allen__Oxtr-2A-Cre_Ai14-293839.02.02.02_565415071.swc,123,allen__Oxtr-2A-Cre_Ai14-293839.02.02.02_565415071.swc,interneuron,20203,v12_gentle_seed123,0.9883,0.9956,0.9975,0.9791,,interneuron,0.9956,True,1,16.32,,,0.0,0.892,0.0,0.108,18118,2084,0,1.87,allen,False,,0,0.0020771215991807,False,hgb,full,False
seed123:allen__Oxtr-2A-Cre_Ai14-293839.06.01.01_565417112.swc,123,allen__Oxtr-2A-Cre_Ai14-293839.06.01.01_565417112.swc,interneuron,17268,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9638,True,1,14.0,,,0.0,0.91,0.0,0.09,15710,1557,0,2.23,allen,False,,0,0.0063731826762428,False,hgb,full,False
seed123:allen__Oxtr-2A-Cre_Ai14-293841.05.02.01_565462089.swc,123,allen__Oxtr-2A-Cre_Ai14-293841.05.02.01_565462089.swc,interneuron,16822,v12_gentle_seed123,0.9998,0.9999,1.0,0.9997,,interneuron,0.9938,True,1,19.6,,,0.0,0.89,0.0,0.11,14966,1855,0,1.8,allen,False,,0,0.0062959996182807,False,hgb,full,False
seed123:allen__Oxtr-T2A-Cre_Ai14-314785.03.01.02_584231995.swc,123,allen__Oxtr-T2A-Cre_Ai14-314785.03.01.02_584231995.swc,interneuron,8969,v12_gentle_seed123,0.9595,0.9701,0.9802,0.9387,,interneuron,0.9811,True,1,15.16,,,0.0,0.741,0.0,0.259,6915,2053,0,0.76,allen,False,,0,0.0432876929179241,False,hgb,full,False
seed123:allen__Pvalb-IRES-Cre_Ai14-305768.04.02.01_574992320.swc,123,allen__Pvalb-IRES-Cre_Ai14-305768.04.02.01_574992320.swc,interneuron,15264,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9958,True,1,27.44,,,0.0,0.849,0.0,0.151,12964,2299,0,1.67,allen,False,,0,0.001257539816054,False,hgb,full,False
seed123:allen__Sst-IRES-Cre_Ai14-306888.04.02.01_575642695.swc,123,allen__Sst-IRES-Cre_Ai14-306888.04.02.01_575642695.swc,interneuron,10066,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.989,True,1,28.28,,,0.0,0.77,0.0,0.23,7748,2317,0,0.94,allen,False,,0,0.0064984152432885,False,hgb,full,False
