method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202246_024_edited.swc,pyramidal,61272,0.9137,0.7116
neurom_rf,hpf_ca1__202246_025_edited.swc,pyramidal,31673,0.9637,0.8539
neurom_rf,hpf_ca1__202248_016_edited.swc,pyramidal,14839,0.9836,0.9489
neurom_rf,hpf_ca1__202248_022_edited.swc,pyramidal,13308,0.9597,0.8949
neurom_rf,hpf_ca1__202248_024_edited.swc,pyramidal,24732,0.9582,0.8595
neurom_rf,hpf_ca1__202249_008_edited.swc,pyramidal,24715,0.9735,0.8631
neurom_rf,hpf_ca1__202250_004_edited.swc,pyramidal,30531,0.9789,0.8881
neurom_rf,hpf_ca1__202252_002_edited.swc,pyramidal,25003,0.7933,0.5011
neurom_rf,hpf_ca1__202252_010_edited.swc,pyramidal,11173,0.9355,0.8469
neurom_rf,hpf_ca1__202258_033_edited.swc,pyramidal,32563,0.9479,0.7434
neurom_rf,hpf_ca1__202259_054_edited.swc,pyramidal,26126,0.9812,0.8603
neurom_rf,hpf_ca1__202259_063_edited.swc,pyramidal,85190,0.9791,0.8012
neurom_rf,hpf_ca1__202259_070_edited.swc,pyramidal,55269,0.9843,0.8834
neurom_rf,hpf_ca1__202259_079_edited.swc,pyramidal,54665,0.9795,0.7492
neurom_rf,hpf_ca1__202259_108_edited.swc,pyramidal,37319,0.9784,0.8769
neurom_rf,hpf_ca1__202261_006_edited.swc,pyramidal,48601,0.9814,0.8719
neurom_rf,hpf_ca1__202261_023_edited.swc,pyramidal,38659,0.9772,0.8121
neurom_rf,hpf_ca1__202261_116_edited.swc,pyramidal,27094,0.8449,0.7049
neurom_rf,hpf_ca1__202264_036_edited.swc,pyramidal,45110,0.9859,0.9157
neurom_rf,hpf_ca1__202266_009_edited.swc,pyramidal,37480,0.9884,0.9371
neurom_rf,hpf_ca1__202271_141_edited.swc,pyramidal,64088,0.8758,0.6893
neurom_rf,hpf_ca1__202271_146_edited.swc,pyramidal,15617,0.9771,0.9283
neurom_rf,hpf_ca1__202271_179_edited.swc,pyramidal,22142,0.7928,0.7545
neurom_rf,hpf_ca1__202272_102_edited.swc,pyramidal,43119,0.9919,0.9581
neurom_rf,hpf_ca1__202273_055_edited.swc,pyramidal,41730,0.9570,0.7444
neurom_rf,hpf_ca1__202274_087_edited.swc,pyramidal,20785,0.9671,0.8758
neurom_rf,hpf_ca1__202274_093_edited.swc,pyramidal,35235,0.9936,0.9626
