precision,recall,threshold
0.07518154634771465,1.0,0.0004902775568827
0.07519225291939619,1.0,0.0006048685419821
0.07520296254094859,1.0,0.0006201199720869
0.07521367521367521,1.0,0.0006543329728585
0.07522439093888018,1.0,0.0006904301420082
0.07523510971786834,1.0,0.0007041989882971
0.07524583155194528,1.0,0.000722917814491
0.07525655644241733,1.0,0.0008099879245184
0.07526728439059159,1.0,0.0008438993887193
0.07527801539777587,1.0,0.0008737182185635
0.07528874946527876,1.0,0.0008792358101548
0.07529948659440959,1.0,0.0009074244330966
0.07531022678647839,1.0,0.0009121876696537
0.075320970042796,1.0,0.0009201934018602
0.07533171636467399,1.0,0.000927917318896
0.07534246575342465,1.0,0.0009343725193495
0.07535321821036106,1.0,0.0009666418939463
0.07536397373679703,1.0,0.000974495958235
0.07537473233404711,1.0,0.0009854732932992
0.07538549400342662,1.0,0.0009904071224387
0.07539625874625161,1.0,0.0010181686886105
0.07542857142857143,1.0,0.0010200689930253
0.07543934847835405,1.0,0.0010242637440597
0.07545012860817377,1.0,0.0010309837408252
0.07546091181935115,1.0,0.0010499570559976
0.07547169811320754,1.0,0.0010515238171389
0.07548248749106505,1.0,0.0010587453069969
0.0754932799542465,1.0,0.0010800022793159
0.07550407550407551,1.0,0.0011241337615506
0.07551487414187644,1.0,0.0011264448015952
0.07552567586897439,1.0,0.0011332136725689
0.07553648068669527,1.0,0.0011353553806592
0.07554728859636571,1.0,0.0011467326379426
0.0755580995993131,1.0,0.0011515258387373
0.07556891369686561,1.0,0.0011652860997515
0.07557973089035214,1.0,0.0011872839666688
0.07559055118110236,1.0,0.0012080416235247
0.07560137457044673,1.0,0.0012287767698933
0.07561220105971646,1.0,0.0012424095007122
0.07562303065024348,1.0,0.0012560932444895
0.07563386334336054,1.0,0.001257539816054
0.07564469914040114,1.0,0.0013140655004348
0.07565553804269953,1.0,0.0013228134669136
0.07566638005159071,1.0,0.0013320779938305
0.0756772251684105,1.0,0.0013484862872328
0.07568807339449542,1.0,0.0013561043298639
0.0756989247311828,1.0,0.0013729854417051
0.07570977917981073,1.0,0.0013919400351624
0.07572063674171806,1.0,0.0013931760351274
0.07574236121073016,1.0,0.0014033568021104
0.0757532281205165,1.0,0.0014064684203568
0.07576409814894533,1.0,0.0014104952215721
0.07577497129735936,1.0,0.0014122570770577
0.07578584756710205,1.0,0.0014151958755889
0.07579672695951765,1.0,0.0014176920582777
0.07580760947595118,1.0,0.0014209376012992
0.07581849511774842,1.0,0.0014334838071328
0.07582938388625593,1.0,0.0014674917331445
0.07584027578282103,1.0,0.0014752995554181
0.07585117080879183,1.0,0.0014806451259098
0.07586206896551724,1.0,0.0014864447068027
0.07587297025434689,1.0,0.0014926576870187
0.07588387467663121,1.0,0.0014938783068872
0.07589478223372143,1.0,0.0014966658516751
0.07590569292696953,1.0,0.0014993476818196
0.07591660675772825,1.0,0.0014998992013087
0.07592752372735116,1.0,0.0015065775452748
0.07593844383719257,1.0,0.0015099704897052
0.0759493670886076,1.0,0.0015152258340184
0.0759602934829521,1.0,0.0015153903773394
0.07597122302158274,1.0,0.0015673693935922
0.07598215570585695,1.0,0.0015764024880237
0.07599309153713299,1.0,0.0015785495965628
0.07600403051676984,1.0,0.0015840834935471
0.07601497264612726,1.0,0.0015843505136876
0.07602591792656588,1.0,0.0016021687811433
0.07603686635944701,1.0,0.0016105555576825
0.0760478179461328,1.0,0.0016274233211319
0.07605877268798616,1.0,0.0016345328683448
0.07606973058637084,1.0,0.0016388876658129
0.0760806916426513,1.0,0.0016397030922812
0.07609165585819282,1.0,0.0016446143992886
0.07610262323436148,1.0,0.0016469880225972
0.07611359377252415,1.0,0.0016517585506292
0.07612456747404844,1.0,0.0016615681509976
0.07613554434030281,1.0,0.0016748032107243
0.07614652437265648,1.0,0.0016844595056399
0.07615750757247945,1.0,0.0016849393373297
0.07616849394114253,1.0,0.0016966509448645
0.07617948348001731,1.0,0.0017021676704816
0.0761904761904762,1.0,0.0017039103219347
0.07621247113163972,1.0,0.0017064465938602
0.07622347336509311,1.0,0.001712114432603
0.07623447877562807,1.0,0.0017288952418403
0.07624548736462095,1.0,0.0017298782127892
0.07625649913344887,1.0,0.0017337725468834
0.07626751408348982,1.0,0.0017427593672271
0.0762785322161225,1.0,0.0017428110416647
0.07628955353272648,1.0,0.0017474766854066
0.07630057803468208,1.0,0.0017642832827449
0.07631160572337042,1.0,0.0017772394163445
0.07632263660017347,1.0,0.0017802383617011
0.07633367066647391,1.0,0.0017841344185893
0.07634470792365529,1.0,0.0017964660056976
0.07635574837310195,1.0,0.0018075728870132
0.07636679201619902,1.0,0.0018079704595545
0.07637783885433241,1.0,0.0018098681230969
0.0763888888888889,1.0,0.0018099186317727
0.07639994212125596,1.0,0.0018114057270587
0.07641099855282199,1.0,0.001812962726838
0.07642205818497612,1.0,0.0018158787858409
0.07643312101910828,1.0,0.0018212102891706
0.07644418705660924,1.0,0.0018321688804514
0.07645525629887055,1.0,0.0018659169211404
0.07646632874728458,1.0,0.001868393876181
0.07647740440324449,1.0,0.0018685315719775
0.07648848326814428,1.0,0.0018719485262997
0.07649956534337873,1.0,0.0018866800613906
0.07651065063034343,1.0,0.0019015864344396
0.07652173913043478,1.0,0.0019029669593182
